team_code,project_pin_name,canonical_pad_name,type,x,y
A40,A40_REMOD_A_I,N01,bidirectional,417.5,2903.0
A40,A40_REMOD_A_Q,N02,bidirectional,517.5,2903.0
A40,A40_PSRAM_SCK,N03,bidirectional_24ma,617.5,2903.0
A40,A40_PSRAM_CE_N,N04,bidirectional,717.5,2903.0
A40,A40_PSRAM_SIO_0,N05,bidirectional,817.5,2903.0
A40,A40_PSRAM_SIO_1,N06,bidirectional,917.5,2903.0
A40,A40_PSRAM_SIO_2,N07,bidirectional,1017.5,2903.0
A40,A40_PSRAM_SIO_3,N08,bidirectional,1117.5,2903.0
A40,A40_HOST_CS,N09,input_schmitt,1217.5,2903.0
A40,A40_SPI_SCK,N10,input_schmitt,1317.5,2903.0
A40,A40_SPI_MOSI,N11,input_schmitt,1417.5,2903.0
A40,A40_SPI_MISO,N12,bidirectional,1517.5,2903.0
A40,A40_IRQ_OUT,N13,bidirectional,1617.5,2903.0
A40,A40_VDD,N14,power,1717.5,2903.0
A09,A09_qspi_io[3],N21,bidirectional,2417.5,2903.0
A09,A09_qspi_io[2],N22,bidirectional,2517.5,2903.0
B18,B18_mems_drv_y,S01,bidirectional,417.5,32.0
B18,B18_ref_wave_y,S02,bidirectional,517.5,32.0
B18,B18_dir_y,S03,bidirectional,617.5,32.0
B18,B18_move_en_y,S04,bidirectional,717.5,32.0
B18,B18_comp_x,S05,input_cmos,817.5,32.0
B18,B18_read_en,S06,bidirectional,917.5,32.0
B18,B18_comp_y,S07,input_cmos,1017.5,32.0
B18,B18_VDD,S08,power,1117.5,32.0
A30,A30_VDD,S16,power,1917.5,32.0
A30,A30_spi_dc,S17,bidirectional_24ma,2017.5,32.0
A30,A30_spi_mosi,S18,bidirectional_24ma,2117.5,32.0
A30,A30_disp_spi_clk_out,S19,bidirectional_24ma,2217.5,32.0
A30,A30_spi_select,S20,bidirectional_24ma,2317.5,32.0
A30,A30_uart_tx,S21,bidirectional_24ma,2417.5,32.0
A30,A30_spi_ram_a_select,S22,bidirectional_24ma,2517.5,32.0
B18,B18_mems_drv_x,W01,bidirectional,32.0,417.5
B18,B18_ref_wave_x,W02,bidirectional,32.0,517.5
B18,B18_dir_x,W03,bidirectional,32.0,617.5
B18,B18_move_en_x,W04,bidirectional,32.0,717.5
B18,B18_clk,W05,input_cmos,32.0,817.5
B18,B18_spi_miso,W06,bidirectional,32.0,917.5
B18,B18_spi_mosi,W07,input_schmitt,32.0,1017.5
B18,B18_spi_sclk,W08,input_cmos,32.0,1117.5
B18,B18_spi_cs_n,W09,input_schmitt,32.0,1217.5
B18,B18_rst_n,W10,input_schmitt,32.0,1317.5
B18,B18_VSS,W11,ground,32.0,1417.5
A40,A40_VSS,W12,ground,32.0,1517.5
A40,A40_IQ_DATA_I_0,W13,input_cmos,32.0,1617.5
A40,A40_IQ_DATA_Q_0,W14,input_cmos,32.0,1717.5
A40,A40_IQ_DATA_I_1,W15,input_cmos,32.0,1817.5
A40,A40_IQ_DATA_Q_1,W16,input_cmos,32.0,1917.5
A40,A40_IQ_DATA_I_2,W17,input_cmos,32.0,2017.5
A40,A40_IQ_DATA_Q_2,W18,input_cmos,32.0,2117.5
A40,A40_IQ_DATA_I_3,W19,input_cmos,32.0,2217.5
A40,A40_IQ_DATA_Q_3,W20,input_cmos,32.0,2317.5
A40,A40_IQ_CLK,W21,input_cmos,32.0,2417.5
A40,A40_RESETB,W22,input_schmitt,32.0,2517.5
A30,A30_spi_flash_select,E01,bidirectional_24ma,2903.0,417.5
A30,A30_spi_clk_out,E02,bidirectional_24ma,2903.0,517.5
A30,A30_spi_data3,E03,bidirectional_24ma,2903.0,617.5
A30,A30_spi_data2,E04,bidirectional_24ma,2903.0,717.5
A30,A30_spi_data1,E05,bidirectional_24ma,2903.0,817.5
A30,A30_spi_data0,E06,bidirectional_24ma,2903.0,917.5
A30,A30_spi_miso,E07,bidirectional,2903.0,1017.5
A30,A30_uart_rx,E08,bidirectional,2903.0,1117.5
A30,A30_clk,E09,input_schmitt,2903.0,1217.5
A30,A30_reset,E10,input_cmos,2903.0,1317.5
A30,A30_VSS,E11,ground,2903.0,1417.5
A09,A09_VSS,E12,ground,2903.0,1517.5
A09,A09_VDD,E13,power,2903.0,1617.5
A09,A09_clk,E14,input_schmitt,2903.0,1717.5
A09,A09_rst_n,E15,input_cmos,2903.0,1817.5
A09,A09_uart_rx,E16,input_cmos,2903.0,1917.5
A09,A09_uart_tx,E17,bidirectional,2903.0,2017.5
A09,A09_qspi_csn[0],E18,bidirectional,2903.0,2117.5
A09,A09_qspi_csn[1],E19,bidirectional,2903.0,2217.5
A09,A09_qspi_sck,E20,bidirectional,2903.0,2317.5
A09,A09_qspi_io[0],E21,bidirectional,2903.0,2417.5
A09,A09_qspi_io[1],E22,bidirectional,2903.0,2517.5
