net,length_um
clknet_0_clk_regs,1.06873mm
net2282,978.57µm
net1285,773.34µm
net1303,758.81µm
net176,735.93µm
clk,725.56µm
clknet_3_5_0_clk_regs,710.33µm
net1323,698.53µm
digital_domain_inst.delay_wave_cycle_x\[6\],696.08µm
net1482,686.35µm
net1437,682.74µm
net1545,679.89µm
net944,676µm
net192,662.39µm
net251,655.72µm
clknet_3_3_0_clk_regs,641.96µm
_03551_,637.41µm
_00815_,636.56µm
digital_domain_inst.cfg_phase0_offset_y\[2\],636.03µm
digital_domain_inst.raw_edge1_y\[18\],633.48µm
net253,626.61µm
clknet_3_0_0_clk_regs,622.56µm
net1502,615.74µm
digital_domain_inst.raw_edge2_x\[2\],610.14µm
net1181,610µm
net1291,609.48µm
net1549,602.35µm
digital_domain_inst.raw_edge2_x\[17\],601.84µm
digital_domain_inst.raw_edge2_x\[16\],592.93µm
net1544,589.78µm
net1435,588.51µm
clknet_3_4_0_clk_regs,587.18µm
net1559,579.43µm
net1868,579.18µm
_00819_,576.92µm
_00820_,575.41µm
digital_domain_inst.raw_edge2_y\[17\],574.15µm
net1302,571.76µm
clknet_3_1_0_clk_regs,568.04µm
net1280,566.82µm
net18,566.29µm
clknet_3_2_0_clk_regs,565.95µm
digital_domain_inst.raw_edge1_x\[9\],556.94µm
digital_domain_inst.raw_edge1_x\[2\],550.57µm
digital_domain_inst.raw_edge1_y\[20\],548.95µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[0\],547.57µm
clknet_3_7_0_clk_regs,547.32µm
_01562_,541µm
net1550,533.93µm
digital_domain_inst.raw_edge2_x\[4\],531.13µm
net1229,529.65µm
net1547,529.46µm
_04014_,528.24µm
digital_domain_inst.raw_edge3_x\[3\],525.48µm
digital_domain_inst.raw_edge1_x\[3\],524.82µm
digital_domain_inst.raw_edge2_y\[15\],521.66µm
net1119,521.56µm
net1560,519.98µm
net1039,518.71µm
net193,517.77µm
digital_domain_inst.raw_edge3_y\[12\],515.13µm
net1279,510.82µm
digital_domain_inst.raw_edge3_x\[9\],504.71µm
_02388_,500.41µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[15\],497.02µm
net1413,491.88µm
_03683_,490.06µm
_03918_,487.26µm
digital_domain_inst.raw_edge1_x\[10\],485.9µm
net1099,485.67µm
net65,485.1µm
net1626,479.86µm
net1574,477.96µm
_03702_,474.85µm
net1337,473.3µm
net1431,472.52µm
digital_domain_inst.spi_regs_inst.cs_n_sync,470.96µm
net20,470.66µm
digital_domain_inst.raw_edge3_y\[11\],469.53µm
_03719_,469.07µm
digital_domain_inst.raw_edge1_y\[5\],469.02µm
digital_domain_inst.raw_edge3_y\[10\],468.97µm
_03569_,468.77µm
net1414,468.77µm
net119,468.09µm
net1942,466.96µm
net161,462µm
net1296,461.33µm
clknet_3_6_0_clk_regs,461.13µm
net252,458.37µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[11\],457.82µm
net1475,445.96µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[5\],445.76µm
net64,439.81µm
net229,439.64µm
_02331_,436.39µm
net1165,434.56µm
net1278,431.2µm
_00882_,430.13µm
net1996,426.16µm
net1403,422.85µm
_02310_,420.66µm
net1995,415.52µm
_01588_,414.6µm
_02390_,414.4µm
net1415,410.5µm
net1399,410.48µm
net1986,409.46µm
net120,409.41µm
net1561,409µm
net1994,407.29µm
net1288,407.17µm
net67,407.12µm
_00777_,406.91µm
net2001,405.49µm
net121,404.88µm
_02395_,404.42µm
net1286,404.42µm
net292,403.27µm
net1992,403.2µm
_02359_,402.52µm
net1999,400.04µm
net165,399.48µm
net1487,399.43µm
net1395,399.38µm
net1494,399.26µm
net2003,399.21µm
net1990,399.08µm
net1546,398.92µm
net1483,398.13µm
net1543,396.69µm
net1428,396.58µm
net1988,395.41µm
_00839_,394.85µm
net1484,394.7µm
net446,394.16µm
net1289,393.86µm
net1998,384.31µm
net754,384.26µm
net1873,384.05µm
net1294,383.19µm
net1997,382.67µm
net1993,382.14µm
digital_domain_inst.signal_processor_y_inst.votes_out_phase\[1\],381.36µm
net1835,380.8µm
net1480,380.24µm
net1822,378µm
digital_domain_inst.signal_processor_y_inst.votes_in_phase\[2\],377.64µm
net1401,376.93µm
net1234,375.35µm
net1991,375.25µm
_03711_,374.23µm
digital_domain_inst.cfg_phase0_offset_x\[15\],374.18µm
net1989,374.18µm
net1179,371.83µm
net1826,371.33µm
net1569,371.28µm
net1548,370.16µm
net1806,369.7µm
net1402,368.53µm
net175,368.02µm
_00704_,367.61µm
net1810,367.33µm
net1807,367.16µm
_03912_,366.17µm
net1823,365.89µm
net15,365.68µm
net1247,363.59µm
net1821,363.32µm
net1430,362.31µm
net1832,361.96µm
_04141_,361.81µm
net1817,361.2µm
net772,360.79µm
net1308,359.01µm
net1805,358.4µm
net1833,358.27µm
net1825,357.78µm
_01524_,357.62µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[16\],357.24µm
net1488,356.82µm
net1830,356.77µm
net1239,356.54µm
net1803,356.31µm
_03598_,356.28µm
net1809,356.21µm
net1834,355.46µm
net112,355.04µm
net1503,354.4µm
net1497,354.24µm
net1824,354.17µm
net160,354.02µm
net1397,353.41µm
net1802,353µm
net1451,352.95µm
net1808,351.22µm
_03792_,350.76µm
net23,350.44µm
digital_domain_inst.cfg_phase90_offset_y\[18\],350.2µm
net935,350.15µm
_05044_,348.88µm
net1042,347.86µm
net1225,347.35µm
clknet_leaf_51_clk_regs,345.72µm
net17,345.52µm
net1741,344.08µm
_05619_,343.38µm
_03748_,343.33µm
net2002,343.22µm
net1837,342.87µm
net1827,342.26µm
_03885_,341.65µm
net1829,341.6µm
net1486,341.145µm
net1297,340.7µm
net1820,339.56µm
clknet_leaf_32_clk_regs,339µm
net1436,338.95µm
digital_domain_inst.cfg_phase90_offset_x\[5\],338.66µm
net1474,338.39µm
net1858,338.39µm
net1287,337.93µm
net62,335.9µm
net1038,335.59µm
net1819,335.44µm
net1816,334.88µm
net1432,333.9µm
net1293,333.46µm
net1814,332.18µm
net1804,332.13µm
net1828,331.06µm
net1417,330.96µm
digital_domain_inst.cfg_phase90_offset_x\[2\],330.45µm
net1847,329.99µm
net1857,329.94µm
net1818,328.87µm
net1844,328.87µm
net1398,328.77µm
net1400,327.7µm
net630,327.6µm
net1841,326.02µm
digital_domain_inst.cfg_phase270_offset_y\[20\],325.97µm
net5,325.92µm
net1500,325.51µm
net1469,324.95µm
net1668,323.8µm
_02323_,323.38µm
net1851,323.22µm
net1856,322.1µm
net1433,321.69µm
net1662,321.05µm
net1097,321.03µm
net1836,319.91µm
net483,319.82µm
net1485,319.45µm
net1320,319.25µm
net1813,318.64µm
net1875,318.55µm
net1883,318.32µm
_00544_,318.28µm
net1812,318.18µm
net1434,316.55µm
net1855,316.5µm
_03905_,316.4µm
_00883_,315.99µm
net1831,315.94µm
net2219,315.94µm
net1801,315.89µm
digital_domain_inst.spi_regs_inst.spi_addr\[5\],315.16µm
net1709,314.82µm
net384,314.26µm
_00577_,314.03µm
net1290,313.65µm
_03921_,313.24µm
net774,311.56µm
net1118,309.78µm
net1421,309.22µm
net1842,309.22µm
_03676_,309.18µm
net913,308.1µm
net1755,307.59µm
net170,306.98µm
net1444,306.93µm
_03721_,305.86µm
net1238,305.79µm
digital_domain_inst.cfg_phase0_offset_x\[9\],305.35µm
net171,305.15µm
net1331,304.7µm
net1439,303.67µm
net267,303.62µm
_01484_,302.75µm
net750,302.55µm
net1425,302.5µm
net9,302.4µm
net1310,301.91µm
net1987,301.89µm
clknet_leaf_44_clk_regs,301.58µm
net2000,301.18µm
clknet_leaf_17_clk_regs,300.97µm
net1240,299.7µm
digital_domain_inst.cfg_phase0_offset_x\[11\],298.78µm
_02572_,298.63µm
_00696_,298.58µm
net1846,297.97µm
net198,297.69µm
net1226,297.46µm
clknet_leaf_6_clk_regs,295.42µm
_00756_,295.26µm
net1848,294.76µm
net1295,294.71µm
net621,294.1µm
net766,293.59µm
net689,293.57µm
digital_domain_inst.cfg_phase0_offset_y\[4\],292.7µm
_03679_,292.42µm
digital_domain_inst.cfg_phase0_offset_x\[13\],292.42µm
_04025_,292.32µm
net1581,292µm
net1180,291.96µm
net1254,291.81µm
net288,290.84µm
net1840,290.64µm
clknet_leaf_42_clk_regs,290.33µm
net1815,290.18µm
net1230,290.13µm
net1635,289.52µm
_01457_,288.9µm
net1839,288.55µm
net464,288.54µm
net1811,288.5µm
net808,287.43µm
net199,287.08µm
digital_domain_inst.cfg_phase0_offset_y\[1\],286.73µm
net1253,285.65µm
net1256,285.19µm
net1712,285.13µm
_00000_,285.09µm
clknet_leaf_24_clk_regs,284.27µm
_00754_,283.97µm
digital_domain_inst.cfg_phase0_offset_y\[3\],283.43µm
digital_domain_inst.cfg_phase0_offset_x\[12\],283.1µm
_03996_,282.46µm
_03219_,282.42µm
net189,281.22µm
net1292,281.22µm
_02394_,280.5µm
net1263,280.1µm
