Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_279_1960,VDD,Metal1,1098.1600,1105.4400,3.299997
FILLER_279_1956,VDD,Metal1,1096.8600,1105.8725,3.299997
FILLER_279_1940,VDD,Metal1,1091.4880,1106.1320,3.299997
FILLER_279_1906,VDD,Metal1,1076.9955,1106.2085,3.299997
FILLER_279_1872,VDD,Metal1,1057.9555,1106.2085,3.299997
FILLER_279_1838,VDD,Metal1,1038.9155,1106.2085,3.299997
FILLER_279_1804,VDD,Metal1,1019.8755,1106.2085,3.299997
FILLER_279_1770,VDD,Metal1,1000.8355,1106.2085,3.299997
FILLER_279_1736,VDD,Metal1,981.7955,1106.2085,3.299997
FILLER_279_1733,VDD,Metal1,970.7600,1105.4400,3.299997
FILLER_279_1731,VDD,Metal1,969.9200,1105.4400,3.299997
FILLER_279_1727,VDD,Metal1,968.6200,1105.8725,3.299997
FILLER_279_1719,VDD,Metal1,965.3865,1106.0165,3.299997
FILLER_279_1709,VDD,Metal1,957.6000,1105.4400,3.299997
FILLER_279_1706,VDD,Metal1,955.6400,1105.4400,3.299997
FILLER_279_1702,VDD,Metal1,954.6200,1105.8725,3.299997
FILLER_279_1668,VDD,Metal1,943.7155,1106.2085,3.299997
FILLER_279_1634,VDD,Metal1,924.6755,1106.2085,3.299997
FILLER_279_1600,VDD,Metal1,905.6355,1106.2085,3.299997
FILLER_279_1597,VDD,Metal1,894.6000,1105.4400,3.299997
FILLER_279_1593,VDD,Metal1,893.5800,1105.8725,3.299997
FILLER_279_1585,VDD,Metal1,890.3465,1106.0165,3.299997
FILLER_279_1570,VDD,Metal1,879.4800,1105.4400,3.299997
FILLER_279_1566,VDD,Metal1,878.4600,1105.8725,3.299997
FILLER_279_1532,VDD,Metal1,867.5555,1106.2085,3.299997
FILLER_279_1498,VDD,Metal1,848.5155,1106.2085,3.299997
FILLER_279_1464,VDD,Metal1,829.4755,1106.2085,3.299997
FILLER_279_1430,VDD,Metal1,810.4355,1106.2085,3.299997
FILLER_279_1396,VDD,Metal1,791.3955,1106.2085,3.299997
FILLER_279_1362,VDD,Metal1,772.3555,1106.2085,3.299997
FILLER_279_1359,VDD,Metal1,761.3200,1105.4400,3.299997
FILLER_279_1350,VDD,Metal1,756.2800,1105.4400,3.299997
FILLER_279_1348,VDD,Metal1,755.4400,1105.4400,3.299997
FILLER_279_1344,VDD,Metal1,754.1400,1105.8725,3.299997
FILLER_279_1328,VDD,Metal1,748.7680,1106.1320,3.299997
FILLER_279_1294,VDD,Metal1,734.2755,1106.2085,3.299997
FILLER_279_1260,VDD,Metal1,715.2355,1106.2085,3.299997
FILLER_279_1226,VDD,Metal1,696.1955,1106.2085,3.299997
FILLER_279_1192,VDD,Metal1,677.1555,1106.2085,3.299997
FILLER_279_1158,VDD,Metal1,658.1155,1106.2085,3.299997
FILLER_279_1124,VDD,Metal1,639.0755,1106.2085,3.299996
