Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_1974,VSS,Metal1,1105.7200,552.7200,0.000013
FILLER_138_1940,VSS,Metal1,1094.6840,553.3175,0.000013
FILLER_138_1906,VSS,Metal1,1075.6440,553.3175,0.000013
FILLER_138_1872,VSS,Metal1,1056.6040,553.3175,0.000013
FILLER_138_1838,VSS,Metal1,1037.5640,553.3175,0.000013
FILLER_138_1804,VSS,Metal1,1018.5240,553.3175,0.000013
FILLER_138_1770,VSS,Metal1,999.4840,553.3175,0.000013
FILLER_138_1736,VSS,Metal1,980.4440,553.3175,0.000013
FILLER_138_1702,VSS,Metal1,961.4040,553.3175,0.000013
FILLER_138_1668,VSS,Metal1,942.3640,553.3175,0.000013
FILLER_138_1665,VSS,Metal1,932.6800,552.7200,0.000013
FILLER_138_1657,VSS,Metal1,929.6530,553.1815,0.000014
FILLER_138_1650,VSS,Metal1,924.5600,552.7200,0.000014
FILLER_138_1634,VSS,Metal1,918.9120,553.2680,0.000014
FILLER_138_1631,VSS,Metal1,913.6400,552.7200,0.000014
FILLER_138_1627,VSS,Metal1,911.8600,553.0685,0.000014
FILLER_138_1600,VSS,Metal1,896.2800,552.7200,0.000014
FILLER_138_1597,VSS,Metal1,894.6000,552.7200,0.000014
FILLER_138_1595,VSS,Metal1,893.7600,552.7200,0.000014
FILLER_138_1591,VSS,Metal1,891.7000,553.0685,0.000014
FILLER_138_1575,VSS,Metal1,885.8720,553.2680,0.000014
FILLER_138_1570,VSS,Metal1,879.4800,552.7200,0.000015
FILLER_138_1566,VSS,Metal1,877.7000,553.0685,0.000015
FILLER_138_1556,VSS,Metal1,873.0930,553.1815,0.000015
FILLER_138_1540,VSS,Metal1,866.2720,553.2680,0.000015
FILLER_138_1532,VSS,Metal1,858.6600,553.0685,0.000016
FILLER_138_1529,VSS,Metal1,856.5200,552.7200,0.000016
FILLER_138_1527,VSS,Metal1,855.6800,552.7200,0.000016
FILLER_138_1519,VSS,Metal1,852.3730,553.1815,0.000016
FILLER_138_1513,VSS,Metal1,847.8400,552.7200,0.000016
FILLER_138_1498,VSS,Metal1,839.1600,552.7200,0.000016
FILLER_138_1495,VSS,Metal1,837.4800,552.7200,0.000016
FILLER_138_1486,VSS,Metal1,832.4400,552.7200,0.000016
FILLER_138_1484,VSS,Metal1,831.6000,552.7200,0.000016
FILLER_138_1480,VSS,Metal1,829.5400,553.0685,0.000016
FILLER_138_1468,VSS,Metal1,822.6400,552.7200,0.000016
FILLER_138_1464,VSS,Metal1,820.5800,553.0685,0.000016
FILLER_138_1461,VSS,Metal1,818.4400,552.7200,0.000016
FILLER_138_1454,VSS,Metal1,814.8000,552.7200,0.000016
FILLER_138_1446,VSS,Metal1,811.4930,553.1815,0.000017
FILLER_138_1430,VSS,Metal1,804.6720,553.2680,0.000017
FILLER_138_1427,VSS,Metal1,799.4000,552.7200,0.000017
FILLER_138_1425,VSS,Metal1,798.5600,552.7200,0.000017
FILLER_138_1415,VSS,Metal1,792.9600,552.7200,0.000017
FILLER_138_1405,VSS,Metal1,787.3600,552.7200,0.000017
FILLER_138_1396,VSS,Metal1,782.0400,552.7200,0.000017
