net,length_um
clknet_0_clk,1.62287mm
net1029,1.28718mm
wrapper_inst.digital_domain_inst.raw_edge3_x\[20\],1.18063mm
net2368,1.13858mm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_in_phase\[3\],1.08767mm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_out_phase\[1\],1.01263mm
wrapper_inst.digital_domain_inst.jitter_flag_x,1.00372mm
net1703,996.54µm
net1569,989.06µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_out_phase\[3\],963.91µm
net787,937.59µm
net792,931.48µm
net824,929.65µm
net2488,920.89µm
_03505_,919.06µm
wrapper_inst.digital_domain_inst.latch_error_x,914.58µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_out_phase\[3\],892.23µm
net1528,882.1µm
net1353,874.77µm
net1702,840.1µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_in_phase\[3\],816.17µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_in_phase\[2\],809.45µm
net1747,792.04µm
net944,771.22µm
_05850_,752.74µm
_03494_,737.77µm
net1884,735.38µm
_03480_,716.85µm
_00832_,698.62µm
net1755,698.42µm
net581,694.5µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_x\[20\],690.07µm
net826,685.59µm
clk,684.74µm
wrapper_inst.digital_domain_inst.raw_edge1_x\[20\],683.5µm
net2093,663.09µm
net1575,659.37µm
_03556_,651.99µm
net151,644.1µm
net1881,639.72µm
net1238,635.9µm
wrapper_inst.digital_domain_inst.latch_error_y,632.34µm
net2649,626.94µm
net464,624.45µm
net1563,623.99µm
_03536_,622.87µm
wrapper_inst.digital_domain_inst.raw_edge3_y\[17\],617.96µm
net1016,614.52µm
net794,613.4µm
_05372_,608.87µm
net2106,601.54µm
net568,595.99µm
_02070_,591µm
net837,589.22µm
net2650,584.69µm
clknet_4_9_0_clk,584.39µm
net2136,583.11µm
wrapper_inst.digital_domain_inst.phase_state_x\[0\],578.17µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_y\[13\],576.34µm
net1024,576.34µm
net1691,575.71µm
net1878,575.17µm
net2226,572.47µm
net1913,559.21µm
net1008,550.58µm
wrapper_inst.digital_domain_inst.cal_timeout_y,550.22µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_in_phase\[0\],532.15µm
net715,530.47µm
net752,529.45µm
_05746_,522.58µm
wrapper_inst.digital_domain_inst.cfg_f_MEMS_fcw_y\[3\],519.37µm
net2117,519.22µm
net1421,513.11µm
_05954_,510.92µm
net717,507.36µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_out_phase\[0\],503.59µm
net2098,500.79µm
net1105,500.64µm
net1257,499.06µm
net774,498.09µm
net1753,497.89µm
_05364_,497.43µm
net2176,495.75µm
net1484,490.66µm
net1664,489.03µm
net2318,486.64µm
_05967_,485.67µm
_05911_,481.19µm
net1988,476.79µm
wrapper_inst.digital_domain_inst.phase_state_x\[1\],476.05µm
net1698,475.64µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[3\],474.98µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[19\],470.09µm
_06023_,469.84µm
net2101,468.26µm
net2163,460.98µm
net488,460.37µm
_00561_,457.01µm
_05799_,455.28µm
net1494,454.82µm
net1940,452.53µm
_03531_,449.22µm
_06020_,448µm
net1558,441.33µm
net1132,437.46µm
net799,437µm
_00569_,433.64µm
net1407,428.7µm
wrapper_inst.digital_domain_inst.signal_processor_y_inst.votes_out_phase\[0\],426.82µm
net965,424.74µm
net2096,422.8µm
net1942,421.78µm
net2651,419.59µm
net1769,418.42µm
net1139,412.21µm
net2058,412.16µm
net543,411.88µm
net176,410.53µm
net1928,410.48µm
_05658_,409.92µm
wrapper_inst.digital_domain_inst.spi_regs_inst.cs_n_sync,409.05µm
net489,408.29µm
wrapper_inst.digital_domain_inst.raw_edge1_x\[17\],406.05µm
net1770,404.98µm
net958,402.84µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[20\],402.79µm
net1007,401.75µm
net1877,401.01µm
net1879,399.89µm
_05956_,399.38µm
net1552,399.33µm
net205,398.92µm
_00000_,398.87µm
net1882,398.26µm
_03572_,397.14µm
net1754,394.9µm
net145,393.32µm
_03454_,392.81µm
net1669,392.1µm
net1667,390.29µm
net2432,388.79µm
net790,387.06µm
net1665,385.38µm
net1760,385.33µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.votes_in_phase\[2\],383.7µm
net1554,383.29µm
net1697,383.14µm
net49,382.48µm
_05959_,379.17µm
net85,378.05µm
wrapper_inst.digital_domain_inst.signal_processor_x_inst.comp_sync,377.54µm
net1772,375.86µm
net1668,375.3µm
_03541_,374.23µm
_05687_,371.28µm
net1768,370.26µm
net1883,369.6µm
net1880,369.09µm
net1125,368.63µm
net1689,367.56µm
net1750,366.95µm
net46,366.34µm
net1766,366.34µm
_01040_,366.29µm
_01053_,366.24µm
net1456,365.17µm
net2388,364.76µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[13\],364.71µm
net1493,362.88µm
clknet_4_11_0_clk,360.84µm
net1666,360.33µm
net1369,359.95µm
net1544,356.82µm
net1539,355.68µm
net1110,355.24µm
net1562,354.58µm
net1771,350.86µm
net110,350.1µm
_04403_,349.49µm
_03449_,349.03µm
net1761,348.42µm
net2045,347.2µm
_03200_,346.89µm
_00916_,346.74µm
_05951_,346.23µm
net598,345.62µm
_00557_,343.89µm
net1354,343.38µm
wrapper_inst.digital_domain_inst.raw_edge2_y\[2\],341.7µm
net100,341.6µm
net1030,341.24µm
_00828_,341.14µm
clknet_4_14_0_clk,340.68µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[15\],340.35µm
wrapper_inst.digital_domain_inst.cfg_phase270_offset_x\[17\],340.12µm
net2012,339.41µm
clknet_4_13_0_clk,339.31µm
net2000,338.39µm
net733,337.88µm
net1767,337.27µm
wrapper_inst.digital_domain_inst.cfg_phase0_offset_y\[14\],336.15µm
wrapper_inst.digital_domain_inst.cal_dir_x,335.59µm
net2087,335.59µm
net1545,335.08µm
net601,333.81µm
net2040,333.81µm
net1489,333.3µm
wrapper_inst.digital_domain_inst.raw_edge2_x\[5\],332.69µm
net1165,330.45µm
wrapper_inst.digital_domain_inst.delay_wave_cycle_y\[0\],330.09µm
wrapper_inst.digital_domain_inst.wave_controller_x_inst.capture_step\[0\],329.99µm
net50,328.77µm
_03443_,328.72µm
net430,328.72µm
net915,328.41µm
net832,328.21µm
_03895_,328.16µm
net844,326.53µm
net2369,325.92µm
net2184,325.46µm
_05783_,325.41µm
wrapper_inst.digital_domain_inst.cfg_phase90_offset_y\[8\],324.85µm
