Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_250_1764,VDD,Metal1,1048.6000,1046.6400,3.300000
FILLER_250_1760,VDD,Metal1,1047.5800,1046.2075,3.300000
FILLER_250_1752,VDD,Metal1,1044.3465,1046.0630,3.300000
FILLER_250_1736,VDD,Metal1,1037.7280,1045.9480,3.300000
FILLER_250_1702,VDD,Metal1,1023.2355,1045.8710,3.300000
FILLER_250_1668,VDD,Metal1,1004.1955,1045.8710,3.300000
FILLER_250_1634,VDD,Metal1,985.1555,1045.8710,3.300000
FILLER_250_1600,VDD,Metal1,966.1155,1045.8710,3.300000
FILLER_250_1566,VDD,Metal1,947.0755,1045.8710,3.300000
FILLER_250_1532,VDD,Metal1,928.0355,1045.8710,3.300000
FILLER_250_1498,VDD,Metal1,908.9955,1045.8710,3.300000
FILLER_250_1464,VDD,Metal1,889.9555,1045.8710,3.300000
FILLER_250_1430,VDD,Metal1,870.9155,1045.8710,3.300000
FILLER_250_1396,VDD,Metal1,851.8755,1045.8710,3.300000
FILLER_250_1362,VDD,Metal1,832.8355,1045.8710,3.300000
FILLER_250_1328,VDD,Metal1,813.7955,1045.8710,3.300000
FILLER_250_1294,VDD,Metal1,794.7555,1045.8710,3.300000
FILLER_250_1260,VDD,Metal1,775.7155,1045.8710,3.300000
FILLER_250_1226,VDD,Metal1,756.6755,1045.8710,3.300000
FILLER_250_1192,VDD,Metal1,737.6355,1045.8710,3.300000
FILLER_250_1158,VDD,Metal1,718.5955,1045.8710,3.300000
FILLER_250_1152,VDD,Metal1,707.1000,1046.2075,3.300000
FILLER_250_1144,VDD,Metal1,703.8665,1046.0630,3.300000
FILLER_250_1136,VDD,Metal1,698.1400,1046.2075,3.300000
FILLER_250_1124,VDD,Metal1,692.6665,1046.0630,3.300000
FILLER_250_1090,VDD,Metal1,680.5155,1045.8710,3.300000
FILLER_250_1056,VDD,Metal1,661.4755,1045.8710,3.300000
FILLER_250_1050,VDD,Metal1,649.9800,1046.2075,3.300000
FILLER_250_1034,VDD,Metal1,644.6080,1045.9480,3.300000
FILLER_250_1030,VDD,Metal1,637.8400,1046.6400,3.300000
FILLER_250_1022,VDD,Metal1,633.3600,1046.6400,3.300000
FILLER_250_988,VDD,Metal1,623.3955,1045.8710,3.300000
FILLER_250_970,VDD,Metal1,608.7680,1045.9480,3.300000
FILLER_250_964,VDD,Metal1,600.8800,1046.6400,3.300000
FILLER_250_958,VDD,Metal1,597.5200,1046.6400,3.300000
FILLER_250_954,VDD,Metal1,596.2200,1046.2075,3.300000
FILLER_250_951,VDD,Metal1,593.3200,1046.6400,3.300000
FILLER_250_945,VDD,Metal1,590.2400,1046.6400,3.300000
FILLER_250_940,VDD,Metal1,587.1600,1046.6400,3.300000
FILLER_250_936,VDD,Metal1,586.1400,1046.2075,3.300000
FILLER_250_920,VDD,Metal1,580.7680,1045.9480,3.300000
FILLER_250_886,VDD,Metal1,566.2755,1045.8710,3.300000
FILLER_250_883,VDD,Metal1,555.2400,1046.6400,3.300000
FILLER_250_881,VDD,Metal1,554.4000,1046.6400,3.300000
FILLER_250_877,VDD,Metal1,553.1000,1046.2075,3.300000
FILLER_250_861,VDD,Metal1,547.7280,1045.9480,3.300000
FILLER_250_852,VDD,Metal1,537.8800,1046.6400,3.300000
FILLER_250_849,VDD,Metal1,536.2000,1046.6400,3.300000
FILLER_250_844,VDD,Metal1,533.4000,1046.6400,3.300000
FILLER_250_842,VDD,Metal1,532.5600,1046.6400,3.300000
FILLER_250_834,VDD,Metal1,530.2665,1046.0630,3.300000
FILLER_250_818,VDD,Metal1,523.6480,1045.9480,3.300000
FILLER_250_815,VDD,Metal1,517.1600,1046.6400,3.300000
FILLER_250_813,VDD,Metal1,516.3200,1046.6400,3.300000
FILLER_250_805,VDD,Metal1,514.0265,1046.0630,3.300000
FILLER_250_789,VDD,Metal1,507.4080,1045.9480,3.300000
FILLER_250_784,VDD,Metal1,499.8000,1046.6400,3.300000
FILLER_250_781,VDD,Metal1,498.1200,1046.6400,3.300000
FILLER_250_779,VDD,Metal1,497.2800,1046.6400,3.300000
FILLER_250_774,VDD,Metal1,494.2000,1046.6400,3.300000
FILLER_250_766,VDD,Metal1,492.1865,1046.0630,3.300000
FILLER_250_750,VDD,Metal1,485.5680,1045.9480,3.300000
FILLER_250_716,VDD,Metal1,471.0755,1045.8710,3.300000
FILLER_250_682,VDD,Metal1,452.0355,1045.8710,3.300000
FILLER_250_679,VDD,Metal1,441.0000,1046.6400,3.300000
FILLER_250_677,VDD,Metal1,440.1600,1046.6400,3.300000
FILLER_250_673,VDD,Metal1,438.8600,1046.2075,3.300000
FILLER_250_665,VDD,Metal1,433.4400,1046.6400,3.300000
FILLER_250_662,VDD,Metal1,431.4800,1046.6400,3.300000
FILLER_250_660,VDD,Metal1,430.6400,1046.6400,3.300000
FILLER_250_656,VDD,Metal1,429.3400,1046.2075,3.300000
FILLER_250_648,VDD,Metal1,426.1065,1046.0630,3.300000
FILLER_250_614,VDD,Metal1,413.9555,1045.8710,3.300000
FILLER_250_611,VDD,Metal1,402.9200,1046.6400,3.300000
FILLER_250_605,VDD,Metal1,399.8400,1046.6400,3.300000
FILLER_250_599,VDD,Metal1,396.4800,1046.6400,3.300000
FILLER_250_593,VDD,Metal1,393.1200,1046.6400,3.300000
FILLER_250_588,VDD,Metal1,390.0400,1046.6400,3.300000
FILLER_250_580,VDD,Metal1,388.0265,1046.0630,3.300000
FILLER_250_546,VDD,Metal1,375.8755,1045.8710,3.300000
FILLER_250_512,VDD,Metal1,356.8355,1045.8710,3.300000
FILLER_250_509,VDD,Metal1,345.8000,1046.6400,3.300000
FILLER_250_507,VDD,Metal1,344.9600,1046.6400,3.300000
FILLER_250_499,VDD,Metal1,342.6665,1046.0630,3.300000
FILLER_250_489,VDD,Metal1,334.8800,1046.6400,3.300000
FILLER_250_484,VDD,Metal1,331.8000,1046.6400,3.300000
FILLER_250_482,VDD,Metal1,330.9600,1046.6400,3.300000
FILLER_250_478,VDD,Metal1,329.6600,1046.2075,3.300000
FILLER_250_444,VDD,Metal1,318.7555,1045.8710,3.300000
