net,length_um
clknet_0_clk,1.07326mm
net34,736.9µm
net502,661.41µm
net296,596.55µm
net639,596.55µm
clk,596.26µm
net73,590.77µm
net297,588.61µm
net287,587.69µm
net596,576.73µm
clknet_3_6__leaf_clk,563.15µm
net465,548.44µm
clknet_3_3__leaf_clk,540.12µm
net471,539.73µm
clknet_3_7__leaf_clk,514.53µm
net457,509.95µm
net454,506.39µm
clknet_3_2__leaf_clk,498.7µm
clknet_3_0__leaf_clk,497.12µm
net429,491.68µm
net485,489.59µm
clknet_3_5__leaf_clk,482.92µm
net461,482.77µm
net329,475.2µm
net453,472.99µm
net158,470.55µm
net480,468.51µm
net486,467.7µm
net466,465.46µm
net187,463.98µm
net294,461.42µm
net459,456.09µm
net189,454.21µm
net291,453.9µm
net474,453.87µm
net172,453.34µm
net500,451.1µm
net492,447.18µm
net44,438.17µm
net496,437.2µm
net148,435.32µm
net328,430.64µm
net504,430.18µm
net184,429.77µm
net383,428.6µm
cfg_phase270_offset_y\[2\],428.09µm
net427,426.82µm
net524,426.36µm
net498,423.05µm
cfg_phase90_offset_y\[2\],422.85µm
net506,422.17µm
net449,419.64µm
net450,419.64µm
net478,419.54µm
delay_wave_cycle_x\[6\],418.52µm
net426,413.44µm
net548,412.56µm
net428,412.31µm
net430,412.26µm
net481,410.12µm
net407,406.81µm
net68,403.91µm
net447,403.4µm
net503,403.3µm
net463,402.94µm
net78,402.53µm
net505,402.05µm
net397,400.96µm
net439,400.6µm
net54,399.53µm
net337,399.43µm
net477,397.29µm
delay_wave_cycle_y\[7\],386.5µm
net455,386.04µm
net638,385.07µm
net161,384.36µm
net445,383.29µm
net164,382.58µm
net398,380.79µm
net51,380.64µm
net595,380.59µm
net163,379.47µm
_04612_,378.2µm
net36,377.36µm
net150,375.96µm
net521,375.45µm
cfg_phase270_offset_y\[0\],374.84µm
net441,372.6µm
net546,372.55µm
raw_edge1_x\[20\],371.48µm
net519,370.97µm
net518,370.46µm
net420,369.39µm
net5,368.73µm
net76,368.63µm
net46,368.12µm
net154,366.67µm
net469,364.2µm
net468,362.62µm
net442,360.89µm
net507,360.89µm
net541,359.82µm
cfg_phase270_offset_y\[6\],359.57µm
clknet_3_4__leaf_clk,359.16µm
_03836_,358.5µm
net483,357.53µm
net620,356.97µm
net540,356.46µm
raw_edge3_x\[4\],356.41µm
net444,355.75µm
net49,355.7µm
clknet_3_1__leaf_clk,353.1µm
_04657_,353µm
net451,352.64µm
net409,351.32µm
delay_wave_cycle_x\[4\],351.27µm
net149,349.64µm
cfg_phase270_offset_x\[4\],349.54µm
net476,348.88µm
net47,348.37µm
net62,348.11µm
_01813_,347.34µm
net425,347.3µm
net391,345.77µm
cfg_phase90_offset_y\[6\],345.72µm
cfg_phase90_offset_y\[9\],345.67µm
net418,343.99µm
clknet_leaf_37_clk,343.22µm
raw_edge3_x\[2\],342.92µm
net423,341.85µm
raw_edge3_y\[6\],341.65µm
net57,341.34µm
cfg_phase90_offset_x\[17\],339.08µm
net295,337.17µm
net422,335.13µm
net79,334.52µm
net424,334.42µm
_00568_,333.4µm
_01180_,332.64µm
cfg_phase270_offset_y\[1\],330.5µm
net448,329.94µm
cfg_phase90_offset_x\[16\],329.48µm
net553,326.68µm
net438,325.61µm
net440,325.61µm
cfg_phase90_offset_y\[0\],325.36µm
net393,324.9µm
delay_wave_cycle_x\[0\],324.39µm
delay_wave_cycle_y\[5\],323.68µm
net404,321.08µm
raw_edge1_x\[2\],320.01µm
cfg_phase270_offset_x\[7\],319.86µm
net381,319.04µm
cfg_f_MEMS_fcw_y\[14\],318.84µm
cal_dir_x,318.23µm
cfg_phase270_offset_y\[11\],317.67µm
net452,317.67µm
cfg_phase270_offset_y\[13\],316.5µm
net417,316.45µm
net410,316.09µm
cal_phase0_offset_y\[0\],315.94µm
spi_regs_inst.reg_wr_data\[1\],314.72µm
net413,314.41µm
net151,313.24µm
net464,313.24µm
net528,313.19µm
net515,311.46µm
cfg_phase90_offset_y\[7\],310.9µm
cfg_phase90_offset_x\[18\],309.88µm
net41,309.27µm
net443,309.27µm
raw_edge1_x\[16\],307.74µm
raw_edge2_x\[10\],307.69µm
spi_regs_inst.mosi_sync\[0\],307.44µm
net250,306.52µm
cfg_phase90_offset_x\[19\],306.47µm
cfg_phase90_offset_y\[4\],305.96µm
delay_wave_cycle_x\[7\],305.2µm
net530,305.09µm
signal_processor_y_inst.votes_out_phase\[3\],304.87µm
raw_edge1_x\[5\],304.84µm
cfg_phase270_offset_y\[8\],304.33µm
_04638_,303.01µm
raw_edge2_y\[20\],303.01µm
net37,302.75µm
_01717_,301.58µm
net156,301.48µm
net327,300.36µm
cal_timeout_y,299.09µm
raw_edge3_x\[3\],298.73µm
raw_edge3_x\[6\],298.17µm
cfg_phase90_offset_x\[3\],297.51µm
net286,297.05µm
cfg_f_MEMS_fcw_y\[1\],297µm
net479,296.85µm
net180,296.08µm
cfg_phase90_offset_y\[12\],295.32µm
raw_edge1_x\[9\],295.27µm
cfg_phase90_offset_y\[5\],294.76µm
cfg_phase270_offset_y\[10\],294.66µm
raw_edge3_x\[11\],294.25µm
state_machine_inst.state_q\[1\],294.25µm
net473,293.69µm
raw_edge3_x\[14\],292.42µm
net395,292.42µm
raw_edge3_y\[7\],292.06µm
net52,292.06µm
net320,291.6µm
net446,291.5µm
raw_edge3_y\[5\],289.11µm
delay_wave_cycle_y\[0\],288.6µm
raw_edge1_x\[10\],288.6µm
cfg_phase270_offset_y\[12\],288.5µm
delay_wave_cycle_x\[3\],287.99µm
raw_edge2_x\[9\],287.43µm
net152,286.92µm
raw_edge2_y\[14\],286.56µm
raw_edge1_x\[3\],286.36µm
raw_edge1_y\[5\],286.26µm
cfg_f_MEMS_fcw_y\[8\],285.19µm
signal_processor_y_inst.votes_in_phase\[1\],285.05µm
net534,284.83µm
net490,284.68µm
raw_edge2_x\[0\],283.92µm
net489,283.51µm
net380,283.15µm
net66,283.05µm
raw_edge2_y\[9\],283µm
net325,282.95µm
net74,280.66µm
cfg_phase90_offset_x\[2\],279.64µm
cal_timeout_x,279.54µm
_04620_,279.49µm
net458,279.13µm
cfg_f_MEMS_fcw_y\[11\],278.57µm
raw_edge3_x\[10\],278.52µm
_00646_,278.42µm
net501,277.96µm
cfg_f_MEMS_fcw_x\[9\],277.91µm
cfg_phase270_offset_y\[14\],276.79µm
_03153_,276.13µm
net421,275.77µm
net529,275.72µm
raw_edge3_y\[3\],275.26µm
raw_edge2_y\[5\],274.55µm
delay_wave_cycle_x\[2\],274.45µm
net126,273.99µm
net520,273.02µm
cfg_phase270_offset_y\[16\],272.92µm
raw_edge1_x\[12\],272.54µm
_00580_,272.31µm
_01720_,272.21µm
raw_edge2_x\[13\],271.39µm
raw_edge1_y\[7\],271.24µm
net411,271.14µm
delay_wave_cycle_y\[1\],271.09µm
spi_regs_inst.cs_sync\[0\],270.53µm
net516,269.84µm
raw_edge1_y\[16\],269.41µm
raw_edge1_y\[17\],268.95µm
spi_regs_inst.sclk_sync\[0\],268.8µm
raw_edge3_x\[15\],268.44µm
net475,267.78µm
raw_edge3_x\[9\],267.32µm
cfg_phase90_offset_x\[20\],267.22µm
net545,265.94µm
cfg_phase90_offset_y\[18\],265.74µm
raw_edge1_x\[11\],265.59µm
net415,265.59µm
state_machine_inst.state_q\[2\],265.13µm
net309,265.13µm
net310,265.13µm
net594,265.08µm
cal_phase0_offset_x\[1\],265.03µm
net416,264.72µm
net308,264.52µm
net298,263.5µm
raw_edge3_y\[12\],263.35µm
raw_edge3_x\[13\],262.89µm
cfg_phase270_offset_y\[5\],262.18µm
net38,262.18µm
net460,262.13µm
cfg_phase90_offset_y\[16\],261.72µm
net470,261.72µm
cfg_phase90_offset_x\[4\],261.62µm
_00567_,261.21µm
raw_edge2_x\[3\],261.06µm
cfg_phase90_offset_x\[6\],260.5µm
net147,259.68µm
net433,258.51µm
cfg_phase270_offset_y\[9\],258.26µm
net167,257.8µm
cfg_phase90_offset_y\[8\],257.65µm
net300,256.68µm
_00649_,256.58µm
net525,256.5µm
_04654_,256.06µm
raw_edge3_y\[10\],255.71µm
net323,255.71µm
net536,255.15µm
net389,254.44µm
signal_processor_y_inst.votes_out_phase\[0\],254.34µm
cfg_phase270_offset_x\[2\],254.29µm
cfg_phase270_offset_y\[7\],253.83µm
raw_edge2_y\[10\],253.73µm
cfg_f_MEMS_fcw_x\[4\],252.66µm
raw_edge1_y\[8\],252.66µm
net419,251.64µm
net558,251.44µm
signal_processor_y_inst.votes_in_phase\[2\],251.12µm
raw_edge1_x\[18\],250.62µm
net213,250.01µm
_00579_,249.45µm
raw_edge3_x\[16\],248.79µm
_02981_,248.69µm
_01771_,248.67µm
net330,247.21µm
_01899_,246.96µm
cfg_phase270_offset_x\[14\],246.45µm
_01826_,246.19µm
raw_edge1_x\[7\],246.09µm
cal_phase0_offset_y\[1\],245.43µm
raw_edge3_y\[8\],245.43µm
net400,245.43µm
net484,245.33µm
raw_edge1_y\[11\],244.92µm
clknet_leaf_24_clk,244.92µm
clknet_leaf_50_clk,244.92µm
