Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_166_1158,VDD,Metal1,655.4800,670.3200,5.000000
FILLER_166_1124,VDD,Metal1,641.2480,669.6280,5.000000
FILLER_166_1090,VDD,Metal1,626.7555,669.5510,5.000000
FILLER_166_1056,VDD,Metal1,607.7155,669.5510,5.000000
FILLER_166_1022,VDD,Metal1,588.6755,669.5510,5.000000
FILLER_166_1019,VDD,Metal1,577.6400,670.3200,5.000000
FILLER_166_1003,VDD,Metal1,573.4880,669.6280,5.000000
FILLER_166_995,VDD,Metal1,565.4200,669.8875,5.000000
FILLER_166_990,VDD,Metal1,561.4000,670.3200,5.000000
FILLER_166_988,VDD,Metal1,560.5600,670.3200,5.000000
FILLER_166_985,VDD,Metal1,558.6000,670.3200,5.000000
FILLER_166_981,VDD,Metal1,557.5800,669.8875,5.000000
FILLER_166_976,VDD,Metal1,553.5600,670.3200,5.000000
FILLER_166_974,VDD,Metal1,552.7200,670.3200,5.000000
FILLER_166_970,VDD,Metal1,551.4200,669.8875,5.000000
FILLER_166_954,VDD,Metal1,546.0480,669.6280,5.000000
FILLER_166_951,VDD,Metal1,539.5600,670.3200,5.000000
FILLER_166_946,VDD,Metal1,536.7600,670.3200,5.000000
FILLER_166_944,VDD,Metal1,535.9200,670.3200,5.000000
FILLER_166_936,VDD,Metal1,533.6265,669.7430,5.000000
FILLER_166_920,VDD,Metal1,527.0080,669.6280,5.000000
FILLER_166_886,VDD,Metal1,512.5155,669.5510,5.000000
FILLER_166_883,VDD,Metal1,501.4800,670.3200,5.000000
FILLER_166_879,VDD,Metal1,500.4600,669.8875,5.000000
FILLER_166_874,VDD,Metal1,496.4400,670.3200,5.000000
FILLER_166_872,VDD,Metal1,495.6000,670.3200,5.000000
FILLER_166_856,VDD,Metal1,491.1680,669.6280,5.000000
FILLER_166_818,VDD,Metal1,474.4355,669.5510,5.000000
FILLER_166_784,VDD,Metal1,455.3955,669.5510,5.000000
FILLER_166_750,VDD,Metal1,436.3555,669.5510,5.000000
FILLER_166_747,VDD,Metal1,425.3200,670.3200,5.000000
FILLER_166_745,VDD,Metal1,424.4800,670.3200,5.000000
FILLER_166_733,VDD,Metal1,419.9465,669.7430,5.000000
FILLER_166_728,VDD,Metal1,414.6800,670.3200,5.000000
FILLER_166_724,VDD,Metal1,413.6600,669.8875,5.000000
FILLER_166_716,VDD,Metal1,410.4265,669.7430,5.000000
FILLER_166_682,VDD,Metal1,398.2755,669.5510,5.000000
FILLER_166_648,VDD,Metal1,379.2355,669.5510,5.000000
FILLER_166_645,VDD,Metal1,368.2000,670.3200,5.000000
FILLER_166_641,VDD,Metal1,367.1800,669.8875,5.000000
FILLER_166_633,VDD,Metal1,363.9465,669.7430,5.000000
FILLER_166_628,VDD,Metal1,358.6800,670.3200,5.000000
FILLER_166_626,VDD,Metal1,357.8400,670.3200,5.000000
FILLER_166_622,VDD,Metal1,356.5400,669.8875,5.000000
FILLER_166_614,VDD,Metal1,353.3065,669.7430,5.000000
FILLER_166_611,VDD,Metal1,349.1600,670.3200,5.000000
FILLER_166_609,VDD,Metal1,348.3200,670.3200,5.000000
FILLER_166_593,VDD,Metal1,343.8880,669.6280,5.000000
FILLER_166_588,VDD,Metal1,336.2800,670.3200,5.000000
FILLER_166_580,VDD,Metal1,334.2665,669.7430,5.000000
FILLER_166_577,VDD,Metal1,330.1200,670.3200,5.000000
FILLER_166_575,VDD,Metal1,329.2800,670.3200,5.000000
FILLER_166_571,VDD,Metal1,327.9800,669.8875,5.000000
FILLER_166_559,VDD,Metal1,321.2600,669.8875,5.000000
FILLER_166_551,VDD,Metal1,318.0265,669.7430,5.000000
FILLER_166_546,VDD,Metal1,312.7600,670.3200,5.000000
FILLER_166_512,VDD,Metal1,303.0755,669.5510,5.000000
FILLER_166_502,VDD,Metal1,289.3400,669.8875,5.000000
FILLER_166_494,VDD,Metal1,286.1065,669.7430,5.000000
FILLER_166_478,VDD,Metal1,279.4880,669.6280,5.000000
FILLER_166_475,VDD,Metal1,273.0000,670.3200,5.000000
FILLER_166_473,VDD,Metal1,272.1600,670.3200,5.000000
FILLER_166_469,VDD,Metal1,270.8600,669.8875,5.000000
FILLER_166_461,VDD,Metal1,267.6265,669.7430,5.000000
FILLER_166_456,VDD,Metal1,262.3600,670.3200,5.000000
FILLER_166_452,VDD,Metal1,261.3400,669.8875,5.000000
FILLER_166_444,VDD,Metal1,258.1065,669.7430,5.000000
FILLER_166_410,VDD,Metal1,245.9555,669.5510,5.000000
FILLER_166_407,VDD,Metal1,234.9200,670.3200,5.000000
FILLER_166_405,VDD,Metal1,234.0800,670.3200,5.000000
FILLER_166_397,VDD,Metal1,230.5400,669.8875,5.000000
FILLER_166_389,VDD,Metal1,227.3065,669.7430,5.000000
FILLER_166_384,VDD,Metal1,222.0400,670.3200,5.000000
FILLER_166_376,VDD,Metal1,220.0265,669.7430,5.000000
