Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_166_1166,VSS,Metal1,659.9600,666.4000,0.000000
FILLER_166_1158,VSS,Metal1,656.9330,666.8615,0.000000
FILLER_166_1124,VSS,Metal1,644.4440,666.9975,0.000000
FILLER_166_1090,VSS,Metal1,625.4040,666.9975,0.000000
FILLER_166_1056,VSS,Metal1,606.3640,666.9975,0.000000
FILLER_166_1022,VSS,Metal1,587.3240,666.9975,0.000000
FILLER_166_988,VSS,Metal1,568.2840,666.9975,0.000000
FILLER_166_954,VSS,Metal1,549.2440,666.9975,0.000000
FILLER_166_920,VSS,Metal1,530.2040,666.9975,0.000000
FILLER_166_886,VSS,Metal1,511.1640,666.9975,0.000000
FILLER_166_852,VSS,Metal1,492.1240,666.9975,0.000000
FILLER_166_818,VSS,Metal1,473.0840,666.9975,0.000000
FILLER_166_784,VSS,Metal1,454.0440,666.9975,0.000000
FILLER_166_750,VSS,Metal1,435.0040,666.9975,0.000000
FILLER_166_716,VSS,Metal1,415.9640,666.9975,0.000000
FILLER_166_682,VSS,Metal1,396.9240,666.9975,0.000000
FILLER_166_648,VSS,Metal1,377.8840,666.9975,0.000000
FILLER_166_614,VSS,Metal1,358.8440,666.9975,0.000000
FILLER_166_580,VSS,Metal1,339.8040,666.9975,0.000000
FILLER_166_546,VSS,Metal1,320.7640,666.9975,0.000000
FILLER_166_512,VSS,Metal1,301.7240,666.9975,0.000000
FILLER_166_478,VSS,Metal1,282.6840,666.9975,0.000000
FILLER_166_444,VSS,Metal1,263.6440,666.9975,0.000000
FILLER_166_410,VSS,Metal1,244.6040,666.9975,0.000000
FILLER_166_376,VSS,Metal1,225.5640,666.9975,0.000000
FILLER_166_342,VSS,Metal1,206.5240,666.9975,0.000000
FILLER_166_308,VSS,Metal1,187.4840,666.9975,0.000000
FILLER_166_274,VSS,Metal1,168.4440,666.9975,0.000000
FILLER_166_240,VSS,Metal1,149.4040,666.9975,0.000000
FILLER_166_206,VSS,Metal1,130.3640,666.9975,0.000000
FILLER_166_172,VSS,Metal1,111.3240,666.9975,0.000000
FILLER_166_138,VSS,Metal1,92.2840,666.9975,0.000000
FILLER_166_104,VSS,Metal1,73.2440,666.9975,0.000000
FILLER_166_70,VSS,Metal1,54.2040,666.9975,0.000000
FILLER_166_36,VSS,Metal1,35.1640,666.9975,0.000000
FILLER_166_2,VSS,Metal1,16.1240,666.9975,0.000000
FILLER_165_1166,VSS,Metal1,659.9600,666.4000,0.000000
FILLER_165_1162,VSS,Metal1,658.1800,666.0510,0.000000
FILLER_165_1154,VSS,Metal1,654.6930,665.9380,0.000000
FILLER_165_1122,VSS,Metal1,643.3240,665.8020,0.000000
FILLER_165_1116,VSS,Metal1,632.4200,666.0510,0.000000
FILLER_165_1052,VSS,Metal1,613.0445,665.7620,0.000000
FILLER_165_1046,VSS,Metal1,593.2200,666.0510,0.000000
FILLER_165_982,VSS,Metal1,573.8445,665.7620,0.000000
FILLER_165_976,VSS,Metal1,554.0200,666.0510,0.000000
FILLER_165_912,VSS,Metal1,534.6445,665.7620,0.000000
FILLER_165_906,VSS,Metal1,514.8200,666.0510,0.000000
FILLER_165_842,VSS,Metal1,495.4445,665.7620,0.000000
FILLER_165_836,VSS,Metal1,475.6200,666.0510,0.000000
FILLER_165_772,VSS,Metal1,456.2445,665.7620,0.000000
FILLER_165_766,VSS,Metal1,436.4200,666.0510,0.000000
FILLER_165_702,VSS,Metal1,417.0445,665.7620,0.000000
FILLER_165_696,VSS,Metal1,397.2200,666.0510,0.000000
FILLER_165_632,VSS,Metal1,377.8445,665.7620,0.000000
FILLER_165_626,VSS,Metal1,358.0200,666.0510,0.000000
FILLER_165_562,VSS,Metal1,338.6445,665.7620,0.000000
FILLER_165_556,VSS,Metal1,318.8200,666.0510,0.000000
