net,length_um
clknet_0_clk,1.20949mm
wave_controller_y_inst/net314,692.1µm
clknet_3_2__leaf_clk,665.53µm
net396,663.75µm
wave_controller_y_inst/net144,651.22µm
spi_regs_inst/net463,639.49µm
spi_regs_inst/net473,624.7µm
clk,605.93µm
wave_controller_y_inst/net386,604.9µm
spi_regs_inst/net461,604.59µm
wave_controller_y_inst/net172,575.37µm
net625,574.66µm
wave_controller_x_inst/net394,569.26µm
spi_regs_inst/net459,566.97µm
spi_regs_inst/net479,547.32µm
net527,545.33µm
wave_controller_y_inst/net137,542.08µm
clknet_3_7__leaf_clk,531.28µm
clknet_3_3__leaf_clk,529.88µm
wave_controller_y_inst/net142,521.61µm
spi_regs_inst/net467,512.81µm
clknet_3_0__leaf_clk,507.15µm
wave_controller_y_inst/net24,505.57µm
wave_controller_x_inst/net70,494.68µm
wave_controller_x_inst/net323,493.05µm
net595,468.41µm
spi_regs_inst/net481,463.98µm
spi_regs_inst/net465,459.6µm
spi_regs_inst/net471,458.84µm
net566,454.82µm
clknet_3_5__leaf_clk,454µm
wave_controller_x_inst/net162,443.21µm
wave_controller_x_inst/net76,443.11µm
net605,438.27µm
wave_controller_y_inst/net409,438.22µm
wave_controller_y_inst/net143,435.17µm
wave_controller_y_inst/net25,432.98µm
wave_controller_y_inst/net408,432.94µm
wave_controller_y_inst/net23,430µm
wave_controller_y_inst/_1160_,427.43µm
wave_controller_y_inst/net122,426.82µm
net451,424.73µm
cal_timeout_x,424.49µm
wave_controller_y_inst/net135,419.74µm
cal_done_x,416.96µm
net609,416.84µm
wave_controller_x_inst/net161,415.62µm
spi_regs_inst/net469,414.83µm
clknet_3_1__leaf_clk,410.07µm
wave_controller_x_inst/net155,409.51µm
cal_timeout_y,408.95µm
net441,402.99µm
spi_regs_inst/net486,402.28µm
spi_regs_inst/net484,402.17µm
wave_controller_y_inst/net26,399.53µm
wave_controller_x_inst/net36,398µm
wave_controller_y_inst/net381,397.85µm
wave_controller_y_inst/net140,396.78µm
net452,393.83µm
wave_controller_x_inst/net160,392.86µm
delay_wave_cycle_y\[2\],391.13µm
raw_edge3_x\[4\],391.13µm
net497,390.52µm
wave_controller_y_inst/net59,388.28µm
cfg_phase270_offset_x\[14\],386.44µm
clknet_3_6__leaf_clk,383.39µm
delay_wave_cycle_x\[6\],382.78µm
delay_wave_cycle_x\[4\],382.73µm
wave_controller_y_inst/capture_step\[0\],382.02µm
net392,379.88µm
net490,378.81µm
net457,377.54µm
spi_regs_inst/net488,376.16µm
spi_regs_inst/net227,372.14µm
raw_edge1_y\[4\],371.99µm
wave_controller_y_inst/net145,371.94µm
delay_wave_cycle_y\[6\],370.92µm
wave_controller_x_inst/net34,370µm
delay_wave_cycle_y\[0\],369.8µm
cal_done_y,367.07µm
net500,366.82µm
net494,365.42µm
wave_controller_x_inst/net177,365.32µm
spi_regs_inst/net425,362.47µm
wave_controller_y_inst/net171,362.11µm
net620,362.01µm
spi_regs_inst/net475,361.45µm
net522,361.04µm
raw_edge3_y\[12\],360.23µm
net393,359.06µm
wave_controller_y_inst/net52,358.54µm
net593,357.33µm
net385,355.75µm
net521,355.34µm
wave_controller_y_inst/net410,354.48µm
net454,352.95µm
cfg_phase90_offset_x\[12\],351.95µm
clknet_3_4__leaf_clk,351.93µm
net424,350.71µm
net528,350.4µm
net418,350.05µm
delay_wave_cycle_x\[2\],349.41µm
delay_wave_cycle_x\[1\],348.52µm
net445,347.91µm
net458,347.86µm
raw_edge1_x\[6\],347.4µm
net447,346.48µm
raw_edge3_x\[20\],345.67µm
cfg_phase270_offset_y\[2\],344.61µm
raw_edge1_y\[9\],344.09µm
spi_regs_inst/net489,343.99µm
cfg_phase270_offset_x\[19\],343.48µm
raw_edge2_y\[0\],342.41µm
net422,342.26µm
net5,342.21µm
raw_edge2_x\[11\],341.75µm
wave_controller_y_inst/net53,341.75µm
delay_wave_cycle_x\[7\],341.7µm
wave_controller_y_inst/net133,340.58µm
raw_edge1_x\[3\],335.64µm
raw_edge3_y\[10\],335.03µm
wave_controller_x_inst/_1161_,333.35µm
wave_controller_x_inst/net156,332.23µm
wave_controller_x_inst/_0487_,332.13µm
delay_wave_cycle_y\[7\],330.5µm
raw_edge1_x\[4\],326.78µm
spi_regs_inst/net466,324.03µm
wave_controller_x_inst/_1160_,323.83µm
net456,323.22µm
wave_controller_x_inst/net153,321.54µm
spi_regs_inst/net464,320.98µm
net529,320.16µm
raw_edge2_x\[16\],319.91µm
wave_controller_y_inst/net313,319.5µm
wave_controller_y_inst/net138,319.4µm
net517,319.35µm
net449,319.25µm
raw_edge3_y\[20\],318.18µm
wave_controller_y_inst/_1278_,317.62µm
spi_regs_inst/net326,317.26µm
raw_edge1_y\[7\],316.65µm
wave_controller_x_inst/net322,314.82µm
votes_out_phase_x\[3\],313.7µm
cal_phase0_offset_x\[1\],313.19µm
spi_regs_inst/_0657_,312.95µm
wave_controller_x_inst/net321,312.22µm
raw_edge1_y\[16\],311.15µm
wave_controller_y_inst/net49,311µm
wave_controller_x_inst/net37,310.34µm
raw_edge3_x\[8\],308.2µm
net10,308.05µm
raw_edge2_y\[4\],307.54µm
net423,307.03µm
net518,306.47µm
clknet_leaf_47_clk,306.47µm
wave_controller_x_inst/_0488_,306.37µm
net395,306.05µm
wave_controller_y_inst/net380,305.91µm
cfg_f_MEMS_fcw_y\[14\],305.84µm
raw_edge1_y\[19\],303.97µm
raw_edge2_y\[6\],303.11µm
wave_controller_x_inst/net35,302.7µm
analog[1],302.31µm
net443,301.73µm
wave_controller_y_inst/net27,301.58µm
cfg_phase270_offset_x\[18\],301.53µm
net525,301.48µm
net450,300.97µm
raw_edge1_x\[9\],300.92µm
raw_edge1_y\[17\],300.92µm
net594,300.26µm
raw_edge1_x\[5\],299.19µm
raw_edge1_x\[11\],298.73µm
net414,298.12µm
raw_edge1_y\[14\],297.51µm
wave_controller_x_inst/net589,296.9µm
spi_regs_inst/net238,296.08µm
spi_regs_inst/net462,295.22µm
spi_regs_inst/_0561_,294.84µm
wave_controller_x_inst/net435,294.35µm
net511,294.1µm
net491,293.74µm
net504,293.26µm
cfg_phase90_offset_y\[17\],293.03µm
delay_wave_cycle_y\[4\],292.52µm
wave_controller_y_inst/net58,292.42µm
cfg_phase270_offset_x\[1\],292.34µm
cfg_phase90_offset_x\[11\],291.45µm
net413,291.26µm
wave_controller_x_inst/net65,291.05µm
delay_wave_cycle_y\[3\],290.79µm
spi_regs_inst/net477,290.74µm
wave_controller_x_inst/net157,290.38µm
cfg_phase90_offset_x\[2\],290.18µm
cfg_phase270_offset_y\[0\],289.66µm
cfg_phase90_offset_x\[15\],289.54µm
cfg_phase90_offset_x\[20\],289.46µm
cal_dir_x,288.6µm
raw_edge1_x\[19\],288.19µm
net513,288.19µm
cfg_phase90_offset_x\[9\],287.6µm
delay_wave_cycle_x\[0\],287.43µm
net448,284.93µm
raw_edge3_x\[10\],284.63µm
cfg_phase0_offset_x\[11\],284.02µm
spi_regs_inst/net264,282.96µm
cfg_phase270_offset_y\[8\],282.29µm
net421,282.29µm
cfg_phase270_offset_x\[17\],282.07µm
net535,281.98µm
cfg_phase0_offset_x\[4\],281.37µm
raw_edge2_y\[8\],281.22µm
votes_out_phase_x\[0\],280.82µm
raw_edge1_y\[15\],280.2µm
raw_edge2_y\[10\],280.15µm
raw_edge3_x\[11\],280.15µm
wave_controller_x_inst/net75,279.13µm
cal_phase0_offset_y\[1\],279.03µm
wave_controller_x_inst/phase_acc\[12\],277.4µm
cfg_phase270_offset_y\[17\],276.45µm
wave_controller_y_inst/net55,275.72µm
net416,275.72µm
spi_regs_inst/net230,274.14µm
clknet_leaf_44_clk,274.09µm
net384,274.04µm
raw_edge3_x\[12\],273.48µm
raw_edge3_x\[9\],273.38µm
spi_regs_inst/net281,273.38µm
net510,273.15µm
wave_controller_x_inst/net436,272.92µm
spi_regs_inst/net460,272.51µm
net455,271.29µm
wave_controller_y_inst/net51,270.27µm
raw_edge2_y\[7\],269.71µm
raw_edge1_x\[13\],269µm
delay_wave_cycle_x\[3\],268.54µm
net446,268.34µm
spi_regs_inst/_0622_,268.06µm
