Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_167_1124,VSS,Metal1,644.4440,673.6420,0.000000
FILLER_167_1090,VSS,Metal1,625.4040,673.6420,0.000000
FILLER_167_1056,VSS,Metal1,606.3640,673.6420,0.000000
FILLER_167_1022,VSS,Metal1,587.3240,673.6420,0.000000
FILLER_167_1019,VSS,Metal1,577.6400,674.2400,0.000000
FILLER_167_1011,VSS,Metal1,574.6130,673.7780,0.000000
FILLER_167_995,VSS,Metal1,567.7920,673.6920,0.000000
FILLER_167_990,VSS,Metal1,561.4000,674.2400,0.000000
FILLER_167_988,VSS,Metal1,560.5600,674.2400,0.000000
FILLER_167_954,VSS,Metal1,549.2440,673.6420,0.000000
FILLER_167_920,VSS,Metal1,530.2040,673.6420,0.000000
FILLER_167_886,VSS,Metal1,511.1640,673.6420,0.000000
FILLER_167_852,VSS,Metal1,492.1240,673.6420,0.000000
FILLER_167_842,VSS,Metal1,478.9800,673.8910,0.000000
FILLER_167_834,VSS,Metal1,475.4930,673.7780,0.000000
FILLER_167_818,VSS,Metal1,468.6720,673.6920,0.000000
FILLER_167_784,VSS,Metal1,454.0440,673.6420,0.000000
FILLER_167_774,VSS,Metal1,440.9000,673.8910,0.000000
FILLER_167_766,VSS,Metal1,437.4130,673.7780,0.000000
FILLER_167_750,VSS,Metal1,430.5920,673.6920,0.000000
FILLER_167_747,VSS,Metal1,425.3200,674.2400,0.000000
FILLER_167_745,VSS,Metal1,424.4800,674.2400,0.000000
FILLER_167_741,VSS,Metal1,422.4200,673.8910,0.000000
FILLER_167_732,VSS,Metal1,416.9200,674.2400,0.000000
FILLER_167_716,VSS,Metal1,411.5520,673.6920,0.000000
FILLER_167_682,VSS,Metal1,396.9240,673.6420,0.000000
FILLER_167_648,VSS,Metal1,377.8840,673.6420,0.000000
FILLER_167_614,VSS,Metal1,358.8440,673.6420,0.000000
FILLER_167_580,VSS,Metal1,339.8040,673.6420,0.000000
FILLER_167_546,VSS,Metal1,320.7640,673.6420,0.000000
FILLER_167_539,VSS,Metal1,308.8400,674.2400,0.000000
FILLER_167_537,VSS,Metal1,308.0000,674.2400,0.000000
FILLER_167_533,VSS,Metal1,305.9400,673.8910,0.000000
FILLER_167_517,VSS,Metal1,300.1120,673.6920,0.000000
FILLER_167_512,VSS,Metal1,293.7200,674.2400,0.000000
FILLER_167_478,VSS,Metal1,282.6840,673.6420,0.000000
FILLER_167_444,VSS,Metal1,263.6440,673.6420,0.000000
FILLER_167_410,VSS,Metal1,244.6040,673.6420,0.000000
FILLER_167_376,VSS,Metal1,225.5640,673.6420,0.000000
FILLER_167_373,VSS,Metal1,215.8800,674.2400,0.000000
FILLER_167_365,VSS,Metal1,212.8530,673.7780,0.000000
FILLER_167_349,VSS,Metal1,206.0320,673.6920,0.000000
FILLER_167_344,VSS,Metal1,199.6400,674.2400,0.000000
FILLER_167_342,VSS,Metal1,198.8000,674.2400,0.000000
FILLER_167_308,VSS,Metal1,187.4840,673.6420,0.000000
FILLER_167_274,VSS,Metal1,168.4440,673.6420,0.000000
FILLER_167_240,VSS,Metal1,149.4040,673.6420,0.000000
FILLER_167_206,VSS,Metal1,130.3640,673.6420,0.000000
FILLER_167_172,VSS,Metal1,111.3240,673.6420,0.000000
FILLER_167_138,VSS,Metal1,92.2840,673.6420,0.000000
FILLER_167_135,VSS,Metal1,82.6000,674.2400,0.000000
