net,length_um
clknet_0_clk,1.13272mm
net1570,700.08µm
net1571,689.56µm
clknet_3_2__leaf_clk,642.68µm
raw_edge2_x\[20\],521µm
spi_regs_inst/_0272_,516.72µm
clknet_3_7__leaf_clk,515.55µm
clknet_3_6__leaf_clk,513.92µm
clknet_3_0__leaf_clk,496.92µm
clknet_3_5__leaf_clk,456.14µm
net1224,435.93µm
raw_edge2_y\[12\],420.3µm
cfg_f_MEMS_fcw_x\[14\],416.33µm
clknet_3_4__leaf_clk,399.63µm
raw_edge2_x\[18\],392.86µm
cfg_phase90_offset_x\[17\],383.8µm
net880,381µm
clknet_3_3__leaf_clk,377.23µm
net1504,374.28µm
wave_controller_y_inst/phase_acc\[13\],364.38µm
jitter_flag_y,360.18µm
spi_regs_inst/net999,356.34µm
spi_regs_inst/net998,356.26µm
wave_controller_y_inst/net1145,355.29µm
spi_regs_inst/net957,350.1µm
net990,345.62µm
spi_regs_inst/net1000,343.94µm
votes_out_phase_x\[3\],343.48µm
cfg_f_MEMS_fcw_y\[14\],341.39µm
spi_regs_inst/net873,338.29µm
cfg_phase0_offset_x\[6\],333.25µm
wave_controller_x_inst/net900,330.5µm
spi_regs_inst/net871,329.94µm
cfg_phase0_offset_x\[4\],327.65µm
cfg_phase270_offset_y\[4\],327.65µm
net11,323.78µm
cfg_phase0_offset_x\[10\],323.27µm
spi_regs_inst/net875,322.75µm
votes_out_phase_x\[0\],320.42µm
wave_controller_y_inst/_1121_,320.11µm
spi_regs_inst/_0564_,318.33µm
clk,317.43µm
cfg_phase90_offset_x\[0\],314.82µm
spi_regs_inst/net1276,314.21µm
spi_regs_inst/net876,313.7µm
raw_edge3_x\[19\],311µm
net879,309.22µm
spi_regs_inst/net997,309.12µm
cfg_phase270_offset_x\[18\],308.71µm
clknet_3_1__leaf_clk,308.71µm
net1001,308.56µm
wave_controller_x_inst/net536,307.64µm
cfg_phase0_offset_x\[16\],306.57µm
cfg_phase270_offset_x\[1\],306.52µm
spi_regs_inst/_0519_,305.35µm
net878,304.08µm
cal_phase90_offset_y\[3\],303.08µm
net984,302.6µm
net983,301.89µm
spi_regs_inst/net996,301.84µm
cfg_phase0_offset_x\[17\],301.53µm
net973,299.8µm
jitter_flag_x,299.24µm
cal_phase270_offset_y\[15\],298.58µm
net980,296.9µm
spi_regs_inst/net470,295.68µm
net1543,295.17µm
cal_phase90_offset_y\[10\],293.49µm
net1197,293.28µm
wave_controller_y_inst/phase_acc\[8\],293.13µm
cal_done_x,293.03µm
clknet_leaf_7_clk,292.57µm
cfg_phase270_offset_x\[2\],291.3µm
cfg_phase270_offset_x\[4\],291.3µm
net991,289.67µm
net868,288.69µm
wave_controller_y_inst/_0737_,288.45µm
cfg_phase270_offset_y\[19\],287.58µm
cfg_phase270_offset_x\[14\],286.97µm
wave_controller_y_inst/_0611_,286.82µm
cfg_phase270_offset_y\[3\],286.31µm
wave_controller_x_inst/net255,285.85µm
net863,285.24µm
spi_regs_inst/net1112,285.14µm
cfg_phase90_offset_y\[18\],284.63µm
net985,284.63µm
spi_regs_inst/cs_sync\[0\],284.53µm
votes_out_phase_x\[2\],284.07µm
votes_out_phase_y\[2\],283.92µm
raw_edge1_y\[18\],283.71µm
state_o\[1\],283.05µm
net864,281.88µm
cfg_phase270_offset_y\[16\],281.17µm
cfg_phase90_offset_x\[6\],281.04µm
cal_phase90_offset_x\[4\],279.1µm
spi_regs_inst/_0692_,279.08µm
cfg_phase270_offset_y\[2\],278.37µm
delay_wave_cycle_y\[0\],276.78µm
phase_state_y\[1\],275.62µm
state_o\[0\],274.6µm
phase_state_y\[0\],274.55µm
cal_phase90_offset_y\[15\],273.28µm
net845,272.79µm
delay_wave_cycle_x\[2\],271.9µm
cfg_phase270_offset_x\[3\],271.8µm
spi_regs_inst/_0567_,271.7µm
net976,271.65µm
cal_phase90_offset_x\[8\],271.52µm
net963,270.8µm
cfg_phase90_offset_y\[17\],270.68µm
cfg_phase0_offset_y\[3\],270.53µm
net874,269.51µm
cfg_phase90_offset_x\[19\],267.5µm
net992,266.81µm
net858,265.01µm
cfg_f_MEMS_fcw_x\[4\],264.42µm
state_o\[2\],264.06µm
wave_controller_y_inst/net237,264.06µm
raw_edge2_x\[3\],263.86µm
net1242,263.64µm
votes_in_phase_y\[1\],262.18µm
cfg_phase270_offset_x\[19\],261.16µm
cfg_phase0_offset_y\[15\],259.43µm
cfg_phase90_offset_y\[0\],258.87µm
cfg_phase90_offset_y\[6\],258.82µm
clknet_leaf_29_clk,258.46µm
spi_regs_inst/cs_n_sync,256.63µm
net958,256.12µm
net966,256.12µm
spi_regs_inst/reg_wr_data\[4\],256.07µm
net970,256.02µm
net6,255.97µm
votes_in_phase_x\[2\],255.97µm
net16,255.92µm
cfg_phase270_offset_x\[0\],255.56µm
wave_controller_y_inst/net288,254.52µm
net975,253.37µm
net986,252.61µm
cfg_phase270_offset_x\[8\],252.1µm
cfg_phase90_offset_x\[15\],251.18µm
net968,250.93µm
raw_edge1_y\[20\],250.37µm
net860,250.19µm
raw_edge3_x\[12\],249.96µm
net862,249.86µm
boot_complete,249.25µm
wave_controller_y_inst/net28,248.84µm
cfg_f_MEMS_fcw_y\[4\],248.74µm
raw_edge3_x\[5\],248.64µm
spi_regs_inst/_0704_,248.35µm
raw_edge3_x\[18\],248.18µm
cfg_phase0_offset_y\[19\],247.72µm
cfg_phase90_offset_x\[16\],247.11µm
net994,247.01µm
spi_regs_inst/_0711_,246.66µm
net851,246.6µm
cal_phase90_offset_x\[6\],246.53µm
votes_out_phase_y\[1\],246.5µm
cal_phase90_offset_y\[4\],245.84µm
net1114,243.7µm
cal_phase90_offset_y\[14\],243.04µm
net841,243.04µm
cfg_f_MEMS_fcw_x\[8\],242.68µm
raw_edge1_y\[15\],242.63µm
delay_wave_cycle_x\[5\],241.92µm
raw_edge1_x\[9\],241.65µm
cfg_phase0_offset_x\[20\],241.56µm
raw_edge3_y\[6\],241.51µm
net969,241.51µm
spi_regs_inst/net326,240.85µm
cfg_phase90_offset_x\[5\],240.49µm
cfg_phase90_offset_x\[4\],240.39µm
spi_regs_inst/net989,240.33µm
cfg_f_MEMS_fcw_y\[0\],238.81µm
wave_controller_x_inst/_1122_,238.76µm
net866,238.71µm
raw_edge1_y\[11\],238.61µm
net993,238.56µm
raw_edge3_y\[20\],238.25µm
spi_regs_inst/_0694_,238.15µm
wave_controller_y_inst/_1326_,238.15µm
net987,238.1µm
wave_controller_x_inst/net692,238.05µm
cfg_phase270_offset_x\[7\],237.59µm
cal_phase90_offset_y\[13\],237.54µm
