net,length_um
clknet_0_clk,1.2014mm
net628,724.38µm
net405,706.31µm
wave_controller_y_inst/net176,595.17µm
wave_controller_y_inst/net146,581.78µm
wave_controller_y_inst/net24,578.83µm
clk,573.35µm
wave_controller_y_inst/net323,556.18µm
net404,551.62µm
spi_regs_inst/net472,550.88µm
wave_controller_y_inst/net22,550.32µm
spi_regs_inst/net487,543.07µm
net402,541.87µm
spi_regs_inst/net468,538.56µm
spi_regs_inst/net470,527.31µm
clknet_3_2__leaf_clk,522.73µm
spi_regs_inst/net475,516.72µm
wave_controller_x_inst/net333,499.67µm
spi_regs_inst/net480,498.9µm
net608,498.5µm
clknet_3_7__leaf_clk,493.51µm
net513,491.98µm
cal_done_y,491.24µm
clknet_3_3__leaf_clk,489.74µm
wave_controller_x_inst/net33,477.01µm
wave_controller_y_inst/net395,474.98µm
wave_controller_x_inst/net35,471.72µm
net499,469.81µm
wave_controller_x_inst/net165,468.51µm
net434,465.67µm
clknet_3_6__leaf_clk,463.88µm
wave_controller_y_inst/net394,454.41µm
net570,446.57µm
wave_controller_y_inst/net139,441.58µm
wave_controller_x_inst/net164,441.39µm
spi_regs_inst/net489,440.56µm
clknet_3_5__leaf_clk,438.17µm
wave_controller_y_inst/net412,433.03µm
wave_controller_x_inst/net403,431.3µm
delay_wave_cycle_y\[0\],430.94µm
spi_regs_inst/net492,426.82µm
raw_edge2_x\[4\],424.07µm
wave_controller_x_inst/net162,421.42µm
net581,417.91µm
wave_controller_y_inst/net144,414.65µm
spi_regs_inst/net494,407.17µm
net511,406.81µm
spi_regs_inst/net476,406.76µm
raw_edge3_x\[4\],405.47µm
wave_controller_x_inst/_1278_,403.35µm
cfg_phase270_offset_x\[19\],398.36µm
delay_wave_cycle_y\[4\],398.36µm
raw_edge3_y\[20\],395.05µm
clknet_leaf_45_clk,394.64µm
wave_controller_y_inst/net140,394.49µm
wave_controller_y_inst/net145,393.83µm
raw_edge2_x\[20\],391.8µm
wave_controller_y_inst/_0744_,391.3µm
delay_wave_cycle_y\[5\],390.57µm
wave_controller_y_inst/net125,388.29µm
delay_wave_cycle_x\[4\],386.65µm
raw_edge2_y\[0\],385.8µm
spi_regs_inst/net471,385.58µm
raw_edge1_x\[11\],385.48µm
net505,384.03µm
delay_wave_cycle_y\[6\],383.24µm
phase_state_y\[0\],382.02µm
wave_controller_y_inst/_1161_,381.51µm
net433,381.46µm
wave_controller_y_inst/net142,380.69µm
net502,379.78µm
spi_regs_inst/net474,378.86µm
raw_edge2_y\[4\],376.75µm
net466,370.51µm
wave_controller_x_inst/net159,369.85µm
wave_controller_x_inst/net160,369.8µm
net527,368.07µm
cfg_phase0_offset_y\[15\],364.86µm
jitter_flag_y,364.71µm
wave_controller_y_inst/_1278_,363µm
wave_controller_y_inst/net53,362.52µm
wave_controller_x_inst/_0488_,362.47µm
cal_timeout_x,361.96µm
net454,361.91µm
net534,361.5µm
cfg_phase270_offset_y\[17\],361.45µm
wave_controller_x_inst/net181,358.04µm
wave_controller_y_inst/net334,357.99µm
net465,356.97µm
raw_edge1_x\[9\],356.87µm
clknet_3_4__leaf_clk,356.61µm
net498,356.46µm
spi_regs_inst/net478,354.07µm
wave_controller_y_inst/net147,353.97µm
wave_controller_x_inst/net166,353.97µm
net460,352.9µm
raw_edge3_x\[8\],352.64µm
net462,352.29µm
wave_controller_x_inst/net158,350.81µm
net529,350.81µm
clknet_3_0__leaf_clk,349.69µm
spi_regs_inst/net335,349.54µm
net523,348.97µm
raw_edge1_x\[5\],348.47µm
cfg_phase90_offset_x\[11\],347.45µm
wave_controller_y_inst/net23,346.74µm
delay_wave_cycle_y\[7\],345.72µm
raw_edge2_y\[11\],345.72µm
wave_controller_x_inst/net34,345.21µm
votes_in_phase_y\[2\],345.06µm
net457,343.58µm
net467,342.46µm
net627,341.85µm
raw_edge3_x\[10\],337.98µm
net458,337.98µm
wave_controller_y_inst/net56,337.78µm
wave_controller_y_inst/net50,337.73µm
net455,337.47µm
net463,336.86µm
votes_in_phase_y\[3\],334.98µm
spi_regs_inst/reg_wr_data\[5\],334.1µm
net501,334.06µm
wave_controller_y_inst/net21,333.55µm
raw_edge1_x\[4\],332.84µm
net508,330.65µm
raw_edge1_x\[6\],330.19µm
wave_controller_x_inst/net607,328.87µm
net456,328.41µm
wave_controller_y_inst/phase_acc\[12\],327.95µm
net10,327.6µm
net452,326.73µm
net620,323.27µm
raw_edge3_x\[7\],323.22µm
spi_regs_inst/_0657_,322.71µm
delay_wave_cycle_y\[2\],322.66µm
wave_controller_x_inst/_0617_,322.24µm
raw_edge1_x\[3\],321.08µm
raw_edge3_x\[12\],319.4µm
cal_phase0_offset_x\[1\],318.23µm
delay_wave_cycle_x\[6\],317.06µm
votes_out_phase_y\[2\],316.55µm
wave_controller_y_inst/_1160_,315.94µm
raw_edge1_y\[19\],315.63µm
net509,314.97µm
cfg_f_MEMS_fcw_y\[14\],314.7µm
raw_edge3_y\[16\],314.21µm
cfg_phase270_offset_x\[1\],313.97µm
cfg_phase270_offset_x\[18\],313.95µm
net425,313.9µm
raw_edge2_y\[20\],313.29µm
cfg_phase90_offset_x\[12\],313.17µm
spi_regs_inst/net481,313.14µm
cfg_phase0_offset_y\[20\],312.22µm
wave_controller_y_inst/net137,312.17µm
net431,312.17µm
delay_wave_cycle_x\[1\],312.07µm
raw_edge3_x\[9\],312.07µm
raw_edge2_y\[10\],310.54µm
wave_controller_x_inst/net445,309.98µm
raw_edge2_y\[13\],309.93µm
spi_regs_inst/net209,309.93µm
wave_controller_y_inst/net48,309.78µm
wave_controller_y_inst/net46,309.73µm
wave_controller_x_inst/net157,308.91µm
net429,308.06µm
wave_controller_x_inst/net32,307.64µm
spi_regs_inst/_0561_,307.59µm
cfg_phase270_offset_x\[14\],305.45µm
votes_out_phase_y\[1\],305.36µm
raw_edge1_y\[20\],304.89µm
cfg_phase270_offset_y\[16\],304.79µm
spi_regs_inst/reg_wr_data\[3\],304.74µm
raw_edge1_y\[5\],303.06µm
wave_controller_x_inst/net446,302.7µm
wave_controller_y_inst/net55,301.53µm
raw_edge1_y\[7\],300.97µm
delay_wave_cycle_x\[7\],300.87µm
wave_controller_x_inst/net180,300.36µm
net432,300.36µm
raw_edge3_x\[2\],299.85µm
cfg_phase90_offset_y\[18\],299.19µm
net423,298.07µm
cfg_phase90_offset_y\[12\],296.82µm
cfg_phase270_offset_y\[14\],296.59µm
spi_regs_inst/net469,296.44µm
net542,296.08µm
spi_regs_inst/net485,295.32µm
cfg_phase90_offset_x\[8\],295.27µm
cfg_phase270_offset_x\[17\],295.17µm
cfg_phase270_offset_y\[0\],294.2µm
raw_edge2_y\[7\],294.15µm
cal_done_x,293.54µm
wave_controller_y_inst/net419,292.98µm
wave_controller_x_inst/net459,292.67µm
net524,292.06µm
wave_controller_x_inst/_1160_,291.86µm
raw_edge3_y\[12\],291.6µm
votes_in_phase_y\[0\],290.13µm
net426,289.82µm
spi_regs_inst/net497,289.06µm
raw_edge1_y\[17\],288.6µm
net430,288.5µm
votes_out_phase_y\[3\],287.94µm
wave_controller_y_inst/net413,286.92µm
delay_wave_cycle_y\[3\],286.87µm
wave_controller_x_inst/net62,286.87µm
cfg_phase270_offset_y\[2\],286.75µm
spi_regs_inst/net244,286.66µm
net516,286.46µm
cal_start,286.41µm
spi_regs_inst/net483,286.31µm
spi_regs_inst/net495,285.85µm
raw_edge1_y\[14\],285.8µm
wave_controller_x_inst/_1245_,285.39µm
cfg_phase270_offset_y\[13\],285.34µm
cfg_phase90_offset_y\[19\],284.73µm
wave_controller_y_inst/net420,284.68µm
spi_regs_inst/reg_wr_data\[7\],284.58µm
wave_controller_y_inst/net418,284.17µm
net526,283.66µm
cfg_phase90_offset_x\[9\],283µm
spi_regs_inst/net267,282.95µm
cal_phase0_offset_y\[1\],282.85µm
wave_controller_x_inst/net70,281.88µm
cfg_phase90_offset_x\[20\],281.78µm
wave_controller_y_inst/net135,280.91µm
net594,280.15µm
net569,278.52µm
wave_controller_y_inst/net514,278.47µm
clknet_3_1__leaf_clk,278.06µm
raw_edge3_y\[10\],276.94µm
clknet_leaf_29_clk,276.89µm
cfg_phase270_offset_y\[19\],276.28µm
wave_controller_x_inst/net65,276.23µm
wave_controller_x_inst/net384,276.13µm
wave_controller_y_inst/net51,275.77µm
spi_regs_inst/_0227_,275.21µm
delay_wave_cycle_x\[5\],275.06µm
raw_edge1_y\[12\],273.58µm
net537,273.02µm
raw_edge3_y\[15\],272.87µm
net532,272.26µm
raw_edge1_x\[7\],271.95µm
wave_controller_x_inst/net447,271.85µm
cfg_phase90_offset_x\[3\],271.8µm
cfg_phase270_offset_y\[15\],271.7µm
cfg_phase0_offset_y\[12\],270.68µm
spi_regs_inst/_0598_,270.68µm
raw_edge2_x\[16\],270.58µm
wave_controller_y_inst/net45,269.61µm
wave_controller_y_inst/net364,268.54µm
net450,268.49µm
raw_edge2_y\[18\],267.98µm
spi_regs_inst/net243,267.83µm
raw_edge3_x\[5\],267.37µm
wave_controller_x_inst/_1234_,267.27µm
spi_regs_inst/reg_wr_data\[6\],266.61µm
spi_regs_inst/_0607_,266.28µm
cfg_phase270_offset_x\[0\],266µm
cfg_f_MEMS_fcw_y\[0\],265.74µm
delay_wave_cycle_x\[2\],265.64µm
net547,265.59µm
wave_controller_y_inst/net510,264.01µm
net464,263.4µm
raw_edge2_y\[16\],262.94µm
raw_edge3_x\[11\],262.89µm
net453,262.89µm
wave_controller_y_inst/net512,262.89µm
raw_edge3_y\[13\],262.33µm
raw_edge3_y\[2\],262.28µm
wave_controller_x_inst/net331,261.77µm
cal_phase0_offset_x\[0\],261.67µm
delay_wave_cycle_x\[0\],261.62µm
wave_controller_x_inst/_1161_,261.52µm
wave_controller_y_inst/net554,261.11µm
wave_controller_y_inst/net579,261.11µm
cfg_phase90_offset_x\[2\],260.96µm
wave_controller_y_inst/_1350_,260.09µm
net517,258.97µm
wave_controller_y_inst/_0491_,258.92µm
cfg_phase90_offset_y\[17\],258.31µm
wave_controller_y_inst/net410,257.85µm
raw_edge1_y\[8\],257.75µm
raw_edge2_y\[6\],257.7µm
net530,257.14µm
cfg_phase90_offset_y\[3\],256.53µm
wave_controller_x_inst/net622,255.81µm
net427,255.51µm
clknet_leaf_26_clk,255.51µm
wave_controller_y_inst/net365,255.05µm
votes_in_phase_y\[1\],254.8µm
raw_edge3_x\[20\],254.54µm
wave_controller_y_inst/net321,253.32µm
spi_regs_inst/net482,252.15µm
spi_regs_inst/net491,251.59µm
cfg_phase90_offset_x\[15\],250.52µm
