Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_167_1148,VDD,Metal1,651.1000,670.7525,4.999994
FILLER_167_1140,VDD,Metal1,647.8665,670.8965,4.999994
FILLER_167_1124,VDD,Metal1,641.2480,671.0120,4.999994
FILLER_167_1090,VDD,Metal1,626.7555,671.0885,4.999994
FILLER_167_1087,VDD,Metal1,615.7200,670.3200,4.999994
FILLER_167_1085,VDD,Metal1,614.8800,670.3200,4.999994
FILLER_167_1081,VDD,Metal1,613.5800,670.7525,4.999994
FILLER_167_1073,VDD,Metal1,610.3465,670.8965,4.999994
FILLER_167_1068,VDD,Metal1,605.0800,670.3200,4.999994
FILLER_167_1064,VDD,Metal1,604.0600,670.7525,4.999994
FILLER_167_1056,VDD,Metal1,600.8265,670.8965,4.999994
FILLER_167_1022,VDD,Metal1,588.6755,671.0885,4.999994
FILLER_167_1019,VDD,Metal1,577.6400,670.3200,4.999994
FILLER_167_1017,VDD,Metal1,576.8000,670.3200,4.999994
FILLER_167_1009,VDD,Metal1,574.5065,670.8965,4.999993
FILLER_167_993,VDD,Metal1,567.8880,671.0120,4.999993
FILLER_167_988,VDD,Metal1,560.2800,670.3200,4.999993
FILLER_167_954,VDD,Metal1,550.5955,671.0885,4.999993
FILLER_167_920,VDD,Metal1,531.5555,671.0885,4.999993
FILLER_167_917,VDD,Metal1,520.5200,670.3200,4.999993
FILLER_167_909,VDD,Metal1,518.5065,670.8965,4.999993
FILLER_167_904,VDD,Metal1,513.2400,670.3200,4.999993
FILLER_167_902,VDD,Metal1,512.4000,670.3200,4.999993
FILLER_167_886,VDD,Metal1,507.9680,671.0120,4.999993
FILLER_167_852,VDD,Metal1,493.4755,671.0885,4.999993
FILLER_167_818,VDD,Metal1,474.4355,671.0885,4.999993
FILLER_167_784,VDD,Metal1,455.3955,671.0885,4.999993
FILLER_167_750,VDD,Metal1,436.3555,671.0885,4.999993
FILLER_167_716,VDD,Metal1,417.3155,671.0885,4.999993
FILLER_167_682,VDD,Metal1,398.2755,671.0885,4.999993
FILLER_167_648,VDD,Metal1,379.2355,671.0885,4.999993
FILLER_167_614,VDD,Metal1,360.1955,671.0885,4.999993
FILLER_167_580,VDD,Metal1,341.1555,671.0885,4.999993
FILLER_167_576,VDD,Metal1,329.8400,670.3200,4.999993
FILLER_167_572,VDD,Metal1,328.5400,670.7525,4.999993
FILLER_167_564,VDD,Metal1,325.3065,670.8965,4.999993
FILLER_167_554,VDD,Metal1,317.5200,670.3200,4.999993
FILLER_167_546,VDD,Metal1,315.2265,670.8965,4.999993
FILLER_167_512,VDD,Metal1,303.0755,671.0885,4.999993
FILLER_167_502,VDD,Metal1,290.5865,670.8965,4.999993
FILLER_167_478,VDD,Metal1,277.1465,670.8965,4.999993
FILLER_167_444,VDD,Metal1,264.9955,671.0885,4.999993
FILLER_167_410,VDD,Metal1,245.9555,671.0885,4.999993
FILLER_167_376,VDD,Metal1,226.9155,671.0885,4.999993
FILLER_167_342,VDD,Metal1,207.8755,671.0885,4.999992
FILLER_167_308,VDD,Metal1,188.8355,671.0885,4.999992
FILLER_167_274,VDD,Metal1,169.7955,671.0885,4.999992
FILLER_167_268,VDD,Metal1,158.3000,670.7525,4.999992
FILLER_167_260,VDD,Metal1,155.0665,670.8965,4.999992
FILLER_167_240,VDD,Metal1,142.6200,670.7525,4.999992
FILLER_167_206,VDD,Metal1,131.7155,671.0885,4.999992
FILLER_167_172,VDD,Metal1,112.6755,671.0885,4.999992
FILLER_167_138,VDD,Metal1,93.6355,671.0885,4.999992
FILLER_167_135,VDD,Metal1,82.6000,670.3200,4.999992
FILLER_167_127,VDD,Metal1,80.5865,670.8965,4.999992
FILLER_167_122,VDD,Metal1,75.3200,670.3200,4.999992
FILLER_167_120,VDD,Metal1,74.4800,670.3200,4.999992
FILLER_167_104,VDD,Metal1,70.0480,671.0120,4.999992
FILLER_167_70,VDD,Metal1,55.5555,671.0885,4.999992
FILLER_167_67,VDD,Metal1,44.5200,670.3200,4.999992
FILLER_167_65,VDD,Metal1,43.6800,670.3200,4.999992
FILLER_167_49,VDD,Metal1,39.2480,671.0120,4.999992
FILLER_167_44,VDD,Metal1,31.6400,670.3200,4.999992
FILLER_167_36,VDD,Metal1,29.6265,670.8965,4.999992
FILLER_167_30,VDD,Metal1,25.0200,670.7525,4.999992
FILLER_167_22,VDD,Metal1,21.7865,670.8965,4.999992
FILLER_167_6,VDD,Metal1,15.1680,671.0120,4.999992
FILLER_166_1161,VDD,Metal1,657.1600,670.3200,4.999994
FILLER_166_1157,VDD,Metal1,656.1400,669.8875,4.999994
FILLER_166_1151,VDD,Metal1,652.7800,669.8875,4.999994
FILLER_166_1087,VDD,Metal1,634.0750,669.5055,4.999994
FILLER_166_1081,VDD,Metal1,613.5800,669.8875,4.999994
FILLER_166_1017,VDD,Metal1,594.8750,669.5055,4.999994
FILLER_166_1011,VDD,Metal1,574.3800,669.8875,4.999993
FILLER_166_947,VDD,Metal1,555.6750,669.5055,4.999993
FILLER_166_941,VDD,Metal1,535.1800,669.8875,4.999993
FILLER_166_877,VDD,Metal1,516.4750,669.5055,4.999993
FILLER_166_871,VDD,Metal1,495.9800,669.8875,4.999993
FILLER_166_807,VDD,Metal1,477.2750,669.5055,4.999993
FILLER_166_801,VDD,Metal1,456.7800,669.8875,4.999993
FILLER_166_737,VDD,Metal1,438.0750,669.5055,4.999993
FILLER_166_731,VDD,Metal1,417.5800,669.8875,4.999993
FILLER_166_667,VDD,Metal1,398.8750,669.5055,4.999993
FILLER_166_661,VDD,Metal1,378.3800,669.8875,4.999993
