Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_167_1148,VSS,Metal1,650.3400,673.8910,0.000001
FILLER_167_1140,VSS,Metal1,646.8530,673.7780,0.000001
FILLER_167_1124,VSS,Metal1,640.0320,673.6920,0.000001
FILLER_167_1090,VSS,Metal1,625.4040,673.6420,0.000001
FILLER_167_1087,VSS,Metal1,615.7200,674.2400,0.000001
FILLER_167_1085,VSS,Metal1,614.8800,674.2400,0.000001
FILLER_167_1081,VSS,Metal1,612.8200,673.8910,0.000001
FILLER_167_1073,VSS,Metal1,609.3330,673.7780,0.000001
FILLER_167_1068,VSS,Metal1,605.0800,674.2400,0.000001
FILLER_167_1064,VSS,Metal1,603.3000,673.8910,0.000001
FILLER_167_1056,VSS,Metal1,599.8130,673.7780,0.000001
FILLER_167_1022,VSS,Metal1,587.3240,673.6420,0.000001
FILLER_167_1019,VSS,Metal1,577.6400,674.2400,0.000001
FILLER_167_1017,VSS,Metal1,576.8000,674.2400,0.000001
FILLER_167_1009,VSS,Metal1,573.4930,673.7780,0.000001
FILLER_167_993,VSS,Metal1,566.6720,673.6920,0.000001
FILLER_167_988,VSS,Metal1,560.2800,674.2400,0.000001
FILLER_167_954,VSS,Metal1,549.2440,673.6420,0.000001
FILLER_167_920,VSS,Metal1,530.2040,673.6420,0.000001
FILLER_167_917,VSS,Metal1,520.5200,674.2400,0.000001
FILLER_167_909,VSS,Metal1,517.4930,673.7780,0.000001
FILLER_167_904,VSS,Metal1,513.2400,674.2400,0.000001
FILLER_167_902,VSS,Metal1,512.4000,674.2400,0.000001
FILLER_167_886,VSS,Metal1,506.7520,673.6920,0.000001
FILLER_167_852,VSS,Metal1,492.1240,673.6420,0.000001
FILLER_167_818,VSS,Metal1,473.0840,673.6420,0.000001
FILLER_167_784,VSS,Metal1,454.0440,673.6420,0.000001
FILLER_167_750,VSS,Metal1,435.0040,673.6420,0.000001
FILLER_167_716,VSS,Metal1,415.9640,673.6420,0.000001
FILLER_167_682,VSS,Metal1,396.9240,673.6420,0.000001
FILLER_167_648,VSS,Metal1,377.8840,673.6420,0.000001
FILLER_167_614,VSS,Metal1,358.8440,673.6420,0.000001
FILLER_167_580,VSS,Metal1,339.8040,673.6420,0.000001
FILLER_167_576,VSS,Metal1,329.8400,674.2400,0.000001
FILLER_167_572,VSS,Metal1,327.7800,673.8910,0.000001
FILLER_167_564,VSS,Metal1,324.2930,673.7780,0.000001
FILLER_167_554,VSS,Metal1,317.5200,674.2400,0.000001
FILLER_167_546,VSS,Metal1,314.2130,673.7780,0.000001
FILLER_167_512,VSS,Metal1,301.7240,673.6420,0.000001
FILLER_167_502,VSS,Metal1,289.5730,673.7780,0.000001
FILLER_167_478,VSS,Metal1,276.1330,673.7780,0.000001
FILLER_167_444,VSS,Metal1,263.6440,673.6420,0.000001
FILLER_167_410,VSS,Metal1,244.6040,673.6420,0.000001
FILLER_167_376,VSS,Metal1,225.5640,673.6420,0.000001
FILLER_167_342,VSS,Metal1,206.5240,673.6420,0.000001
FILLER_167_308,VSS,Metal1,187.4840,673.6420,0.000001
FILLER_167_274,VSS,Metal1,168.4440,673.6420,0.000001
FILLER_167_268,VSS,Metal1,157.5400,673.8910,0.000001
FILLER_167_260,VSS,Metal1,154.0530,673.7780,0.000001
FILLER_167_240,VSS,Metal1,141.8600,673.8910,0.000001
FILLER_167_206,VSS,Metal1,130.3640,673.6420,0.000001
FILLER_167_172,VSS,Metal1,111.3240,673.6420,0.000001
FILLER_167_138,VSS,Metal1,92.2840,673.6420,0.000001
FILLER_167_135,VSS,Metal1,82.6000,674.2400,0.000001
FILLER_167_127,VSS,Metal1,79.5730,673.7780,0.000001
FILLER_167_122,VSS,Metal1,75.3200,674.2400,0.000001
FILLER_167_120,VSS,Metal1,74.4800,674.2400,0.000001
