Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_167_1124,VDD,Metal1,645.7955,671.0885,5.000000
FILLER_167_1090,VDD,Metal1,626.7555,671.0885,5.000000
FILLER_167_1056,VDD,Metal1,607.7155,671.0885,5.000000
FILLER_167_1022,VDD,Metal1,588.6755,671.0885,5.000000
FILLER_167_1019,VDD,Metal1,577.6400,670.3200,5.000000
FILLER_167_1011,VDD,Metal1,575.6265,670.8965,5.000000
FILLER_167_995,VDD,Metal1,569.0080,671.0120,5.000000
FILLER_167_990,VDD,Metal1,561.4000,670.3200,5.000000
FILLER_167_988,VDD,Metal1,560.5600,670.3200,5.000000
FILLER_167_954,VDD,Metal1,550.5955,671.0885,5.000000
FILLER_167_920,VDD,Metal1,531.5555,671.0885,5.000000
FILLER_167_886,VDD,Metal1,512.5155,671.0885,5.000000
FILLER_167_852,VDD,Metal1,493.4755,671.0885,5.000000
FILLER_167_842,VDD,Metal1,479.7400,670.7525,5.000000
FILLER_167_834,VDD,Metal1,476.5065,670.8965,5.000000
FILLER_167_818,VDD,Metal1,469.8880,671.0120,5.000000
FILLER_167_784,VDD,Metal1,455.3955,671.0885,5.000000
FILLER_167_774,VDD,Metal1,441.6600,670.7525,5.000000
FILLER_167_766,VDD,Metal1,438.4265,670.8965,5.000000
FILLER_167_750,VDD,Metal1,431.8080,671.0120,5.000000
FILLER_167_747,VDD,Metal1,425.3200,670.3200,5.000000
FILLER_167_745,VDD,Metal1,424.4800,670.3200,5.000000
FILLER_167_741,VDD,Metal1,423.1800,670.7525,5.000000
FILLER_167_732,VDD,Metal1,416.9200,670.3200,5.000000
FILLER_167_716,VDD,Metal1,412.7680,671.0120,5.000000
FILLER_167_682,VDD,Metal1,398.2755,671.0885,5.000000
FILLER_167_648,VDD,Metal1,379.2355,671.0885,5.000000
FILLER_167_614,VDD,Metal1,360.1955,671.0885,5.000000
FILLER_167_580,VDD,Metal1,341.1555,671.0885,5.000000
FILLER_167_546,VDD,Metal1,322.1155,671.0885,5.000000
FILLER_167_539,VDD,Metal1,308.8400,670.3200,5.000000
FILLER_167_537,VDD,Metal1,308.0000,670.3200,5.000000
FILLER_167_533,VDD,Metal1,306.7000,670.7525,5.000000
FILLER_167_517,VDD,Metal1,301.3280,671.0120,5.000000
FILLER_167_512,VDD,Metal1,293.7200,670.3200,5.000000
FILLER_167_478,VDD,Metal1,284.0355,671.0885,5.000000
FILLER_167_444,VDD,Metal1,264.9955,671.0885,5.000000
FILLER_167_410,VDD,Metal1,245.9555,671.0885,5.000000
FILLER_167_376,VDD,Metal1,226.9155,671.0885,5.000000
FILLER_167_373,VDD,Metal1,215.8800,670.3200,5.000000
FILLER_167_365,VDD,Metal1,213.8665,670.8965,5.000000
FILLER_167_349,VDD,Metal1,207.2480,671.0120,5.000000
FILLER_167_344,VDD,Metal1,199.6400,670.3200,5.000000
FILLER_167_342,VDD,Metal1,198.8000,670.3200,5.000000
FILLER_167_308,VDD,Metal1,188.8355,671.0885,5.000000
FILLER_167_274,VDD,Metal1,169.7955,671.0885,5.000000
FILLER_167_240,VDD,Metal1,150.7555,671.0885,5.000000
FILLER_167_206,VDD,Metal1,131.7155,671.0885,5.000000
FILLER_167_172,VDD,Metal1,112.6755,671.0885,5.000000
FILLER_167_138,VDD,Metal1,93.6355,671.0885,5.000000
FILLER_167_135,VDD,Metal1,82.6000,670.3200,5.000000
FILLER_167_133,VDD,Metal1,81.7600,670.3200,5.000000
FILLER_167_129,VDD,Metal1,80.4600,670.7525,5.000000
FILLER_167_121,VDD,Metal1,77.2265,670.8965,5.000000
FILLER_167_116,VDD,Metal1,71.9600,670.3200,5.000000
FILLER_167_112,VDD,Metal1,70.9400,670.7525,5.000000
FILLER_167_104,VDD,Metal1,67.7065,670.8965,5.000000
FILLER_167_101,VDD,Metal1,63.5600,670.3200,5.000000
FILLER_167_97,VDD,Metal1,62.5400,670.7525,5.000000
FILLER_167_92,VDD,Metal1,58.5200,670.3200,5.000000
FILLER_167_90,VDD,Metal1,57.6800,670.3200,5.000000
FILLER_167_86,VDD,Metal1,56.3800,670.7525,5.000000
FILLER_167_70,VDD,Metal1,51.0080,671.0120,5.000000
FILLER_167_36,VDD,Metal1,36.5155,671.0885,5.000000
FILLER_167_2,VDD,Metal1,17.4755,671.0885,5.000000
FILLER_166_1165,VDD,Metal1,659.4000,670.3200,5.000000
FILLER_166_1157,VDD,Metal1,657.3865,669.7430,5.000000
FILLER_166_1151,VDD,Metal1,652.7800,669.8875,5.000000
FILLER_166_1087,VDD,Metal1,634.0750,669.5055,5.000000
FILLER_166_1081,VDD,Metal1,613.5800,669.8875,5.000000
FILLER_166_1017,VDD,Metal1,594.8750,669.5055,5.000000
FILLER_166_1011,VDD,Metal1,574.3800,669.8875,5.000000
FILLER_166_947,VDD,Metal1,555.6750,669.5055,5.000000
FILLER_166_941,VDD,Metal1,535.1800,669.8875,5.000000
FILLER_166_877,VDD,Metal1,516.4750,669.5055,5.000000
FILLER_166_871,VDD,Metal1,495.9800,669.8875,5.000000
FILLER_166_807,VDD,Metal1,477.2750,669.5055,5.000000
FILLER_166_801,VDD,Metal1,456.7800,669.8875,5.000000
FILLER_166_737,VDD,Metal1,438.0750,669.5055,5.000000
FILLER_166_731,VDD,Metal1,417.5800,669.8875,5.000000
FILLER_166_667,VDD,Metal1,398.8750,669.5055,5.000000
FILLER_166_661,VDD,Metal1,378.3800,669.8875,5.000000
FILLER_166_597,VDD,Metal1,359.6750,669.5055,5.000000
FILLER_166_591,VDD,Metal1,339.1800,669.8875,5.000000
FILLER_166_527,VDD,Metal1,320.4750,669.5055,5.000000
FILLER_166_521,VDD,Metal1,299.9800,669.8875,5.000000
FILLER_166_457,VDD,Metal1,281.2750,669.5055,5.000000
FILLER_166_451,VDD,Metal1,260.7800,669.8875,5.000000
FILLER_166_387,VDD,Metal1,242.0750,669.5055,5.000000
FILLER_166_381,VDD,Metal1,221.5800,669.8875,5.000000
FILLER_166_317,VDD,Metal1,202.8750,669.5055,5.000000
FILLER_166_311,VDD,Metal1,182.3800,669.8875,5.000000
FILLER_166_247,VDD,Metal1,163.6750,669.5055,5.000000
FILLER_166_241,VDD,Metal1,143.1800,669.8875,5.000000
FILLER_166_177,VDD,Metal1,124.4750,669.5055,5.000000
FILLER_166_171,VDD,Metal1,103.9800,669.8875,5.000000
FILLER_166_107,VDD,Metal1,85.2750,669.5055,5.000000
FILLER_166_101,VDD,Metal1,64.7800,669.8875,5.000000
FILLER_166_37,VDD,Metal1,46.0750,669.5055,5.000000
FILLER_166_34,VDD,Metal1,26.0400,670.3200,5.000000
FILLER_166_26,VDD,Metal1,24.0265,669.7430,5.000000
FILLER_166_10,VDD,Metal1,17.4080,669.6280,5.000000
FILLER_165_1170,VDD,Metal1,663.4200,662.9125,5.000000
FILLER_165_1154,VDD,Metal1,658.0480,663.1720,5.000000
FILLER_165_1122,VDD,Metal1,644.6755,663.2485,5.000000
FILLER_165_1116,VDD,Metal1,633.1800,662.9125,5.000000
FILLER_165_1052,VDD,Metal1,614.4750,663.2940,5.000000
FILLER_165_1046,VDD,Metal1,593.9800,662.9125,5.000000
FILLER_165_982,VDD,Metal1,575.2750,663.2940,5.000000
FILLER_165_976,VDD,Metal1,554.7800,662.9125,5.000000
FILLER_165_912,VDD,Metal1,536.0750,663.2940,5.000000
FILLER_165_906,VDD,Metal1,515.5800,662.9125,5.000000
FILLER_165_842,VDD,Metal1,496.8750,663.2940,5.000000
FILLER_165_836,VDD,Metal1,476.3800,662.9125,5.000000
FILLER_165_772,VDD,Metal1,457.6750,663.2940,5.000000
FILLER_165_766,VDD,Metal1,437.1800,662.9125,5.000000
FILLER_165_702,VDD,Metal1,418.4750,663.2940,5.000000
FILLER_165_696,VDD,Metal1,397.9800,662.9125,5.000000
FILLER_165_632,VDD,Metal1,379.2750,663.2940,5.000000
FILLER_165_626,VDD,Metal1,358.7800,662.9125,5.000000
FILLER_165_562,VDD,Metal1,340.0750,663.2940,5.000000
FILLER_165_556,VDD,Metal1,319.5800,662.9125,5.000000
FILLER_165_492,VDD,Metal1,300.8750,663.2940,5.000000
FILLER_165_486,VDD,Metal1,280.3800,662.9125,5.000000
FILLER_165_422,VDD,Metal1,261.6750,663.2940,5.000000
FILLER_165_416,VDD,Metal1,241.1800,662.9125,5.000000
FILLER_165_352,VDD,Metal1,222.4750,663.2940,5.000000
FILLER_165_346,VDD,Metal1,201.9800,662.9125,5.000000
FILLER_165_282,VDD,Metal1,183.2750,663.2940,5.000000
FILLER_165_276,VDD,Metal1,162.7800,662.9125,5.000000
FILLER_165_212,VDD,Metal1,144.0750,663.2940,5.000000
FILLER_165_206,VDD,Metal1,123.5800,662.9125,5.000000
FILLER_165_142,VDD,Metal1,104.8750,663.2940,5.000000
FILLER_165_136,VDD,Metal1,84.3800,662.9125,5.000000
FILLER_165_72,VDD,Metal1,65.6750,663.2940,5.000000
FILLER_165_66,VDD,Metal1,45.1800,662.9125,5.000000
FILLER_165_2,VDD,Metal1,26.4750,663.2940,5.000000
FILLER_164_1173,VDD,Metal1,663.8800,662.4800,5.000000
FILLER_164_1157,VDD,Metal1,659.7280,661.7880,5.000000
FILLER_164_1151,VDD,Metal1,652.7800,662.0475,5.000000
FILLER_164_1087,VDD,Metal1,634.0750,661.6655,5.000000
FILLER_164_1081,VDD,Metal1,613.5800,662.0475,5.000000
FILLER_164_1017,VDD,Metal1,594.8750,661.6655,5.000000
FILLER_164_1011,VDD,Metal1,574.3800,662.0475,5.000000
FILLER_164_947,VDD,Metal1,555.6750,661.6655,5.000000
FILLER_164_941,VDD,Metal1,535.1800,662.0475,5.000000
FILLER_164_877,VDD,Metal1,516.4750,661.6655,5.000000
FILLER_164_871,VDD,Metal1,495.9800,662.0475,5.000000
FILLER_164_807,VDD,Metal1,477.2750,661.6655,5.000000
FILLER_164_801,VDD,Metal1,456.7800,662.0475,5.000000
FILLER_164_737,VDD,Metal1,438.0750,661.6655,5.000000
FILLER_164_731,VDD,Metal1,417.5800,662.0475,5.000000
FILLER_164_667,VDD,Metal1,398.8750,661.6655,5.000000
FILLER_164_661,VDD,Metal1,378.3800,662.0475,5.000000
FILLER_164_597,VDD,Metal1,359.6750,661.6655,5.000000
FILLER_164_591,VDD,Metal1,339.1800,662.0475,5.000000
FILLER_164_527,VDD,Metal1,320.4750,661.6655,5.000000
FILLER_164_521,VDD,Metal1,299.9800,662.0475,5.000000
FILLER_164_457,VDD,Metal1,281.2750,661.6655,5.000000
FILLER_164_451,VDD,Metal1,260.7800,662.0475,5.000000
FILLER_164_387,VDD,Metal1,242.0750,661.6655,5.000000
FILLER_164_381,VDD,Metal1,221.5800,662.0475,5.000000
FILLER_164_317,VDD,Metal1,202.8750,661.6655,5.000000
FILLER_164_311,VDD,Metal1,182.3800,662.0475,5.000000
FILLER_164_247,VDD,Metal1,163.6750,661.6655,5.000000
FILLER_164_241,VDD,Metal1,143.1800,662.0475,5.000000
FILLER_164_177,VDD,Metal1,124.4750,661.6655,5.000000
FILLER_164_171,VDD,Metal1,103.9800,662.0475,5.000000
FILLER_164_107,VDD,Metal1,85.2750,661.6655,5.000000
FILLER_164_101,VDD,Metal1,64.7800,662.0475,5.000000
FILLER_164_37,VDD,Metal1,46.0750,661.6655,5.000000
FILLER_164_34,VDD,Metal1,26.0400,662.4800,5.000000
FILLER_164_2,VDD,Metal1,17.4755,661.7110,5.000000
FILLER_163_1170,VDD,Metal1,663.4200,655.0725,5.000000
FILLER_163_1154,VDD,Metal1,658.0480,655.3320,5.000000
FILLER_163_1122,VDD,Metal1,644.6755,655.4085,5.000000
FILLER_163_1116,VDD,Metal1,633.1800,655.0725,5.000000
FILLER_163_1052,VDD,Metal1,614.4750,655.4540,5.000000
FILLER_163_1046,VDD,Metal1,593.9800,655.0725,5.000000
FILLER_163_982,VDD,Metal1,575.2750,655.4540,5.000000
FILLER_163_976,VDD,Metal1,554.7800,655.0725,5.000000
FILLER_163_912,VDD,Metal1,536.0750,655.4540,5.000000
FILLER_163_906,VDD,Metal1,515.5800,655.0725,5.000000
FILLER_163_842,VDD,Metal1,496.8750,655.4540,5.000000
FILLER_163_836,VDD,Metal1,476.3800,655.0725,5.000000
FILLER_163_772,VDD,Metal1,457.6750,655.4540,5.000000
FILLER_163_766,VDD,Metal1,437.1800,655.0725,5.000000
FILLER_163_702,VDD,Metal1,418.4750,655.4540,5.000000
FILLER_163_696,VDD,Metal1,397.9800,655.0725,5.000000
FILLER_163_632,VDD,Metal1,379.2750,655.4540,5.000000
FILLER_163_626,VDD,Metal1,358.7800,655.0725,5.000000
