net,length_um
clknet_0_clk_regs,1.15517mm
digital_domain_inst.delay_wave_cycle_x\[5\],965.18µm
digital_domain_inst.delay_wave_cycle_x\[7\],949.5µm
net1833,861.33µm
net1501,843.97µm
net922,818.77µm
_03956_,816.02µm
clk,783.31µm
net30,747.09µm
net1141,741.54µm
net1438,740.01µm
net1502,728.1µm
net26,721.43µm
net1071,719.24µm
net28,717.97µm
net320,715.22µm
_01186_,706.82µm
_04830_,700.61µm
net70,698.37µm
net71,691.6µm
_02794_,687.73µm
_04029_,686.71µm
net1859,676.48µm
_03768_,676.02µm
net72,661.41µm
net1500,653.57µm
digital_domain_inst.delay_wave_cycle_y\[7\],651.38µm
_03617_,649.6µm
net348,647.97µm
net2255,643.49µm
net161,640.79µm
net1432,639.8µm
digital_domain_inst.raw_edge3_x\[13\],637.02µm
_00885_,628.47µm
net2115,627.3µm
_03921_,623.33µm
net246,617.78µm
net1571,616.66µm
net1433,596.5µm
net875,595.99µm
digital_domain_inst.raw_edge2_y\[14\],591.28µm
_03790_,588.2µm
_03789_,587.49µm
clknet_3_3_0_clk_regs,583.26µm
net69,580.82µm
net2254,578.27µm
net587,572.47µm
net1331,562.54µm
net1463,562.34µm
net1505,560.66µm
net1603,559.94µm
digital_domain_inst.delay_wave_cycle_y\[5\],557.03µm
net372,555.31µm
_01602_,552.31µm
_03440_,552.16µm
net176,550.58µm
_03554_,550.07µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[12\],548.54µm
_03901_,547.83µm
_03865_,547.78µm
_03856_,537.7µm
net1950,533.12µm
net19,525.84µm
net17,525.28µm
net24,524.36µm
_03708_,523.14µm
_01245_,519.12µm
digital_domain_inst.raw_edge1_y\[13\],514.84µm
net1795,510.72µm
digital_domain_inst.cfg_f_MEMS_fcw_x\[0\],508.85µm
net1142,504.86µm
clknet_3_4_0_clk_regs,498.65µm
_03603_,498.45µm
clknet_3_6_0_clk_regs,498.04µm
clknet_3_5_0_clk_regs,495.29µm
digital_domain_inst.cfg_phase270_offset_x\[16\],495.09µm
_01510_,492.44µm
net1742,484.5µm
net160,482.77µm
net173,481.65µm
_00696_,478.9µm
_03949_,477.68µm
digital_domain_inst.latch_error_x,474.47µm
_00633_,472.64µm
net973,470.45µm
digital_domain_inst.raw_edge1_x\[11\],469.02µm
net1886,467.24µm
net226,467.14µm
digital_domain_inst.raw_edge1_x\[12\],466.58µm
_04803_,462.56µm
_04069_,459.76µm
net1985,454.16µm
clknet_3_0_0_clk_regs,451.71µm
clknet_3_2_0_clk_regs,450.69µm
digital_domain_inst.raw_edge2_y\[15\],450.24µm
net1354,449.32µm
net579,447.54µm
_04105_,442.96µm
net1506,442.6µm
net939,440.36µm
clknet_3_7_0_clk_regs,437.71µm
net1,435.78µm
digital_domain_inst.raw_edge2_x\[10\],435.27µm
net1522,434.2µm
_00565_,433.03µm
net296,426.16µm
net1569,424.58µm
net1335,420.56µm
net403,415.01µm
digital_domain_inst.raw_edge2_x\[3\],414.09µm
net1267,413.99µm
_03668_,412.26µm
net1485,411µm
net1951,410.22µm
_00539_,407.27µm
net1956,406.61µm
digital_domain_inst.cfg_phase270_offset_x\[0\],405.79µm
net1583,404.32µm
net1419,402.74µm
net1504,402.64µm
_02384_,402.08µm
digital_domain_inst.spi_regs_inst.state_o\[0\],400.04µm
digital_domain_inst.cfg_phase90_offset_x\[2\],398.92µm
net10,397.7µm
_02345_,396.12µm
net1417,395.46µm
net1981,394.95µm
net1982,394.39µm
digital_domain_inst.signal_processor_y_inst.votes_in_phase\[1\],389.91µm
net1320,389.35µm
net1420,389.35µm
net1416,389.25µm
_03594_,387.57µm
_02383_,387.06µm
digital_domain_inst.phase_state_y\[1\],386.96µm
net1567,386.38µm
net1839,385.38µm
net1321,383.65µm
digital_domain_inst.signal_processor_x_inst.votes_out_phase\[0\],383.09µm
net1980,383.09µm
net1600,381.97µm
net1591,381µm
net256,380.85µm
net1219,380.49µm
net1866,380.03µm
net1984,379.22µm
net1830,377.44µm
net1421,374.84µm
digital_domain_inst.cfg_phase270_offset_x\[13\],374.56µm
digital_domain_inst.signal_processor_x_inst.votes_out_phase\[2\],371.89µm
net343,370.26µm
net1983,369.65µm
net1269,367.79µm
net1906,366.24µm
net1415,362.42µm
_02574_,362.32µm
digital_domain_inst.signal_processor_x_inst.votes_in_phase\[2\],360.23µm
digital_domain_inst.phase_state_x\[1\],359.67µm
net1324,359.67µm
net1149,357.84µm
digital_domain_inst.cfg_phase90_offset_x\[1\],357.63µm
net421,357.38µm
clknet_3_1_0_clk_regs,351.88µm
digital_domain_inst.wave_controller_y_inst.phase_acc\[16\],351.78µm
_05044_,351.17µm
net1322,350.56µm
