Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_187_1956,VDD,Metal1,1105.7200,744.8000,3.300000
FILLER_187_1940,VDD,Metal1,1101.5680,745.4920,3.300000
FILLER_187_1906,VDD,Metal1,1087.0755,745.5685,3.300000
FILLER_187_1872,VDD,Metal1,1068.0355,745.5685,3.300000
FILLER_187_1838,VDD,Metal1,1048.9955,745.5685,3.300000
FILLER_187_1804,VDD,Metal1,1029.9555,745.5685,3.300000
FILLER_187_1770,VDD,Metal1,1010.9155,745.5685,3.300000
FILLER_187_1736,VDD,Metal1,991.8755,745.5685,3.300000
FILLER_187_1702,VDD,Metal1,972.8355,745.5685,3.300000
FILLER_187_1668,VDD,Metal1,953.7955,745.5685,3.300000
FILLER_187_1634,VDD,Metal1,934.7555,745.5685,3.300000
FILLER_187_1600,VDD,Metal1,915.7155,745.5685,3.300000
FILLER_187_1566,VDD,Metal1,896.6755,745.5685,3.300000
FILLER_187_1532,VDD,Metal1,877.6355,745.5685,3.300000
FILLER_187_1498,VDD,Metal1,858.5955,745.5685,3.300000
FILLER_187_1464,VDD,Metal1,839.5555,745.5685,3.300000
FILLER_187_1430,VDD,Metal1,820.5155,745.5685,3.300000
FILLER_187_1396,VDD,Metal1,801.4755,745.5685,3.300000
FILLER_187_1362,VDD,Metal1,782.4355,745.5685,3.300000
FILLER_187_1328,VDD,Metal1,763.3955,745.5685,3.300000
FILLER_187_1294,VDD,Metal1,744.3555,745.5685,3.300000
FILLER_187_1260,VDD,Metal1,725.3155,745.5685,3.300000
FILLER_187_1226,VDD,Metal1,706.2755,745.5685,3.300000
FILLER_187_1192,VDD,Metal1,687.2355,745.5685,3.300000
FILLER_187_1158,VDD,Metal1,668.1955,745.5685,3.300000
FILLER_187_1124,VDD,Metal1,649.1555,745.5685,3.300000
FILLER_187_1090,VDD,Metal1,630.1155,745.5685,3.300000
FILLER_187_1056,VDD,Metal1,611.0755,745.5685,3.300000
FILLER_187_1022,VDD,Metal1,592.0355,745.5685,3.300000
FILLER_187_988,VDD,Metal1,572.9955,745.5685,3.300000
FILLER_187_954,VDD,Metal1,553.9555,745.5685,3.300000
FILLER_187_920,VDD,Metal1,534.9155,745.5685,3.300000
FILLER_187_886,VDD,Metal1,515.8755,745.5685,3.300000
FILLER_187_852,VDD,Metal1,496.8355,745.5685,3.300000
FILLER_187_818,VDD,Metal1,477.7955,745.5685,3.300000
FILLER_187_784,VDD,Metal1,458.7555,745.5685,3.300000
FILLER_187_750,VDD,Metal1,439.7155,745.5685,3.300000
FILLER_187_716,VDD,Metal1,420.6755,745.5685,3.300000
FILLER_187_682,VDD,Metal1,401.6355,745.5685,3.300000
FILLER_187_648,VDD,Metal1,382.5955,745.5685,3.300000
FILLER_187_614,VDD,Metal1,363.5555,745.5685,3.300000
FILLER_187_580,VDD,Metal1,344.5155,745.5685,3.300000
FILLER_187_546,VDD,Metal1,325.4755,745.5685,3.300000
FILLER_187_512,VDD,Metal1,306.4355,745.5685,3.300000
FILLER_187_478,VDD,Metal1,287.3955,745.5685,3.300000
FILLER_187_444,VDD,Metal1,268.3555,745.5685,3.300000
FILLER_187_410,VDD,Metal1,249.3155,745.5685,3.300000
FILLER_187_376,VDD,Metal1,230.2755,745.5685,3.300000
FILLER_187_342,VDD,Metal1,211.2355,745.5685,3.300000
FILLER_187_308,VDD,Metal1,192.1955,745.5685,3.300000
FILLER_187_274,VDD,Metal1,173.1555,745.5685,3.300000
FILLER_187_240,VDD,Metal1,154.1155,745.5685,3.300000
FILLER_187_206,VDD,Metal1,135.0755,745.5685,3.300000
FILLER_187_172,VDD,Metal1,116.0355,745.5685,3.300000
FILLER_187_138,VDD,Metal1,96.9955,745.5685,3.300000
FILLER_187_104,VDD,Metal1,77.9555,745.5685,3.300000
FILLER_187_70,VDD,Metal1,58.9155,745.5685,3.300000
FILLER_187_36,VDD,Metal1,39.8755,745.5685,3.300000
FILLER_187_2,VDD,Metal1,20.8355,745.5685,3.300000
FILLER_186_1955,VDD,Metal1,1105.4400,744.8000,3.300000
FILLER_186_1951,VDD,Metal1,1104.1400,744.3675,3.300000
FILLER_186_1943,VDD,Metal1,1100.9065,744.2230,3.300000
FILLER_186_1927,VDD,Metal1,1094.2880,744.1080,3.300000
FILLER_186_1921,VDD,Metal1,1087.3400,744.3675,3.300000
FILLER_186_1857,VDD,Metal1,1068.6350,743.9855,3.300000
FILLER_186_1851,VDD,Metal1,1048.1400,744.3675,3.300000
FILLER_186_1787,VDD,Metal1,1029.4350,743.9855,3.300000
FILLER_186_1781,VDD,Metal1,1008.9400,744.3675,3.300000
FILLER_186_1717,VDD,Metal1,990.2350,743.9855,3.300000
FILLER_186_1711,VDD,Metal1,969.7400,744.3675,3.300000
FILLER_186_1647,VDD,Metal1,951.0350,743.9855,3.300000
FILLER_186_1641,VDD,Metal1,930.5400,744.3675,3.300000
FILLER_186_1577,VDD,Metal1,911.8350,743.9855,3.300000
FILLER_186_1571,VDD,Metal1,891.3400,744.3675,3.300000
FILLER_186_1507,VDD,Metal1,872.6350,743.9855,3.300000
FILLER_186_1501,VDD,Metal1,852.1400,744.3675,3.300000
FILLER_186_1437,VDD,Metal1,833.4350,743.9855,3.300000
FILLER_186_1431,VDD,Metal1,812.9400,744.3675,3.300000
FILLER_186_1367,VDD,Metal1,794.2350,743.9855,3.300000
FILLER_186_1361,VDD,Metal1,773.7400,744.3675,3.300000
FILLER_186_1297,VDD,Metal1,755.0350,743.9855,3.300000
FILLER_186_1291,VDD,Metal1,734.5400,744.3675,3.300000
FILLER_186_1227,VDD,Metal1,715.8350,743.9855,3.300000
FILLER_186_1221,VDD,Metal1,695.3400,744.3675,3.300000
FILLER_186_1157,VDD,Metal1,676.6350,743.9855,3.300000
FILLER_186_1151,VDD,Metal1,656.1400,744.3675,3.300000
FILLER_186_1087,VDD,Metal1,637.4350,743.9855,3.300000
FILLER_186_1081,VDD,Metal1,616.9400,744.3675,3.300000
FILLER_186_1017,VDD,Metal1,598.2350,743.9855,3.300000
FILLER_186_1011,VDD,Metal1,577.7400,744.3675,3.300000
FILLER_186_947,VDD,Metal1,559.0350,743.9855,3.300000
FILLER_186_941,VDD,Metal1,538.5400,744.3675,3.300000
FILLER_186_877,VDD,Metal1,519.8350,743.9855,3.300000
FILLER_186_871,VDD,Metal1,499.3400,744.3675,3.300000
FILLER_186_807,VDD,Metal1,480.6350,743.9855,3.300000
FILLER_186_801,VDD,Metal1,460.1400,744.3675,3.300000
FILLER_186_737,VDD,Metal1,441.4350,743.9855,3.300000
FILLER_186_731,VDD,Metal1,420.9400,744.3675,3.300000
FILLER_186_667,VDD,Metal1,402.2350,743.9855,3.300000
FILLER_186_661,VDD,Metal1,381.7400,744.3675,3.300000
FILLER_186_597,VDD,Metal1,363.0350,743.9855,3.300000
FILLER_186_591,VDD,Metal1,342.5400,744.3675,3.300000
FILLER_186_527,VDD,Metal1,323.8350,743.9855,3.300000
FILLER_186_521,VDD,Metal1,303.3400,744.3675,3.300000
FILLER_186_457,VDD,Metal1,284.6350,743.9855,3.300000
FILLER_186_451,VDD,Metal1,264.1400,744.3675,3.300000
FILLER_186_387,VDD,Metal1,245.4350,743.9855,3.300000
FILLER_186_381,VDD,Metal1,224.9400,744.3675,3.300000
FILLER_186_317,VDD,Metal1,206.2350,743.9855,3.300000
FILLER_186_311,VDD,Metal1,185.7400,744.3675,3.300000
FILLER_186_247,VDD,Metal1,167.0350,743.9855,3.300000
FILLER_186_241,VDD,Metal1,146.5400,744.3675,3.300000
FILLER_186_177,VDD,Metal1,127.8350,743.9855,3.300000
FILLER_186_171,VDD,Metal1,107.3400,744.3675,3.300000
FILLER_186_107,VDD,Metal1,88.6350,743.9855,3.300000
FILLER_186_101,VDD,Metal1,68.1400,744.3675,3.300000
FILLER_186_37,VDD,Metal1,49.4350,743.9855,3.300000
FILLER_186_34,VDD,Metal1,29.4000,744.8000,3.300000
FILLER_186_2,VDD,Metal1,20.8355,744.0310,3.300000
FILLER_185_1956,VDD,Metal1,1105.7200,736.9600,3.300000
FILLER_185_1892,VDD,Metal1,1088.2350,737.7740,3.300000
FILLER_185_1886,VDD,Metal1,1067.7400,737.3925,3.300000
FILLER_185_1822,VDD,Metal1,1049.0350,737.7740,3.300000
FILLER_185_1816,VDD,Metal1,1028.5400,737.3925,3.300000
FILLER_185_1752,VDD,Metal1,1009.8350,737.7740,3.300000
FILLER_185_1746,VDD,Metal1,989.3400,737.3925,3.300000
FILLER_185_1682,VDD,Metal1,970.6350,737.7740,3.300000
FILLER_185_1676,VDD,Metal1,950.1400,737.3925,3.300000
FILLER_185_1612,VDD,Metal1,931.4350,737.7740,3.300000
FILLER_185_1606,VDD,Metal1,910.9400,737.3925,3.300000
FILLER_185_1542,VDD,Metal1,892.2350,737.7740,3.300000
FILLER_185_1536,VDD,Metal1,871.7400,737.3925,3.300000
FILLER_185_1472,VDD,Metal1,853.0350,737.7740,3.300000
FILLER_185_1466,VDD,Metal1,832.5400,737.3925,3.300000
FILLER_185_1402,VDD,Metal1,813.8350,737.7740,3.300000
FILLER_185_1396,VDD,Metal1,793.3400,737.3925,3.300000
FILLER_185_1332,VDD,Metal1,774.6350,737.7740,3.300000
FILLER_185_1326,VDD,Metal1,754.1400,737.3925,3.300000
FILLER_185_1262,VDD,Metal1,735.4350,737.7740,3.300000
FILLER_185_1256,VDD,Metal1,714.9400,737.3925,3.300000
FILLER_185_1192,VDD,Metal1,696.2350,737.7740,3.300000
FILLER_185_1186,VDD,Metal1,675.7400,737.3925,3.300000
FILLER_185_1122,VDD,Metal1,657.0350,737.7740,3.300000
FILLER_185_1116,VDD,Metal1,636.5400,737.3925,3.300000
FILLER_185_1052,VDD,Metal1,617.8350,737.7740,3.300000
FILLER_185_1046,VDD,Metal1,597.3400,737.3925,3.300000
FILLER_185_982,VDD,Metal1,578.6350,737.7740,3.300000
FILLER_185_976,VDD,Metal1,558.1400,737.3925,3.300000
FILLER_185_912,VDD,Metal1,539.4350,737.7740,3.300000
FILLER_185_906,VDD,Metal1,518.9400,737.3925,3.300000
FILLER_185_842,VDD,Metal1,500.2350,737.7740,3.300000
FILLER_185_836,VDD,Metal1,479.7400,737.3925,3.300000
FILLER_185_772,VDD,Metal1,461.0350,737.7740,3.300000
FILLER_185_766,VDD,Metal1,440.5400,737.3925,3.300000
FILLER_185_702,VDD,Metal1,421.8350,737.7740,3.300000
FILLER_185_696,VDD,Metal1,401.3400,737.3925,3.300000
FILLER_185_632,VDD,Metal1,382.6350,737.7740,3.300000
FILLER_185_626,VDD,Metal1,362.1400,737.3925,3.300000
FILLER_185_562,VDD,Metal1,343.4350,737.7740,3.300000
FILLER_185_556,VDD,Metal1,322.9400,737.3925,3.300000
FILLER_185_492,VDD,Metal1,304.2350,737.7740,3.300000
FILLER_185_486,VDD,Metal1,283.7400,737.3925,3.300000
FILLER_185_422,VDD,Metal1,265.0350,737.7740,3.300000
FILLER_185_416,VDD,Metal1,244.5400,737.3925,3.300000
FILLER_185_352,VDD,Metal1,225.8350,737.7740,3.300000
FILLER_185_346,VDD,Metal1,205.3400,737.3925,3.300000
FILLER_185_282,VDD,Metal1,186.6350,737.7740,3.300000
FILLER_185_276,VDD,Metal1,166.1400,737.3925,3.300000
FILLER_185_212,VDD,Metal1,147.4350,737.7740,3.300000
FILLER_185_206,VDD,Metal1,126.9400,737.3925,3.300000
FILLER_185_142,VDD,Metal1,108.2350,737.7740,3.300000
FILLER_185_136,VDD,Metal1,87.7400,737.3925,3.300000
FILLER_185_72,VDD,Metal1,69.0350,737.7740,3.300000
FILLER_185_66,VDD,Metal1,48.5400,737.3925,3.300000
FILLER_185_2,VDD,Metal1,29.8350,737.7740,3.300000
FILLER_184_1955,VDD,Metal1,1105.4400,736.9600,3.300000
FILLER_184_1951,VDD,Metal1,1104.1400,736.5275,3.300000
FILLER_184_1943,VDD,Metal1,1100.9065,736.3830,3.300000
FILLER_184_1927,VDD,Metal1,1094.2880,736.2680,3.300000
FILLER_184_1921,VDD,Metal1,1087.3400,736.5275,3.300000
FILLER_184_1857,VDD,Metal1,1068.6350,736.1455,3.300000
FILLER_184_1851,VDD,Metal1,1048.1400,736.5275,3.300000
FILLER_184_1787,VDD,Metal1,1029.4350,736.1455,3.300000
FILLER_184_1781,VDD,Metal1,1008.9400,736.5275,3.300000
FILLER_184_1717,VDD,Metal1,990.2350,736.1455,3.300000
FILLER_184_1711,VDD,Metal1,969.7400,736.5275,3.300000
FILLER_184_1647,VDD,Metal1,951.0350,736.1455,3.300000
FILLER_184_1641,VDD,Metal1,930.5400,736.5275,3.300000
FILLER_184_1577,VDD,Metal1,911.8350,736.1455,3.300000
FILLER_184_1571,VDD,Metal1,891.3400,736.5275,3.300000
FILLER_184_1507,VDD,Metal1,872.6350,736.1455,3.300000
FILLER_184_1501,VDD,Metal1,852.1400,736.5275,3.300000
FILLER_184_1437,VDD,Metal1,833.4350,736.1455,3.300000
FILLER_184_1431,VDD,Metal1,812.9400,736.5275,3.300000
FILLER_184_1367,VDD,Metal1,794.2350,736.1455,3.300000
FILLER_184_1361,VDD,Metal1,773.7400,736.5275,3.300000
FILLER_184_1297,VDD,Metal1,755.0350,736.1455,3.300000
FILLER_184_1291,VDD,Metal1,734.5400,736.5275,3.300000
FILLER_184_1227,VDD,Metal1,715.8350,736.1455,3.300000
FILLER_184_1221,VDD,Metal1,695.3400,736.5275,3.300000
FILLER_184_1157,VDD,Metal1,676.6350,736.1455,3.300000
FILLER_184_1151,VDD,Metal1,656.1400,736.5275,3.300000
FILLER_184_1087,VDD,Metal1,637.4350,736.1455,3.300000
FILLER_184_1081,VDD,Metal1,616.9400,736.5275,3.300000
FILLER_184_1017,VDD,Metal1,598.2350,736.1455,3.300000
FILLER_184_1011,VDD,Metal1,577.7400,736.5275,3.300000
FILLER_184_947,VDD,Metal1,559.0350,736.1455,3.300000
FILLER_184_941,VDD,Metal1,538.5400,736.5275,3.300000
FILLER_184_877,VDD,Metal1,519.8350,736.1455,3.300000
FILLER_184_871,VDD,Metal1,499.3400,736.5275,3.300000
FILLER_184_807,VDD,Metal1,480.6350,736.1455,3.300000
FILLER_184_801,VDD,Metal1,460.1400,736.5275,3.300000
FILLER_184_737,VDD,Metal1,441.4350,736.1455,3.300000
FILLER_184_731,VDD,Metal1,420.9400,736.5275,3.300000
FILLER_184_667,VDD,Metal1,402.2350,736.1455,3.300000
FILLER_184_661,VDD,Metal1,381.7400,736.5275,3.300000
FILLER_184_597,VDD,Metal1,363.0350,736.1455,3.300000
FILLER_184_591,VDD,Metal1,342.5400,736.5275,3.300000
FILLER_184_527,VDD,Metal1,323.8350,736.1455,3.300000
FILLER_184_521,VDD,Metal1,303.3400,736.5275,3.300000
FILLER_184_457,VDD,Metal1,284.6350,736.1455,3.300000
FILLER_184_451,VDD,Metal1,264.1400,736.5275,3.300000
FILLER_184_387,VDD,Metal1,245.4350,736.1455,3.300000
FILLER_184_381,VDD,Metal1,224.9400,736.5275,3.300000
FILLER_184_317,VDD,Metal1,206.2350,736.1455,3.300000
FILLER_184_311,VDD,Metal1,185.7400,736.5275,3.300000
FILLER_184_247,VDD,Metal1,167.0350,736.1455,3.300000
FILLER_184_241,VDD,Metal1,146.5400,736.5275,3.300000
FILLER_184_177,VDD,Metal1,127.8350,736.1455,3.300000
FILLER_184_171,VDD,Metal1,107.3400,736.5275,3.300000
FILLER_184_107,VDD,Metal1,88.6350,736.1455,3.300000
FILLER_184_101,VDD,Metal1,68.1400,736.5275,3.300000
FILLER_184_37,VDD,Metal1,49.4350,736.1455,3.300000
FILLER_184_34,VDD,Metal1,29.4000,736.9600,3.300000
FILLER_184_2,VDD,Metal1,20.8355,736.1910,3.300000
FILLER_183_1956,VDD,Metal1,1105.7200,729.1200,3.300000
FILLER_183_1892,VDD,Metal1,1088.2350,729.9340,3.300000
FILLER_183_1886,VDD,Metal1,1067.7400,729.5525,3.300000
FILLER_183_1822,VDD,Metal1,1049.0350,729.9340,3.300000
FILLER_183_1816,VDD,Metal1,1028.5400,729.5525,3.300000
FILLER_183_1752,VDD,Metal1,1009.8350,729.9340,3.300000
FILLER_183_1746,VDD,Metal1,989.3400,729.5525,3.300000
FILLER_183_1682,VDD,Metal1,970.6350,729.9340,3.300000
FILLER_183_1676,VDD,Metal1,950.1400,729.5525,3.300000
FILLER_183_1612,VDD,Metal1,931.4350,729.9340,3.300000
FILLER_183_1606,VDD,Metal1,910.9400,729.5525,3.300000
FILLER_183_1542,VDD,Metal1,892.2350,729.9340,3.300000
FILLER_183_1536,VDD,Metal1,871.7400,729.5525,3.300000
FILLER_183_1472,VDD,Metal1,853.0350,729.9340,3.300000
FILLER_183_1466,VDD,Metal1,832.5400,729.5525,3.300000
FILLER_183_1402,VDD,Metal1,813.8350,729.9340,3.300000
FILLER_183_1396,VDD,Metal1,793.3400,729.5525,3.300000
FILLER_183_1332,VDD,Metal1,774.6350,729.9340,3.300000
FILLER_183_1326,VDD,Metal1,754.1400,729.5525,3.300000
FILLER_183_1262,VDD,Metal1,735.4350,729.9340,3.300000
FILLER_183_1256,VDD,Metal1,714.9400,729.5525,3.300000
FILLER_183_1192,VDD,Metal1,696.2350,729.9340,3.300000
FILLER_183_1186,VDD,Metal1,675.7400,729.5525,3.300000
FILLER_183_1122,VDD,Metal1,657.0350,729.9340,3.300000
FILLER_183_1116,VDD,Metal1,636.5400,729.5525,3.300000
FILLER_183_1052,VDD,Metal1,617.8350,729.9340,3.300000
FILLER_183_1046,VDD,Metal1,597.3400,729.5525,3.300000
FILLER_183_982,VDD,Metal1,578.6350,729.9340,3.300000
FILLER_183_976,VDD,Metal1,558.1400,729.5525,3.300000
FILLER_183_912,VDD,Metal1,539.4350,729.9340,3.300000
FILLER_183_906,VDD,Metal1,518.9400,729.5525,3.300000
FILLER_183_842,VDD,Metal1,500.2350,729.9340,3.300000
FILLER_183_836,VDD,Metal1,479.7400,729.5525,3.300000
FILLER_183_772,VDD,Metal1,461.0350,729.9340,3.300000
FILLER_183_766,VDD,Metal1,440.5400,729.5525,3.300000
FILLER_183_702,VDD,Metal1,421.8350,729.9340,3.300000
FILLER_183_696,VDD,Metal1,401.3400,729.5525,3.300000
FILLER_183_632,VDD,Metal1,382.6350,729.9340,3.300000
FILLER_183_626,VDD,Metal1,362.1400,729.5525,3.300000
FILLER_183_562,VDD,Metal1,343.4350,729.9340,3.300000
FILLER_183_556,VDD,Metal1,322.9400,729.5525,3.300000
FILLER_183_492,VDD,Metal1,304.2350,729.9340,3.300000
FILLER_183_486,VDD,Metal1,283.7400,729.5525,3.300000
FILLER_183_422,VDD,Metal1,265.0350,729.9340,3.300000
FILLER_183_416,VDD,Metal1,244.5400,729.5525,3.300000
FILLER_183_352,VDD,Metal1,225.8350,729.9340,3.300000
FILLER_183_346,VDD,Metal1,205.3400,729.5525,3.300000
FILLER_183_282,VDD,Metal1,186.6350,729.9340,3.300000
FILLER_183_276,VDD,Metal1,166.1400,729.5525,3.300000
FILLER_183_212,VDD,Metal1,147.4350,729.9340,3.300000
FILLER_183_206,VDD,Metal1,126.9400,729.5525,3.300000
FILLER_183_142,VDD,Metal1,108.2350,729.9340,3.300000
FILLER_183_136,VDD,Metal1,87.7400,729.5525,3.300000
FILLER_183_72,VDD,Metal1,69.0350,729.9340,3.300000
FILLER_183_66,VDD,Metal1,48.5400,729.5525,3.300000
FILLER_183_2,VDD,Metal1,29.8350,729.9340,3.300000
FILLER_182_1955,VDD,Metal1,1105.4400,729.1200,3.300000
FILLER_182_1951,VDD,Metal1,1104.1400,728.6875,3.300000
FILLER_182_1943,VDD,Metal1,1100.9065,728.5430,3.300000
FILLER_182_1927,VDD,Metal1,1094.2880,728.4280,3.300000
FILLER_182_1921,VDD,Metal1,1087.3400,728.6875,3.300000
FILLER_182_1857,VDD,Metal1,1068.6350,728.3055,3.300000
FILLER_182_1851,VDD,Metal1,1048.1400,728.6875,3.300000
FILLER_182_1787,VDD,Metal1,1029.4350,728.3055,3.300000
FILLER_182_1781,VDD,Metal1,1008.9400,728.6875,3.300000
FILLER_182_1717,VDD,Metal1,990.2350,728.3055,3.300000
FILLER_182_1711,VDD,Metal1,969.7400,728.6875,3.300000
FILLER_182_1647,VDD,Metal1,951.0350,728.3055,3.300000
FILLER_182_1641,VDD,Metal1,930.5400,728.6875,3.300000
