net,length_um
clknet_0_clk_regs,1.23459mm
clknet_3_6__leaf_clk_regs,616.6µm
clknet_3_4__leaf_clk_regs,589.57µm
net1550,573.18µm
net1342,543.4µm
clk,531.565µm
net13,523.04µm
net1429,513.57µm
wave_controller_x_inst/_0615_,512.45µm
spi_regs_inst/_0272_,505.01µm
net14,504.56µm
wave_controller_y_inst/_0615_,484.19µm
clknet_3_1__leaf_clk_regs,468.51µm
net11,463.68µm
net12,457.01µm
clknet_3_3__leaf_clk_regs,445.8µm
cfg_f_MEMS_fcw_y\[14\],434.35µm
net15,393.73µm
comp_y,392.32µm
spi_regs_inst/_0564_,392.2µm
spi_regs_inst/net946,389.76µm
jitter_flag_y,388.28µm
clknet_3_5__leaf_clk_regs,387.16µm
wave_controller_y_inst/phase_acc\[13\],383.95µm
wave_controller_x_inst/phase_acc\[13\],375.96µm
cfg_f_MEMS_fcw_x\[14\],373.92µm
net1208,369.75µm
net987,361.35µm
wave_controller_x_inst/phase_acc\[8\],360.48µm
raw_edge2_x\[10\],360.38µm
spi_regs_inst/net985,358.45µm
wave_controller_y_inst/net1128,354.78µm
spi_regs_inst/net862,347.77µm
clknet_3_0__leaf_clk_regs,346.38µm
spi_regs_inst/net984,344.55µm
net863,341.39µm
cfg_phase270_offset_y\[4\],340.53µm
votes_out_phase_x\[3\],338.44µm
cfg_phase270_offset_y\[1\],338.34µm
delay_wave_cycle_x\[1\],336.66µm
net5,336.05µm
cfg_phase90_offset_x\[17\],335.03µm
wave_controller_y_inst/net231,334.47µm
cfg_phase270_offset_y\[0\],332.18µm
wave_controller_x_inst/net887,331.67µm
wave_controller_y_inst/net273,331.01µm
clknet_3_2__leaf_clk_regs,330.6µm
wave_controller_x_inst/net524,328.97µm
clknet_3_7__leaf_clk_regs,325.66µm
spi_regs_inst/net75,324.8µm
clknet_leaf_8_clk_regs,324.39µm
phase_state_y\[0\],322.05µm
raw_edge3_y\[20\],321.03µm
cfg_phase270_offset_x\[18\],320.37µm
net865,319.91µm
spi_regs_inst/net986,319.86µm
cfg_phase90_offset_y\[17\],314.97µm
spi_regs_inst/net864,314.26µm
votes_out_phase_y\[2\],313.75µm
net868,313.75µm
net959,313.75µm
cfg_phase0_offset_x\[4\],312.53µm
cal_phase270_offset_y\[15\],311.41µm
wave_controller_y_inst/net493,311.1µm
raw_edge3_x\[19\],310.95µm
net860,310.85µm
cfg_phase90_offset_x\[0\],309.83µm
cfg_phase0_offset_y\[3\],307.64µm
cfg_phase270_offset_x\[1\],307.62µm
net972,305.86µm
cfg_phase270_offset_x\[2\],305.45µm
delay_wave_cycle_x\[2\],304.43µm
net851,303.62µm
cfg_phase270_offset_y\[3\],302.55µm
phase_state_y\[1\],299.88µm
net856,298.68µm
net867,298.63µm
net857,298.22µm
state_o\[2\],298.12µm
spi_regs_inst/net1100,298.02µm
wave_controller_y_inst/_1121_,297.92µm
wave_controller_x_inst/net676,297.56µm
cfg_phase270_offset_x\[4\],296.9µm
delay_wave_cycle_y\[2\],294µm
spi_regs_inst/net983,292.98µm
net973,292.47µm
net960,291.81µm
cfg_phase90_offset_x\[2\],291.4µm
cal_phase90_offset_y\[15\],291.2µm
net977,290.69µm
net978,290.65µm
cfg_phase90_offset_x\[3\],289.67µm
spi_regs_inst/net421,289.06µm
delay_wave_cycle_y\[0\],288.5µm
cal_phase90_offset_x\[4\],287.66µm
raw_edge2_x\[18\],287.63µm
cfg_phase90_offset_x\[18\],287.53µm
net866,287.43µm
votes_out_phase_x\[0\],286.36µm
net954,286.31µm
votes_out_phase_x\[2\],286.21µm
spi_regs_inst/net459,285.29µm
cfg_phase270_offset_y\[19\],285.24µm
spi_regs_inst/net367,285.19µm
cfg_phase270_offset_x\[0\],284.17µm
net989,282.54µm
cal_phase90_offset_y\[10\],282.34µm
wave_controller_x_inst/_1121_,281.78µm
raw_edge1_x\[18\],281.27µm
net971,280.61µm
net979,279.13µm
cfg_phase90_offset_x\[15\],279.03µm
wave_controller_y_inst/net29,278.37µm
cfg_f_MEMS_fcw_y\[0\],277.96µm
net847,277.86µm
jitter_flag_x,276.79µm
spi_regs_inst/net416,276.13µm
raw_edge1_y\[15\],275.11µm
wave_controller_x_inst/_0611_,274.45µm
net965,273.94µm
wave_controller_x_inst/_0636_,273.53µm
wave_controller_x_inst/_0737_,273.28µm
net952,271.8µm
net956,271.8µm
cfg_phase270_offset_x\[14\],271.24µm
net853,270.58µm
cal_phase90_offset_y\[3\],270.07µm
spi_regs_inst/_0415_,269.25µm
cfg_phase90_offset_y\[0\],269µm
net950,267.88µm
net852,267.83µm
net964,266.95µm
spi_regs_inst/_0567_,266.71µm
net988,266.71µm
votes_in_phase_y\[2\],266.05µm
cfg_phase270_offset_x\[19\],265.74µm
cfg_phase0_offset_x\[0\],265.59µm
cal_phase90_offset_y\[20\],265.49µm
cfg_phase90_offset_y\[3\],264.98µm
spi_regs_inst/_0718_,264.73µm
net831,264.42µm
spi_regs_inst/net976,263.86µm
raw_edge3_x\[12\],263.35µm
spi_regs_inst/net406,262.94µm
cfg_phase0_offset_y\[0\],262.84µm
net968,262.78µm
state_o\[1\],262.33µm
cfg_phase270_offset_x\[3\],262.13µm
spi_regs_inst/net366,261.67µm
net975,260.63µm
spi_regs_inst/net427,259.94µm
comp_x,258.83µm
cfg_phase270_offset_y\[7\],258.82µm
cal_phase0_offset_y\[1\],258.41µm
cfg_f_MEMS_fcw_y\[4\],258.31µm
