net,length_um
clknet_0_clk_regs,1.19544mm
net1415,783.65µm
clknet_3_6__leaf_clk_regs,714.91µm
clknet_3_4__leaf_clk_regs,610.24µm
net1556,594.92µm
spi_regs_inst/_0272_,564.07µm
net11,546.61µm
net12,533.68µm
net14,532.61µm
clk,525.965µm
net13,523.09µm
wave_controller_x_inst/_0615_,505.83µm
clknet_3_1__leaf_clk_regs,474.13µm
clknet_3_2__leaf_clk_regs,465.01µm
clknet_3_5__leaf_clk_regs,442.6µm
raw_edge2_y\[4\],438.83µm
spi_regs_inst/_0564_,422.34µm
clknet_3_3__leaf_clk_regs,408.99µm
cfg_f_MEMS_fcw_x\[0\],408.03µm
wave_controller_x_inst/net262,398.21µm
cfg_f_MEMS_fcw_x\[14\],396.63µm
wave_controller_y_inst/net1144,392.76µm
cfg_f_MEMS_fcw_y\[14\],390.01µm
jitter_flag_y,389.25µm
net16,389.2µm
net15,388.69µm
wave_controller_y_inst/phase_acc\[13\],373.11µm
net1223,368.63µm
spi_regs_inst/_0624_,368.1µm
spi_regs_inst/net965,358.5µm
clknet_3_7__leaf_clk_regs,357.58µm
wave_controller_x_inst/phase_acc\[13\],354.17µm
spi_regs_inst/net877,352.9µm
clknet_3_0__leaf_clk_regs,350.96µm
votes_out_phase_x\[3\],350.71µm
net981,349.74µm
spi_regs_inst/net1001,347.3µm
spi_regs_inst/net1000,346.18µm
wave_controller_y_inst/net508,345.31µm
wave_controller_x_inst/phase_acc\[8\],341.9µm
wave_controller_x_inst/_1121_,339.56µm
spi_regs_inst/net879,339.51µm
cal_done_x,338.95µm
cfg_phase270_offset_y\[4\],338.61µm
net885,337.32µm
spi_regs_inst/net881,330.96µm
cfg_phase270_offset_x\[2\],328.82µm
cal_phase90_offset_y\[14\],328.16µm
delay_wave_cycle_y\[2\],325.64µm
delay_wave_cycle_x\[1\],324.34µm
net1003,323.83µm
cfg_f_MEMS_fcw_y\[4\],320.06µm
wave_controller_x_inst/net297,319.91µm
cfg_phase270_offset_y\[3\],319.86µm
wave_controller_y_inst/net285,319.35µm
cfg_phase0_offset_y\[3\],317.62µm
spi_regs_inst/net882,317.57µm
raw_edge3_x\[19\],317.11µm
net977,316.63µm
cal_phase90_offset_y\[20\],314.72µm
spi_regs_inst/net999,310.44µm
wave_controller_y_inst/net243,310.39µm
net873,309.78µm
votes_out_phase_y\[2\],309.27µm
cfg_phase270_offset_x\[1\],307.64µm
spi_regs_inst/net1002,306.93µm
phase_state_y\[0\],305.81µm
cfg_phase270_offset_x\[19\],305.35µm
raw_edge1_x\[18\],304.89µm
spi_regs_inst/net1116,304.79µm
clknet_leaf_8_clk_regs,304.74µm
wave_controller_y_inst/phase_acc\[8\],304.38µm
spi_regs_inst/net472,304.13µm
cfg_phase0_offset_x\[16\],303.06µm
cal_phase270_offset_y\[15\],301.89µm
raw_edge1_x\[11\],300.52µm
cfg_phase90_offset_x\[3\],299.8µm
cal_phase90_offset_x\[4\],299.7µm
cfg_phase0_offset_x\[4\],299.69µm
net991,299.29µm
phase_state_y\[1\],299.19µm
votes_out_phase_x\[0\],297.41µm
net978,296.83µm
votes_out_phase_x\[2\],294.71µm
cfg_phase90_offset_x\[0\],294.25µm
cfg_phase90_offset_x\[17\],294.2µm
comp_y,294.2µm
cfg_phase90_offset_x\[2\],293.08µm
wave_controller_x_inst/net691,291.96µm
cal_phase90_offset_y\[10\],290.52µm
net874,290.28µm
spi_regs_inst/net380,290.23µm
cfg_phase270_offset_y\[19\],289.77µm
cfg_phase90_offset_x\[18\],289.67µm
cfg_phase270_offset_x\[18\],289.26µm
cfg_phase270_offset_x\[16\],289.21µm
cfg_phase270_offset_x\[3\],288.55µm
raw_edge2_x\[18\],288.55µm
net995,287.34µm
net884,285.19µm
raw_edge3_y\[20\],283.92µm
net974,283.13µm
spi_regs_inst/net1117,282.29µm
cal_phase90_offset_y\[15\],280.56µm
spi_regs_inst/_0692_,280.02µm
net984,278.98µm
cfg_phase270_offset_x\[6\],277.91µm
delay_wave_cycle_y\[0\],277.81µm
net996,277.08µm
net990,276.92µm
state_o\[2\],276.38µm
cfg_phase270_offset_x\[4\],276.23µm
wave_controller_y_inst/_1121_,276.23µm
spi_regs_inst/_0567_,276.18µm
state_o\[1\],275.72µm
raw_edge1_x\[3\],273.48µm
boot_complete,272.82µm
raw_edge1_y\[15\],272.42µm
spi_regs_inst/_0693_,272.26µm
cfg_phase270_offset_x\[0\],271.85µm
net853,271.75µm
wave_controller_y_inst/net234,271.6µm
wave_controller_x_inst/_1122_,270.53µm
cfg_phase90_offset_y\[0\],269.46µm
cfg_phase90_offset_y\[6\],269.46µm
cfg_phase90_offset_y\[16\],268.9µm
delaynet_2_clk,268.8µm
clknet_leaf_28_clk_regs,268.64µm
raw_edge3_x\[12\],268.44µm
cfg_phase0_offset_x\[0\],268.34µm
cfg_phase0_offset_x\[20\],267.83µm
raw_edge3_x\[11\],267.68µm
net983,267.22µm
cfg_phase90_offset_y\[17\],266.71µm
spi_regs_inst/net323,266.15µm
delay_wave_cycle_x\[5\],265.64µm
cfg_phase0_offset_y\[2\],265.18µm
spi_regs_inst/net1115,265.08µm
net869,264.47µm
delaynet_0_clk,264.37µm
raw_edge1_y\[18\],263.96µm
cfg_phase0_offset_x\[17\],263.91µm
net994,263.4µm
spi_regs_inst/net437,262.84µm
cal_phase90_offset_y\[3\],262.79µm
spi_regs_inst/net379,262.79µm
votes_in_phase_y\[1\],262.74µm
net970,261.57µm
net972,261.06µm
spi_regs_inst/net417,260.76µm
raw_edge3_x\[17\],259.99µm
net850,259.43µm
net1004,259.43µm
net987,258.36µm
clknet_leaf_2_clk_regs,257.44µm
raw_edge1_x\[9\],257.34µm
cal_phase90_offset_x\[8\],257.24µm
cfg_phase90_offset_x\[15\],256.73µm
delay_wave_cycle_x\[2\],256.63µm
raw_edge3_x\[4\],256.58µm
cfg_phase90_offset_y\[3\],256.07µm
spi_regs_inst/_0713_,255.52µm
delaynet_1_clk,255.41µm
net870,254.58µm
bidir_out[4],254.1µm
cfg_phase0_offset_x\[18\],253.93µm
spi_regs_inst/net422,253.93µm
spi_regs_inst/_0563_,253.88µm
net969,253.32µm
cfg_phase270_offset_x\[14\],252.76µm
