Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VDD,Metal1,908.6000,913.3600,3.299997
FILLER_229_1608,VDD,Metal1,907.7600,913.3600,3.299997
FILLER_229_1600,VDD,Metal1,905.4665,913.9365,3.299997
FILLER_229_1566,VDD,Metal1,893.3155,914.1285,3.299997
FILLER_229_1532,VDD,Metal1,874.2755,914.1285,3.299997
FILLER_229_1498,VDD,Metal1,855.2355,914.1285,3.299997
FILLER_229_1464,VDD,Metal1,836.1955,914.1285,3.299997
FILLER_229_1430,VDD,Metal1,817.1555,914.1285,3.299997
FILLER_229_1396,VDD,Metal1,798.1155,914.1285,3.299997
FILLER_229_1362,VDD,Metal1,779.0755,914.1285,3.299997
FILLER_229_1328,VDD,Metal1,760.0355,914.1285,3.299996
FILLER_229_1294,VDD,Metal1,740.9955,914.1285,3.299996
FILLER_229_1260,VDD,Metal1,721.9555,914.1285,3.299996
FILLER_229_1257,VDD,Metal1,710.9200,913.3600,3.299996
FILLER_229_1255,VDD,Metal1,710.0800,913.3600,3.299996
FILLER_229_1251,VDD,Metal1,708.7800,913.7925,3.299996
FILLER_229_1243,VDD,Metal1,705.5465,913.9365,3.299996
FILLER_229_1226,VDD,Metal1,693.5600,913.3600,3.299996
FILLER_229_1223,VDD,Metal1,691.8800,913.3600,3.299996
FILLER_229_1213,VDD,Metal1,686.5600,913.3600,3.299996
FILLER_229_1205,VDD,Metal1,682.0800,913.3600,3.299996
FILLER_229_1201,VDD,Metal1,680.7800,913.7925,3.299996
FILLER_229_1192,VDD,Metal1,674.5200,913.3600,3.299996
FILLER_229_1158,VDD,Metal1,664.8355,914.1285,3.299996
FILLER_229_1154,VDD,Metal1,653.5200,913.3600,3.299996
FILLER_229_1150,VDD,Metal1,652.2200,913.7925,3.299996
FILLER_229_1140,VDD,Metal1,645.6800,913.3600,3.299996
FILLER_229_1124,VDD,Metal1,641.2480,914.0520,3.299996
FILLER_229_1090,VDD,Metal1,626.7555,914.1285,3.299996
FILLER_229_1056,VDD,Metal1,607.7155,914.1285,3.299996
FILLER_229_1022,VDD,Metal1,588.6755,914.1285,3.299996
FILLER_229_1019,VDD,Metal1,577.6400,913.3600,3.299996
FILLER_229_1015,VDD,Metal1,576.6200,913.7925,3.299996
FILLER_229_999,VDD,Metal1,571.2480,914.0520,3.299996
FILLER_229_993,VDD,Metal1,563.3600,913.3600,3.299996
FILLER_229_988,VDD,Metal1,560.2800,913.3600,3.299996
