Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VSS,Metal1,908.6000,917.2800,0.000002
FILLER_229_1608,VSS,Metal1,907.7600,917.2800,0.000002
FILLER_229_1600,VSS,Metal1,904.4530,916.8180,0.000002
FILLER_229_1566,VSS,Metal1,891.9640,916.6820,0.000002
FILLER_229_1532,VSS,Metal1,872.9240,916.6820,0.000002
FILLER_229_1498,VSS,Metal1,853.8840,916.6820,0.000002
FILLER_229_1464,VSS,Metal1,834.8440,916.6820,0.000002
FILLER_229_1430,VSS,Metal1,815.8040,916.6820,0.000002
FILLER_229_1396,VSS,Metal1,796.7640,916.6820,0.000002
FILLER_229_1362,VSS,Metal1,777.7240,916.6820,0.000002
FILLER_229_1328,VSS,Metal1,758.6840,916.6820,0.000002
FILLER_229_1294,VSS,Metal1,739.6440,916.6820,0.000002
FILLER_229_1260,VSS,Metal1,720.6040,916.6820,0.000002
FILLER_229_1257,VSS,Metal1,710.9200,917.2800,0.000002
FILLER_229_1255,VSS,Metal1,710.0800,917.2800,0.000002
FILLER_229_1251,VSS,Metal1,708.0200,916.9310,0.000002
FILLER_229_1243,VSS,Metal1,704.5330,916.8180,0.000002
FILLER_229_1226,VSS,Metal1,693.5600,917.2800,0.000002
FILLER_229_1223,VSS,Metal1,691.8800,917.2800,0.000002
FILLER_229_1213,VSS,Metal1,686.5600,917.2800,0.000002
FILLER_229_1205,VSS,Metal1,682.0800,917.2800,0.000002
FILLER_229_1201,VSS,Metal1,680.0200,916.9310,0.000002
FILLER_229_1192,VSS,Metal1,674.5200,917.2800,0.000002
FILLER_229_1158,VSS,Metal1,663.4840,916.6820,0.000002
FILLER_229_1154,VSS,Metal1,653.5200,917.2800,0.000002
FILLER_229_1150,VSS,Metal1,651.4600,916.9310,0.000002
FILLER_229_1140,VSS,Metal1,645.6800,917.2800,0.000002
FILLER_229_1124,VSS,Metal1,640.0320,916.7320,0.000002
FILLER_229_1090,VSS,Metal1,625.4040,916.6820,0.000002
FILLER_229_1056,VSS,Metal1,606.3640,916.6820,0.000002
FILLER_229_1022,VSS,Metal1,587.3240,916.6820,0.000002
FILLER_229_1019,VSS,Metal1,577.6400,917.2800,0.000002
FILLER_229_1015,VSS,Metal1,575.8600,916.9310,0.000002
FILLER_229_999,VSS,Metal1,570.0320,916.7320,0.000002
FILLER_229_993,VSS,Metal1,563.3600,917.2800,0.000002
FILLER_229_988,VSS,Metal1,560.2800,917.2800,0.000002
