┏━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance    ┃ Power Pins ┃ Disconnected    ┃ Signal Pins                             ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ chip_core         │ VDD        │                 │ analog[0]                               │ bidir_in[3]  │
│                   │ VSS        │                 │ analog[1]                               │ bidir_in[4]  │
│                   │            │                 │ analog[2]                               │ bidir_in[5]  │
│                   │            │                 │ analog[3]                               │ bidir_in[6]  │
│                   │            │                 │ bidir_cs[0]                             │ bidir_in[7]  │
│                   │            │                 │ bidir_cs[1]                             │ bidir_in[8]  │
│                   │            │                 │ bidir_cs[2]                             │ bidir_in[9]  │
│                   │            │                 │ bidir_cs[3]                             │              │
│                   │            │                 │ bidir_cs[4]                             │              │
│                   │            │                 │ bidir_cs[5]                             │              │
│                   │            │                 │ bidir_cs[6]                             │              │
│                   │            │                 │ bidir_cs[7]                             │              │
│                   │            │                 │ bidir_cs[8]                             │              │
│                   │            │                 │ bidir_cs[9]                             │              │
│                   │            │                 │ bidir_ie[0]                             │              │
│                   │            │                 │ bidir_ie[1]                             │              │
│                   │            │                 │ bidir_ie[2]                             │              │
│                   │            │                 │ bidir_ie[3]                             │              │
│                   │            │                 │ bidir_ie[4]                             │              │
│                   │            │                 │ bidir_ie[5]                             │              │
│                   │            │                 │ bidir_ie[6]                             │              │
│                   │            │                 │ bidir_ie[7]                             │              │
│                   │            │                 │ bidir_ie[8]                             │              │
│                   │            │                 │ bidir_ie[9]                             │              │
│                   │            │                 │ bidir_in[0]                             │              │
│                   │            │                 │ bidir_in[1]                             │              │
│                   │            │                 │ bidir_in[2]                             │              │
│                   │            │                 │ bidir_oe[0]                             │              │
│                   │            │                 │ bidir_oe[1]                             │              │
│                   │            │                 │ bidir_oe[2]                             │              │
│                   │            │                 │ bidir_oe[3]                             │              │
│                   │            │                 │ bidir_oe[4]                             │              │
│                   │            │                 │ bidir_oe[5]                             │              │
│                   │            │                 │ bidir_oe[6]                             │              │
│                   │            │                 │ bidir_oe[7]                             │              │
│                   │            │                 │ bidir_oe[8]                             │              │
│                   │            │                 │ bidir_oe[9]                             │              │
│                   │            │                 │ bidir_out[0]                            │              │
│                   │            │                 │ bidir_out[1]                            │              │
│                   │            │                 │ bidir_out[2]                            │              │
│                   │            │                 │ bidir_out[3]                            │              │
│                   │            │                 │ bidir_out[4]                            │              │
│                   │            │                 │ bidir_out[5]                            │              │
│                   │            │                 │ bidir_out[6]                            │              │
│                   │            │                 │ bidir_out[7]                            │              │
│                   │            │                 │ bidir_out[8]                            │              │
│                   │            │                 │ bidir_out[9]                            │              │
│                   │            │                 │ bidir_pd[0]                             │              │
│                   │            │                 │ bidir_pd[1]                             │              │
│                   │            │                 │ bidir_pd[2]                             │              │
│                   │            │                 │ bidir_pd[3]                             │              │
│                   │            │                 │ bidir_pd[4]                             │              │
│                   │            │                 │ bidir_pd[5]                             │              │
│                   │            │                 │ bidir_pd[6]                             │              │
│                   │            │                 │ bidir_pd[7]                             │              │
│                   │            │                 │ bidir_pd[8]                             │              │
│                   │            │                 │ bidir_pd[9]                             │              │
│                   │            │                 │ bidir_pu[0]                             │              │
│                   │            │                 │ bidir_pu[1]                             │              │
│                   │            │                 │ bidir_pu[2]                             │              │
│                   │            │                 │ bidir_pu[3]                             │              │
│                   │            │                 │ bidir_pu[4]                             │              │
│                   │            │                 │ bidir_pu[5]                             │              │
│                   │            │                 │ bidir_pu[6]                             │              │
│                   │            │                 │ bidir_pu[7]                             │              │
│                   │            │                 │ bidir_pu[8]                             │              │
│                   │            │                 │ bidir_pu[9]                             │              │
│                   │            │                 │ bidir_sl[0]                             │              │
│                   │            │                 │ bidir_sl[1]                             │              │
│                   │            │                 │ bidir_sl[2]                             │              │
│                   │            │                 │ bidir_sl[3]                             │              │
│                   │            │                 │ bidir_sl[4]                             │              │
│                   │            │                 │ bidir_sl[5]                             │              │
│                   │            │                 │ bidir_sl[6]                             │              │
│                   │            │                 │ bidir_sl[7]                             │              │
│                   │            │                 │ bidir_sl[8]                             │              │
│                   │            │                 │ bidir_sl[9]                             │              │
│                   │            │                 │ clk                                     │              │
│                   │            │                 │ input_in                                │              │
│                   │            │                 │ input_pd                                │              │
│                   │            │                 │ input_pu                                │              │
│                   │            │                 │ rst_n                                   │              │
├───────────────────┼────────────┼─────────────────┼─────────────────────────────────────────┼──────────────┤
│ analog_block_inst │            │ <ANY POWER PIN> │ analog_block_inst/clk                   │              │
│                   │            │                 │ analog_block_inst/read_en               │              │
│                   │            │                 │ analog_block_inst/mems_drv_x            │              │
│                   │            │                 │ analog_block_inst/mems_drv_y            │              │
│                   │            │                 │ analog_block_inst/comp_x                │              │
│                   │            │                 │ analog_block_inst/comp_y                │              │
│                   │            │                 │ analog_block_inst/analog_error_x_output │              │
│                   │            │                 │ analog_block_inst/analog_readout_input  │              │
│                   │            │                 │ analog_block_inst/analog_readout_output │              │
│                   │            │                 │ analog_block_inst/analog_error_y_output │              │
└───────────────────┴────────────┴─────────────────┴─────────────────────────────────────────┴──────────────┘
