Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_229_1610,VDD,Metal1,908.6000,913.3600,3.299997
FILLER_229_1608,VDD,Metal1,907.7600,913.3600,3.299997
FILLER_229_1600,VDD,Metal1,905.4665,913.9365,3.299997
FILLER_229_1566,VDD,Metal1,893.3155,914.1285,3.299997
FILLER_229_1532,VDD,Metal1,874.2755,914.1285,3.299997
FILLER_229_1498,VDD,Metal1,855.2355,914.1285,3.299997
FILLER_229_1464,VDD,Metal1,836.1955,914.1285,3.299997
FILLER_229_1430,VDD,Metal1,817.1555,914.1285,3.299997
FILLER_229_1396,VDD,Metal1,798.1155,914.1285,3.299997
FILLER_229_1362,VDD,Metal1,779.0755,914.1285,3.299997
FILLER_229_1328,VDD,Metal1,760.0355,914.1285,3.299997
FILLER_229_1294,VDD,Metal1,740.9955,914.1285,3.299997
FILLER_229_1260,VDD,Metal1,721.9555,914.1285,3.299997
FILLER_229_1226,VDD,Metal1,702.9155,914.1285,3.299997
FILLER_229_1223,VDD,Metal1,691.8800,913.3600,3.299997
FILLER_229_1214,VDD,Metal1,686.8400,913.3600,3.299996
FILLER_229_1212,VDD,Metal1,686.0000,913.3600,3.299996
FILLER_229_1208,VDD,Metal1,684.7000,913.7925,3.299996
FILLER_229_1192,VDD,Metal1,679.3280,914.0520,3.299996
FILLER_229_1158,VDD,Metal1,664.8355,914.1285,3.299996
FILLER_229_1124,VDD,Metal1,645.7955,914.1285,3.299996
FILLER_229_1090,VDD,Metal1,626.7555,914.1285,3.299996
FILLER_229_1056,VDD,Metal1,607.7155,914.1285,3.299996
FILLER_229_1022,VDD,Metal1,588.6755,914.1285,3.299996
FILLER_229_988,VDD,Metal1,569.6355,914.1285,3.299996
FILLER_229_954,VDD,Metal1,550.5955,914.1285,3.299996
FILLER_229_951,VDD,Metal1,539.5600,913.3600,3.299996
FILLER_229_949,VDD,Metal1,538.7200,913.3600,3.299996
FILLER_229_937,VDD,Metal1,532.9400,913.7925,3.299996
FILLER_229_929,VDD,Metal1,529.7065,913.9365,3.299996
FILLER_229_920,VDD,Metal1,522.2000,913.3600,3.299996
FILLER_229_886,VDD,Metal1,512.5155,914.1285,3.299996
FILLER_229_883,VDD,Metal1,501.4800,913.3600,3.299996
FILLER_229_881,VDD,Metal1,500.6400,913.3600,3.299996
FILLER_229_877,VDD,Metal1,499.3400,913.7925,3.299996
FILLER_229_869,VDD,Metal1,496.1065,913.9365,3.299996
