net,length_um
clknet_0_clk_regs,1.28774mm
net1554,1.06756mm
clknet_3_4__leaf_clk_regs,703.3µm
net1339,584.33µm
clknet_3_6__leaf_clk_regs,575.52µm
clk,532.125µm
net13,530.93µm
spi_regs_inst/_0272_,520.48µm
wave_controller_x_inst/_0615_,507.51µm
net14,506.8µm
clknet_3_1__leaf_clk_regs,475.79µm
clknet_3_3__leaf_clk_regs,463.32µm
wave_controller_y_inst/_0615_,459.45µm
net11,459.25µm
raw_edge2_y\[4\],449.78µm
cfg_f_MEMS_fcw_y\[14\],447.84µm
net12,446.37µm
cfg_f_MEMS_fcw_x\[14\],414.19µm
clknet_3_5__leaf_clk_regs,410.27µm
spi_regs_inst/_0564_,405.49µm
cfg_phase90_offset_x\[17\],404.52µm
net15,394.29µm
comp_y,389.52µm
spi_regs_inst/net860,384.77µm
spi_regs_inst/net943,381.46µm
jitter_flag_y,375.35µm
clknet_3_0__leaf_clk_regs,368.93µm
wave_controller_y_inst/phase_acc\[13\],368.17µm
raw_edge2_x\[10\],364.3µm
net1200,363.79µm
net866,361.81µm
spi_regs_inst/net979,361.38µm
wave_controller_x_inst/phase_acc\[13\],360.94µm
wave_controller_x_inst/phase_acc\[8\],358.45µm
net982,356.77µm
wave_controller_y_inst/net1121,355.19µm
votes_out_phase_x\[3\],354.12µm
spi_regs_inst/net980,352.34µm
wave_controller_x_inst/_1121_,350.66µm
delay_wave_cycle_x\[1\],348.47µm
cfg_f_MEMS_fcw_y\[4\],346.89µm
cal_done_x,343.48µm
cfg_phase270_offset_y\[2\],342.82µm
wave_controller_y_inst/net268,340.63µm
cfg_phase270_offset_y\[4\],339.05µm
raw_edge2_x\[11\],339µm
wave_controller_x_inst/net520,339µm
net861,338.24µm
spi_regs_inst/net981,338.24µm
net863,336.61µm
cfg_phase90_offset_x\[2\],330.45µm
wave_controller_y_inst/net228,328.36µm
votes_out_phase_y\[2\],326.68µm
cfg_phase270_offset_y\[3\],325.36µm
cfg_phase0_offset_x\[4\],324.39µm
net858,324.33µm
cfg_phase270_offset_x\[2\],323.22µm
net955,319.81µm
phase_state_y\[0\],319.35µm
clknet_3_2__leaf_clk_regs,318.28µm
clknet_leaf_7_clk_regs,317.11µm
raw_edge3_x\[19\],315.94µm
raw_edge2_x\[18\],312.83µm
delay_wave_cycle_y\[2\],310.86µm
cal_phase270_offset_y\[15\],309.19µm
spi_regs_inst/net978,308.1µm
phase_state_y\[1\],305.35µm
spi_regs_inst/net1091,305.35µm
spi_regs_inst/net862,304.69µm
votes_out_phase_x\[0\],303.72µm
cfg_phase0_offset_y\[3\],302.02µm
spi_regs_inst/net71,301.8µm
net956,300.92µm
state_o\[2\],300.82µm
wave_controller_y_inst/net488,300.31µm
cal_phase90_offset_x\[4\],295.18µm
net967,294.61µm
net983,293.08µm
wave_controller_x_inst/net669,291.91µm
net973,291.2µm
cfg_phase270_offset_x\[14\],290.99µm
net966,290.38µm
spi_regs_inst/net453,290.33µm
cal_phase90_offset_y\[10\],288.96µm
cfg_phase90_offset_x\[18\],288.55µm
net952,287.58µm
cfg_phase0_offset_y\[2\],287.53µm
clknet_3_7__leaf_clk_regs,287.53µm
net960,287.33µm
net865,287.22µm
cfg_phase270_offset_y\[16\],286.36µm
cfg_phase90_offset_y\[18\],286.31µm
cfg_phase90_offset_x\[0\],285.29µm
cfg_phase270_offset_x\[4\],285.07µm
cfg_phase270_offset_x\[0\],284.17µm
cfg_phase270_offset_x\[18\],284.07µm
cfg_phase0_offset_x\[0\],283.51µm
delay_wave_cycle_x\[2\],283.06µm
raw_edge3_x\[16\],282.95µm
cfg_phase270_offset_x\[3\],282.44µm
net974,282.34µm
net838,281.51µm
wave_controller_x_inst/_0636_,281.32µm
cfg_phase90_offset_x\[3\],280.76µm
cfg_phase270_offset_y\[19\],280.3µm
spi_regs_inst/net854,279.44µm
net947,279.18µm
raw_edge3_x\[17\],278.62µm
cfg_phase270_offset_y\[5\],278.42µm
