net,length_um
clknet_3_0_0_clk_PAD2CORE,2.80208mm
clk_PAD2CORE,2.15385mm
clknet_3_4_0_clk_PAD2CORE,2.12074mm
clknet_3_7_0_clk_PAD2CORE,1.4648mm
clknet_3_6_0_clk_PAD2CORE,1.30138mm
clknet_3_2_0_clk_PAD2CORE,1.07136mm
net73,966.56µm
net85,951.49µm
net816,940.95µm
net817,865.81µm
net519,857.97µm
net74,852.88µm
clknet_3_1_0_clk_PAD2CORE,809.78µm
net242,796.01µm
net814,737.57µm
net605,714.25µm
i_chip_core.rst_n,670.7µm
net517,661.36µm
net488,658.67µm
clknet_3_5_0_clk_PAD2CORE,652.9µm
net511,652.6µm
net141,650.31µm
net241,643.64µm
net606,637.89µm
net509,637.02µm
net366,629.18µm
net815,628.98µm
net510,627.91µm
net496,620.88µm
clknet_2_1_0_clk_PAD2CORE,618.01µm
clknet_3_3_0_clk_PAD2CORE,612.38µm
net494,605µm
net571,604.69µm
net513,602.99µm
net484,597.16µm
net515,596.09µm
net302,593.14µm
net514,591.32µm
net505,589.32µm
net516,587.59µm
net422,579.9µm
net376,578.68µm
net1,577.15µm
clknet_2_3_0_clk_PAD2CORE,576.57µm
net492,571.35µm
net479,567.38µm
net490,567.38µm
net575,557.4µm
clknet_0_clk_PAD2CORE,555.01µm
net599,546.76µm
net813,546.61µm
net573,540.29µm
clknet_2_0_0_clk_PAD2CORE,536.02µm
net21,530.67µm
_01200_,529.81µm
net495,527.11µm
bidir_CORE2PAD\[3\],523.65µm
_00588_,521.41µm
net407,518.61µm
net405,513.01µm
net593,509.04µm
net527,508.73µm
net500,507.61µm
net595,505.17µm
net482,501.81µm
net303,501.3µm
net367,501.25µm
net497,499.06µm
net483,495.32µm
net487,494.07µm
net507,486.38µm
net544,482.16µm
clknet_2_2_0_clk_PAD2CORE,482.16µm
net602,480.78µm
net476,479.66µm
net27,478.34µm
net411,477.52µm
net579,476.86µm
i_chip_core.phase_state_x\[1\],474.47µm
net442,473.25µm
net471,472.69µm
net473,472.69µm
net538,471.06µm
net525,466.78µm
i_chip_core.signal_processor_y_inst.votes_in_phase\[2\],466.63µm
net380,466.53µm
net493,466.07µm
net123,465.56µm
net445,465.41µm
net481,463.81µm
net504,463.27µm
net486,462.76µm
net3,462.35µm
net534,462.2µm
net508,462µm
net443,461.49µm
net374,460.77µm
net540,458.08µm
net603,457.77µm
net350,456.65µm
_03798_,454.87µm
net536,454.34µm
i_chip_core.cfg_f_MEMS_fcw_y\[13\],451.41µm
net576,449.91µm
net444,449.22µm
i_chip_core.cfg_phase270_offset_y\[0\],449.17µm
net33,447.38µm
net498,446.59µm
_03797_,446.32µm
net604,445.3µm
i_chip_core.cal_timeout_y,444.18µm
net539,443.67µm
net478,441.02µm
_01067_,435.83µm
net439,434.94µm
net467,434.2µm
bidir_CORE2PAD\[5\],434.1µm
bidir_CORE2PAD\[11\],429.62µm
i_chip_core.cfg_phase90_offset_x\[7\],428.6µm
net122,428.04µm
net237,426.97µm
net566,425.7µm
net245,424.88µm
net464,424.17µm
net19,423.05µm
net528,422.44µm
net311,420.4µm
net475,419.69µm
i_chip_core.cfg_phase270_offset_y\[14\],418.98µm
i_chip_core.raw_edge2_y\[14\],415.72µm
net372,415.31µm
net543,413.33µm
i_chip_core.cfg_phase270_offset_x\[0\],412.26µm
net440,411.85µm
net546,411.65µm
net569,411.39µm
net139,410.73µm
net142,409.36µm
net261,409µm
net441,408.9µm
net574,408.44µm
net600,408.39µm
i_chip_core.cfg_phase90_offset_x\[14\],407.22µm
net542,407.12µm
net533,406.76µm
net20,406.3µm
net133,405.74µm
net741,402.33µm
net434,398.82µm
i_chip_core.wave_controller_x_inst.capture_step\[0\],398.77µm
net301,397.29µm
net502,397.24µm
_01070_,394.34µm
net438,394.34µm
i_chip_core.cfg_phase270_offset_y\[16\],394.29µm
net556,394.08µm
net547,393.88µm
_03687_,393.37µm
net127,393.37µm
net554,390.06µm
net239,389.4µm
net470,388.18µm
net425,386.5µm
i_chip_core.cfg_phase270_offset_x\[20\],385.43µm
net577,384.41µm
i_chip_core.raw_edge3_x\[20\],384.01µm
i_chip_core.delay_wave_cycle_y\[7\],382.78µm
net23,382.78µm
net596,380.85µm
net585,380.49µm
net567,380.08µm
i_chip_core.cfg_phase90_offset_y\[0\],379.88µm
_03820_,378.05µm
net466,377.13µm
i_chip_core.wave_controller_y_inst.capture_step\[0\],376.37µm
net7,375.91µm
net472,374.84µm
net535,374.74µm
i_chip_core.cfg_phase90_offset_x\[20\],374.18µm
net465,373.82µm
net477,373.72µm
net129,373.21µm
net459,372.83µm
i_chip_core.raw_edge3_y\[3\],372.5µm
i_chip_core.cfg_phase270_offset_y\[15\],371.99µm
net549,371.94µm
net389,371.76µm
i_chip_core.cfg_phase90_offset_y\[4\],370.77µm
i_chip_core.cfg_f_MEMS_fcw_y\[0\],370.46µm
net282,370.41µm
bidir_CORE2PAD\[9\],369.65µm
net572,367.81µm
net435,367.61µm
i_chip_core.cfg_f_MEMS_fcw_y\[14\],367.56µm
net6,364.2µm
net568,364.15µm
net489,363.49µm
net16,362.16µm
i_chip_core.raw_edge2_y\[20\],362.06µm
i_chip_core.cfg_phase270_offset_x\[5\],361.91µm
net461,361.86µm
net30,361.65µm
i_chip_core.cfg_phase90_offset_y\[12\],361.45µm
net416,361.45µm
net545,361.3µm
i_chip_core.raw_edge1_x\[20\],361.17µm
net136,359.21µm
net456,358.7µm
net550,358.6µm
_00005_,358.45µm
net598,357.99µm
i_chip_core.raw_edge3_y\[8\],356.92µm
net32,356.46µm
net565,356.46µm
net811,355.14µm
i_chip_core.cfg_phase270_offset_y\[2\],355.09µm
net240,354.53µm
clknet_leaf_58_clk_PAD2CORE,353.05µm
net520,352.69µm
net29,351.98µm
i_chip_core.phase_state_y\[1\],351.73µm
net452,351.37µm
net382,351.22µm
bidir_CORE2PAD\[10\],350.66µm
net584,350.66µm
net588,350.61µm
net592,350.61µm
net332,350.1µm
net388,349.18µm
net4,349.13µm
i_chip_core.cfg_phase90_offset_x\[0\],349.03µm
net5,349.03µm
net185,348.42µm
net512,348.42µm
net590,348.37µm
i_chip_core.raw_edge2_y\[3\],347.45µm
i_chip_core.state_machine_inst.state_q\[0\],347.3µm
net436,346.89µm
net257,345.67µm
i_chip_core.cfg_phase270_offset_x\[14\],345.52µm
i_chip_core.cfg_phase90_offset_x\[9\],345.44µm
i_chip_core.raw_edge3_x\[16\],344.5µm
i_chip_core.cfg_phase270_offset_x\[4\],344.04µm
i_chip_core.raw_edge1_x\[7\],343.43µm
net26,342.41µm
i_chip_core.jitter_flag_x,342.21µm
i_chip_core.cfg_phase90_offset_x\[5\],341.14µm
_03751_,340.58µm
i_chip_core.signal_processor_x_inst.votes_in_phase\[2\],339.97µm
i_chip_core.raw_edge1_y\[6\],339.51µm
net424,339.46µm
_04736_,339.36µm
_02298_,339.2µm
i_chip_core.raw_edge3_y\[16\],339µm
i_chip_core.raw_edge1_y\[16\],338.44µm
_03750_,337.78µm
i_chip_core.cfg_phase90_offset_x\[4\],337.78µm
i_chip_core.cfg_phase270_offset_y\[10\],337.73µm
net449,337.01µm
i_chip_core.cfg_phase90_offset_y\[6\],335.08µm
i_chip_core.raw_edge2_x\[16\],335.08µm
net537,335.08µm
net564,334.16µm
net559,333.86µm
_00615_,333.45µm
i_chip_core.spi_regs_inst.reg_wr_data\[7\],333.3µm
net458,332.84µm
net560,331.72µm
i_chip_core.input_in\[0\],331.53µm
i_chip_core.raw_edge1_x\[9\],331.06µm
i_chip_core.cfg_f_MEMS_fcw_y\[10\],330.45µm
net8,329.68µm
i_chip_core.cfg_phase270_offset_y\[5\],328.87µm
i_chip_core.raw_edge2_y\[4\],328.82µm
clknet_leaf_71_clk_PAD2CORE,328.31µm
net348,327.9µm
i_chip_core.wave_controller_y_inst.phase_acc\[12\],327.19µm
i_chip_core.signal_processor_y_inst.votes_out_phase\[1\],326.6µm
net480,326.12µm
net10,325.76µm
net11,325.61µm
net140,324.44µm
_00622_,323.88µm
net427,323.88µm
i_chip_core.cfg_phase90_offset_x\[12\],323.83µm
i_chip_core.raw_edge3_x\[10\],323.75µm
i_chip_core.delay_wave_cycle_y\[0\],323.37µm
net469,322.71µm
_00650_,322.66µm
net558,321.84µm
i_chip_core.raw_edge1_x\[18\],321.74µm
net548,321.18µm
i_chip_core.raw_edge3_x\[8\],321.03µm
net555,320.62µm
i_chip_core.jitter_flag_y,320.42µm
i_chip_core.raw_edge1_x\[19\],319.96µm
net121,319.4µm
i_chip_core.signal_processor_y_inst.votes_in_phase\[1\],319.3µm
net316,318.84µm
_04580_,318.69µm
i_chip_core.delay_wave_cycle_y\[1\],318.38µm
net124,317.92µm
net134,317.92µm
i_chip_core.cfg_phase270_offset_x\[19\],317.67µm
net120,317.36µm
net209,316.7µm
net437,316.55µm
i_chip_core.cfg_phase270_offset_y\[13\],316.5µm
i_chip_core.raw_edge1_y\[3\],316.5µm
i_chip_core.cfg_phase270_offset_y\[12\],315.43µm
_02360_,314.97µm
i_chip_core.cfg_phase90_offset_x\[8\],314.82µm
net812,312.58µm
_00649_,312.22µm
net462,311.74µm
net368,310.03µm
_00617_,309.22µm
net685,309.22µm
i_chip_core.cfg_f_MEMS_fcw_y\[2\],308.66µm
i_chip_core.cal_dir_y,308.61µm
i_chip_core.cfg_phase270_offset_y\[1\],308.2µm
i_chip_core.raw_edge3_x\[18\],308.1µm
i_chip_core.cfg_phase90_offset_y\[14\],307.69µm
_02657_,306.04µm
i_chip_core.raw_edge1_x\[1\],305.4µm
net100,305.4µm
net176,305.35µm
net395,305.35µm
i_chip_core.cfg_phase90_offset_x\[17\],305.3µm
i_chip_core.raw_edge1_y\[19\],305.3µm
i_chip_core.raw_edge3_x\[11\],305.25µm
i_chip_core.wave_controller_y_inst.phase_acc\[13\],304.79µm
i_chip_core.signal_processor_x_inst.votes_out_phase\[0\],304.74µm
net130,304.28µm
i_chip_core.cfg_phase90_offset_x\[10\],303.67µm
i_chip_core.raw_edge1_y\[20\],303.67µm
net278,303.67µm
i_chip_core.cfg_phase270_offset_x\[16\],303.16µm
net485,302.96µm
net9,302.69µm
net190,302.6µm
i_chip_core.cal_phase0_offset_x\[0\],302.45µm
_00614_,301.63µm
i_chip_core.raw_edge3_y\[11\],301.53µm
i_chip_core.cfg_phase90_offset_x\[13\],301.48µm
net562,300.66µm
i_chip_core.raw_edge2_y\[19\],300.41µm
i_chip_core.raw_edge3_y\[6\],300.36µm
net541,299.7µm
net163,299.14µm
net433,299.14µm
_00620_,298.53µm
net657,298.53µm
i_chip_core.cfg_phase90_offset_y\[3\],298.07µm
i_chip_core.cfg_phase90_offset_y\[19\],298.02µm
net268,298.02µm
net214,297.87µm
net414,297.66µm
net447,296.59µm
i_chip_core.delay_wave_cycle_x\[3\],296.34µm
i_chip_core.raw_edge2_y\[2\],296.34µm
i_chip_core.cfg_phase90_offset_x\[18\],294.71µm
i_chip_core.boot_complete,294.66µm
net379,294.61µm
_00621_,294.2µm
i_chip_core.raw_edge2_y\[5\],294.2µm
net22,293.84µm
_01435_,293.44µm
_02764_,293.09µm
i_chip_core.signal_processor_y_inst.votes_out_phase\[3\],293.01µm
net553,292.93µm
net260,291.96µm
net423,291.96µm
net460,291.91µm
_00618_,291.4µm
net392,290.79µm
net165,290.59µm
net283,290.18µm
net196,289.72µm
net309,289.52µm
bidir_CORE2PAD\[12\],288.55µm
_02332_,288.5µm
i_chip_core.cfg_phase270_offset_x\[13\],288.04µm
net451,288.04µm
net463,287.94µm
net323,285.36µm
net499,285.14µm
i_chip_core.raw_edge3_x\[9\],284.27µm
net264,284.22µm
_03237_,284.09µm
_02325_,283.51µm
net394,283.05µm
i_chip_core.cfg_phase270_offset_x\[2\],282.9µm
i_chip_core.cfg_phase270_offset_y\[9\],282.49µm
net426,281.93µm
net137,281.73µm
i_chip_core.spi_miso_oe,281.17µm
net243,281.17µm
_03385_,280µm
net267,279.18µm
i_chip_core.raw_edge1_y\[1\],278.42µm
net415,278.11µm
_00653_,277.91µm
net468,277.86µm
net164,277.76µm
i_chip_core.wave_controller_y_inst.phase_acc\[14\],277.4µm
net369,277.4µm
net551,277.4µm
net258,277.35µm
i_chip_core.cfg_phase90_offset_y\[9\],276.84µm
i_chip_core.raw_edge2_y\[0\],276.33µm
clknet_leaf_2_clk_PAD2CORE,276.33µm
i_chip_core.cfg_phase90_offset_y\[10\],276.13µm
net701,275.67µm
i_chip_core.cfg_f_MEMS_fcw_y\[3\],275.57µm
i_chip_core.signal_processor_x_inst.votes_out_phase\[1\],275.52µm
net597,274.7µm
i_chip_core.phase_state_y\[0\],273.89µm
net331,273.48µm
i_chip_core.raw_edge1_y\[5\],273.43µm
_04718_,273.38µm
i_chip_core.raw_edge2_x\[13\],272.97µm
net583,272.82µm
_02297_,272.46µm
clknet_leaf_26_clk_PAD2CORE,272.46µm
net430,271.8µm
i_chip_core.raw_edge1_y\[9\],271.34µm
_00616_,271.14µm
i_chip_core.cfg_phase270_offset_x\[12\],271.09µm
net457,270.68µm
net418,270.27µm
i_chip_core.raw_edge2_y\[18\],270.22µm
i_chip_core.cfg_phase90_offset_y\[11\],269.97µm
net76,269.87µm
net810,269.51µm
net518,269.16µm
net552,269µm
_00652_,268.39µm
net179,268.39µm
net15,267.93µm
i_chip_core.raw_edge2_x\[5\],267.88µm
clknet_leaf_8_clk_PAD2CORE,267.37µm
_04735_,266.2µm
_01432_,266.15µm
_01666_,266.15µm
i_chip_core.wave_controller_x_inst.phase_acc\[13\],265.84µm
net383,265.79µm
i_chip_core.raw_edge2_x\[12\],265.69µm
_02268_,265.49µm
i_chip_core.phase_state_x\[0\],265.49µm
i_chip_core.signal_processor_y_inst.votes_in_phase\[3\],265.12µm
net161,264.98µm
i_chip_core.cfg_f_MEMS_fcw_y\[4\],264.93µm
net632,264.47µm
_02334_,263.35µm
_00623_,262.79µm
net254,262.74µm
net809,262.74µm
net313,261.67µm
i_chip_core.raw_edge1_x\[8\],261.51µm
_00651_,261.11µm
_04713_,261.06µm
net327,260.45µm
net370,260.04µm
i_chip_core.cfg_phase270_offset_y\[11\],259.94µm
net522,259.48µm
net125,259.43µm
_00567_,258.97µm
net126,258.46µm
net262,257.9µm
net271,257.42µm
net429,257.34µm
i_chip_core.delay_wave_cycle_x\[7\],257.14µm
net330,255.66µm
i_chip_core.raw_edge2_x\[17\],255.05µm
net601,254.85µm
i_chip_core.spi_regs_inst.mosi_sync\[0\],253.12µm
i_chip_core.raw_edge2_x\[3\],253.11µm
net734,252.66µm
net199,252.2µm
_02398_,252.1µm
i_chip_core.spi_regs_inst.spi_addr\[4\],252.1µm
i_chip_core.raw_edge2_x\[19\],251.79µm
net208,251.64µm
_04729_,250.98µm
i_chip_core.raw_edge1_x\[13\],250.67µm
_04715_,249.81µm
net212,249.35µm
i_chip_core.cal_dir_x,249.3µm
i_chip_core.raw_edge3_x\[5\],248.94µm
net293,248.89µm
i_chip_core.spi_regs_inst.spi_addr\[5\],248.74µm
net63,248.64µm
net205,248.13µm
i_chip_core.cfg_phase270_offset_y\[7\],247.67µm
_02294_,247.62µm
i_chip_core.raw_edge3_y\[15\],247.11µm
i_chip_core.cfg_phase270_offset_x\[10\],247.06µm
i_chip_core.cfg_phase90_offset_x\[6\],247.06µm
_00659_,246.6µm
i_chip_core.cfg_phase90_offset_y\[5\],246.5µm
i_chip_core.raw_edge1_x\[10\],245.53µm
clknet_leaf_36_clk_PAD2CORE,244.36µm
i_chip_core.signal_processor_y_inst.votes_in_phase\[0\],244.26µm
_03038_,244.21µm
i_chip_core.raw_edge2_y\[13\],243.85µm
clknet_leaf_10_clk_PAD2CORE,243.39µm
net175,243.01µm
net320,242.73µm
_00603_,242.27µm
clknet_leaf_64_clk_PAD2CORE,242.12µm
i_chip_core.cfg_f_MEMS_fcw_y\[7\],241.97µm
net763,241.97µm
_02347_,241.51µm
i_chip_core.raw_edge1_x\[16\],241µm
i_chip_core.raw_edge1_y\[13\],240.44µm
net246,239.83µm
net581,239.42µm
i_chip_core.raw_edge2_y\[12\],239.32µm
net523,239.27µm
net131,239.17µm
_04586_,238.61µm
_00580_,238.35µm
net306,238.05µm
clknet_leaf_59_clk_PAD2CORE,237.41µm
_01066_,236.52µm
net187,236.52µm
i_chip_core.cfg_phase90_offset_y\[13\],236.47µm
i_chip_core.cfg_phase270_offset_x\[17\],236.42µm
net310,236.32µm
net37,235.86µm
clknet_leaf_25_clk_PAD2CORE,235.5µm
_02304_,235.4µm
i_chip_core.delay_wave_cycle_x\[6\],235.35µm
_00579_,234.94µm
i_chip_core.cfg_phase90_offset_y\[7\],234.79µm
i_chip_core.latch_error_y,234.18µm
net252,233.72µm
net453,233.62µm
_04681_,233.57µm
net24,232.65µm
i_chip_core.raw_edge1_x\[12\],232.6µm
i_chip_core.raw_edge2_x\[14\],232.6µm
_04727_,232.45µm
i_chip_core.cfg_phase90_offset_y\[20\],231.94µm
i_chip_core.cfg_phase90_offset_y\[8\],231.56µm
net43,231.43µm
i_chip_core.raw_edge1_y\[15\],231.38µm
i_chip_core.signal_processor_x_inst.votes_in_phase\[1\],231.38µm
net193,231.38µm
i_chip_core.signal_processor_x_inst.votes_out_phase\[2\],229.77µm
i_chip_core.cfg_phase90_offset_y\[16\],229.75µm
_03117_,228.63µm
i_chip_core.raw_edge1_x\[6\],228.17µm
net347,227.76µm
_02340_,227.46µm
net531,226.54µm
i_chip_core.cfg_phase270_offset_x\[18\],225.78µm
_02321_,225.27µm
i_chip_core.raw_edge3_y\[4\],225.27µm
i_chip_core.state_machine_inst.state_q\[1\],225.27µm
_01394_,224.76µm
_02278_,224.76µm
net290,224.61µm
_03052_,224.56µm
i_chip_core.raw_edge3_x\[17\],224.05µm
net446,222.93µm
net321,222.72µm
_02302_,222.47µm
i_chip_core.raw_edge2_y\[11\],222.47µm
net65,221.25µm
net295,220.74µm
net112,220.69µm
net393,220.53µm
net333,220.33µm
_02299_,219.72µm
clknet_leaf_19_clk_PAD2CORE,219.26µm
clknet_leaf_46_clk_PAD2CORE,219.11µm
net58,218.7µm
_02878_,218.6µm
i_chip_core.cfg_f_MEMS_fcw_y\[15\],218.55µm
net432,217.99µm
net628,217.99µm
net286,217.94µm
i_chip_core.raw_edge1_x\[3\],217.66µm
_02265_,217.58µm
i_chip_core.raw_edge3_x\[6\],216.46µm
i_chip_core.raw_edge2_x\[10\],215.75µm
i_chip_core.raw_edge3_x\[7\],215.39µm
net346,215.04µm
net386,214.98µm
_02158_,214.91µm
net280,214.73µm
net59,214.22µm
i_chip_core.spi_regs_inst.cs_n_sync,213.97µm
clknet_leaf_29_clk_PAD2CORE,213.66µm
i_chip_core.cfg_phase90_offset_y\[17\],213.41µm
i_chip_core.cfg_phase90_offset_y\[18\],213.41µm
net524,213.05µm
i_chip_core.cfg_phase90_offset_x\[15\],212.9µm
i_chip_core.raw_edge2_y\[16\],212.54µm
net106,212.29µm
i_chip_core.wave_controller_x_inst.phase_acc\[0\],211.42µm
i_chip_core.raw_edge2_y\[7\],211.27µm
_01390_,211.17µm
net103,211.1µm
_02348_,210.71µm
i_chip_core.wave_controller_x_inst.phase_acc\[3\],210.35µm
net53,210.1µm
net315,210.05µm
_01221_,209.73µm
net319,209.13µm
i_chip_core.cfg_phase270_offset_y\[18\],209.03µm
_03230_,208.88µm
_01925_,208.47µm
_04714_,208.32µm
i_chip_core.cfg_phase270_offset_x\[7\],207.96µm
i_chip_core.spi_regs_inst.reg_wr_data\[5\],207.91µm
net253,207.86µm
_03700_,207.76µm
i_chip_core.cfg_phase90_offset_y\[1\],207.35µm
i_chip_core.raw_edge1_y\[11\],207.35µm
clknet_leaf_9_clk_PAD2CORE,207.3µm
_03167_,207.2µm
i_chip_core.wave_controller_y_inst.phase_acc\[16\],206.63µm
net210,206.28µm
net107,206.08µm
_04733_,205.57µm
net105,205.16µm
net720,205.06µm
net506,204.5µm
_03055_,203.99µm
clknet_leaf_0_clk_PAD2CORE,203.99µm
net557,203.99µm
_00634_,203.68µm
net143,203.38µm
net633,203.38µm
_03017_,203.33µm
i_chip_core.cfg_phase270_offset_y\[8\],203.33µm
net284,203.33µm
clknet_leaf_20_clk_PAD2CORE,203.12µm
i_chip_core.cfg_phase270_offset_x\[6\],202.82µm
i_chip_core.wave_controller_x_inst.phase_acc\[2\],202.41µm
_02358_,202.31µm
net474,202.31µm
_02609_,202.26µm
i_chip_core.signal_processor_y_inst.comp_sync,202.21µm
_02749_,202.16µm
_00619_,201.7µm
clknet_leaf_56_clk_PAD2CORE,201.7µm
clknet_leaf_69_clk_PAD2CORE,201.19µm
_03106_,200.58µm
i_chip_core.raw_edge3_y\[14\],200.58µm
net110,200.48µm
i_chip_core.wave_controller_x_inst.phase_acc\[16\],200.22µm
_02312_,200.17µm
i_chip_core.cfg_phase270_offset_x\[15\],200.12µm
net275,200.07µm
_02105_,199.97µm
i_chip_core.cfg_phase270_offset_x\[8\],199.51µm
net704,199.36µm
clknet_leaf_51_clk_PAD2CORE,199.1µm
net17,199.05µm
net39,198.8µm
_02370_,198.39µm
_00624_,198.34µm
_02271_,198.29µm
_00610_,198.03µm
_02400_,197.88µm
i_chip_core.wave_controller_y_inst.phase_acc\[3\],197.88µm
i_chip_core.raw_edge1_x\[0\],197.73µm
net48,197.68µm
_02933_,197.32µm
_02773_,197.3µm
i_chip_core.cfg_phase90_offset_y\[15\],197.22µm
_03890_,196.09µm
_03236_,196.05µm
bidir_CORE2PAD\[13\],196.05µm
_03155_,196µm
i_chip_core.raw_edge2_x\[18\],195.59µm
net183,195.54µm
_00569_,194.98µm
_04738_,194.98µm
i_chip_core.raw_edge3_x\[3\],194.87µm
_03013_,194.73µm
_03179_,194.48µm
_00855_,194.47µm
net111,194.38µm
_00571_,193.86µm
bidir_CORE2PAD\[7\],193.86µm
net300,193.86µm
_04716_,193.76µm
_00657_,193.4µm
_03111_,193.25µm
_03116_,193.25µm
net144,192.89µm
net661,192.89µm
clknet_leaf_17_clk_PAD2CORE,192.84µm
net292,192.74µm
_00978_,192.18µm
i_chip_core.cfg_phase90_offset_x\[11\],192.13µm
clknet_leaf_68_clk_PAD2CORE,191.72µm
net248,191.67µm
_00568_,191.06µm
_00658_,190.6µm
i_chip_core.wave_controller_y_inst.phase_acc\[19\],190.55µm
_01386_,190.45µm
i_chip_core.cfg_f_MEMS_fcw_y\[11\],189.94µm
net162,189.89µm
clknet_leaf_34_clk_PAD2CORE,189.58µm
i_chip_core.cfg_phase270_offset_y\[17\],189.38µm
net532,188.97µm
_00597_,188.92µm
_02916_,188.91µm
net680,188.77µm
net417,187.75µm
net683,187.7µm
_02329_,187.6µm
net521,187.19µm
i_chip_core.spi_regs_inst.spi_addr\[6\],187.14µm
net420,186.78µm
clknet_leaf_47_clk_PAD2CORE,186.68µm
_03054_,186.12µm
net180,186.02µm
i_chip_core.raw_edge2_y\[10\],185.76µm
net38,185.46µm
net943,185.46µm
_03225_,185.33µm
net384,185.25µm
_03010_,184.9µm
net732,184.9µm
net665,184.39µm
net807,184.34µm
i_chip_core.raw_edge2_x\[15\],183.88µm
net673,183.83µm
i_chip_core.spi_regs_inst.reg_wr_data\[6\],183.78µm
net709,183.78µm
i_chip_core.signal_processor_x_inst.votes_in_phase\[0\],183.73µm
net428,183.37µm
clknet_leaf_31_clk_PAD2CORE,183.37µm
clknet_leaf_60_clk_PAD2CORE,183.37µm
net944,183.12µm
net220,182.71µm
i_chip_core.cfg_phase270_offset_y\[6\],182.66µm
i_chip_core.wave_controller_y_inst.phase_acc\[9\],182.66µm
i_chip_core.raw_edge3_x\[13\],182.61µm
net167,182.2µm
net247,182.05µm
clknet_leaf_27_clk_PAD2CORE,182.02µm
i_chip_core.signal_processor_y_inst.votes_out_phase\[0\],181.54µm
i_chip_core.wave_controller_y_inst.phase_acc\[2\],181.23µm
net299,180.98µm
i_chip_core.signal_processor_x_inst.s90_pipe\[3\],179.96µm
net197,179.81µm
net352,179.5µm
i_chip_core.state_machine_inst.state_q\[2\],179.35µm
i_chip_core.raw_edge3_y\[20\],179.3µm
