net,length_um
_042_,152.42µm
clk,148.82µm
net25,144.73µm
net26,130.17µm
clknet_0_clk,124.37µm
net51,113.83µm
net5,109.45µm
net27,95.35µm
net32,93.67µm
_102_,89.85µm
clknet_3_1__leaf_clk,88.68µm
s270_pipe\[3\],88.63µm
comp_pipe\[3\],87.97µm
net28,85.78µm
_089_,81.2µm
_061_,78.55µm
net23,70.05µm
net2,69.49µm
net22,68.47µm
net50,65.52µm
net10,64.5µm
net24,64.4µm
net31,63.84µm
clknet_3_0__leaf_clk,62.82µm
s90,58.9µm
_088_,57.78µm
clknet_3_3__leaf_clk,57.73µm
cycle_count\[0\],56.2µm
s90_pipe\[3\],56.15µm
clknet_3_5__leaf_clk,54.42µm
net30,54.32µm
clknet_3_4__leaf_clk,53.91µm
net34,53.3µm
net21,51.06µm
_041_,50.65µm
clknet_3_7__leaf_clk,48.92µm
_073_,48.82µm
cnt_in\[0\],48.72µm
net40,47.7µm
_074_,47.65µm
net39,44.29µm
net12,43.73µm
_046_,43.27µm
cnt_in\[2\],43.12µm
_078_,40.98µm
clknet_3_6__leaf_clk,40.88µm
_045_,40.47µm
_076_,39.86µm
_101_,39.81µm
net46,39.81µm
net43,39.25µm
_071_,38.69µm
net35,38.64µm
cnt_in\[1\],38.23µm
cycle_count\[1\],38.18µm
cnt_in\[3\],38.13µm
net33,37.62µm
clknet_3_2__leaf_clk,37.06µm
_070_,35.38µm
s90_valid,35.33µm
net38,34.82µm
cnt_out\[3\],34.77µm
_060_,34.72µm
_080_,34.21µm
_021_,33.6µm
_091_,33.14µm
_095_,32.48µm
comp_pipe\[1\],32.48µm
net44,32.07µm
net37,32.02µm
net20,31.97µm
_066_,31.51µm
net4,30.85µm
net48,30.34µm
_067_,29.73µm
net1,29.68µm
net41,29.32µm
cnt_out\[0\],29.17µm
_072_,28.56µm
_054_,28.1µm
cycle_count\[2\],27.49µm
net45,27.49µm
net42,27.44µm
net11,26.98µm
net7,26.93µm
latch_phase90,26.74µm
_055_,25.86µm
cycle_count\[3\],25.4µm
net36,25.3µm
cnt_out\[2\],25.25µm
_068_,24.64µm
net29,24.13µm
latch_phase270_ack,23.94µm
net47,23.57µm
latch_phase270,23.38µm
_053_,23.01µm
_051_,22.96µm
_048_,22.4µm
_025_,21.84µm
_028_,21.33µm
net3,21.33µm
s270_pipe\[0\],21.33µm
net15,21.33µm
_035_,21.28µm
_082_,20.82µm
_044_,20.77µm
_013_,20.72µm
comp_raw,20.58µm
soft_rst_n,20.58µm
latch_phase90_ack,20.02µm
net6,19.75µm
_050_,19.65µm
rst_n,19.46µm
comp_pipe\[0\],19.09µm
_005_,19.04µm
_047_,19.04µm
net19,19.04µm
jitter_flag,18.9µm
net49,18.53µm
_103_,18.07µm
_057_,18.02µm
dir,17.78µm
move_en,17.78µm
_085_,17.46µm
net14,17.46µm
net16,17.41µm
net17,16.9µm
_056_,16.85µm
_002_,16.8µm
net18,16.34µm
_000_,16.29µm
_026_,15.68µm
_063_,15.22µm
_010_,15.12µm
phase_state[0],14.98µm
phase_state[1],14.98µm
_094_,14.71µm
_020_,14.56µm
_004_,14.05µm
_105_,14.05µm
comp_pipe\[2\],13.49µm
_033_,13.44µm
votes_out_phase[3],13.3µm
_104_,12.98µm
_029_,12.93µm
_037_,12.93µm
s90_pipe\[0\],12.93µm
_012_,12.88µm
cnt_out\[1\],12.42µm
_014_,12.37µm
_018_,12.32µm
_032_,12.32µm
_064_,11.86µm
_043_,11.81µm
_049_,11.81µm
_097_,11.81µm
votes_in_phase[0],11.62µm
votes_in_phase[2],11.62µm
_062_,11.25µm
_079_,11.2µm
s90_pipe\[1\],11.2µm
votes_in_phase[3],11.06µm
_081_,10.69µm
_106_,10.64µm
votes_out_phase[0],10.5µm
votes_out_phase[1],10.5µm
_011_,9.57µm
s270_pipe\[2\],9.57µm
_030_,9.52µm
votes_out_phase[2],9.38µm
_023_,9.01µm
_065_,9.01µm
net13,9.01µm
votes_in_phase[1],8.87µm
_107_,8.5µm
_003_,8.4µm
_086_,8.4µm
_016_,7.89µm
_006_,7.28µm
net8,7.28µm
_024_,6.77µm
_017_,6.16µm
_075_,6.16µm
_007_,5.65µm
_039_,5.65µm
s270_pipe\[1\],5.65µm
_031_,5.6µm
_036_,5.6µm
_058_,5.14µm
_092_,5.14µm
_096_,5.09µm
_001_,5.04µm
_019_,4.58µm
_040_,4.53µm
_083_,4.53µm
_015_,4.48µm
_034_,4.48µm
_052_,4.48µm
s90_pipe\[2\],4.48µm
_099_,4.02µm
_100_,4.02µm
_022_,3.92µm
net9,3.92µm
_008_,3.36µm
_009_,3.36µm
_027_,3.36µm
_038_,3.36µm
_069_,3.36µm
_090_,3.36µm
_087_,2.34µm
_093_,2.24µm
_077_,1.68µm
_098_,1.68µm
_059_,1.12µm
_084_,1.12µm
