Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_208,VDD,Metal1,123.4800,137.2000,3.299977
FILLER_31_206,VDD,Metal1,122.6400,137.2000,3.299977
FILLER_31_202,VDD,Metal1,120.4000,137.2000,3.299977
FILLER_31_193,VDD,Metal1,115.0800,137.2000,3.299977
FILLER_31_191,VDD,Metal1,114.2400,137.2000,3.299977
FILLER_31_184,VDD,Metal1,110.0400,137.2000,3.299977
FILLER_31_180,VDD,Metal1,109.0200,137.6325,3.299977
FILLER_31_161,VDD,Metal1,97.1600,137.2000,3.299977
FILLER_31_157,VDD,Metal1,96.1400,137.6325,3.299977
FILLER_31_148,VDD,Metal1,89.8800,137.2000,3.299978
FILLER_31_146,VDD,Metal1,89.0400,137.2000,3.299978
FILLER_31_138,VDD,Metal1,86.7465,137.7765,3.299978
FILLER_31_132,VDD,Metal1,82.1400,137.6325,3.299978
FILLER_31_124,VDD,Metal1,78.9065,137.7765,3.299978
FILLER_31_70,VDD,Metal1,46.4800,137.2000,3.299979
FILLER_31_67,VDD,Metal1,44.5200,137.2000,3.299979
FILLER_31_63,VDD,Metal1,43.5000,137.6325,3.299979
FILLER_31_47,VDD,Metal1,38.1280,137.8920,3.299979
FILLER_31_40,VDD,Metal1,29.4000,137.2000,3.299980
FILLER_31_36,VDD,Metal1,28.3800,137.6325,3.299980
FILLER_31_2,VDD,Metal1,17.4755,137.9685,3.299980
FILLER_30_173,VDD,Metal1,104.1600,137.2000,3.299977
FILLER_30_153,VDD,Metal1,93.9000,136.7675,3.299977
FILLER_30_115,VDD,Metal1,72.6200,136.7675,3.299978
FILLER_30_61,VDD,Metal1,42.3800,136.7675,3.299979
FILLER_30_53,VDD,Metal1,39.1465,136.6230,3.299979
FILLER_30_37,VDD,Metal1,32.5280,136.5080,3.299980
FILLER_30_34,VDD,Metal1,26.0400,137.2000,3.299980
FILLER_30_2,VDD,Metal1,17.4755,136.4310,3.299980
FILLER_29_224,VDD,Metal1,132.4400,129.3600,3.299946
FILLER_29_220,VDD,Metal1,131.4200,129.7925,3.299946
FILLER_29_58,VDD,Metal1,40.7000,129.7925,3.299948
