Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_208,VSS,Metal1,123.4800,141.1200,0.000006
FILLER_31_206,VSS,Metal1,122.6400,141.1200,0.000006
FILLER_31_202,VSS,Metal1,120.4000,141.1200,0.000006
FILLER_31_193,VSS,Metal1,115.0800,141.1200,0.000006
FILLER_31_191,VSS,Metal1,114.2400,141.1200,0.000006
FILLER_31_184,VSS,Metal1,110.0400,141.1200,0.000006
FILLER_31_180,VSS,Metal1,108.2600,140.7710,0.000006
FILLER_31_161,VSS,Metal1,97.1600,141.1200,0.000006
FILLER_31_157,VSS,Metal1,95.3800,140.7710,0.000006
FILLER_31_148,VSS,Metal1,89.8800,141.1200,0.000006
FILLER_31_146,VSS,Metal1,89.0400,141.1200,0.000006
FILLER_31_138,VSS,Metal1,85.7330,140.6580,0.000006
FILLER_31_132,VSS,Metal1,81.3800,140.7710,0.000006
FILLER_31_124,VSS,Metal1,77.8930,140.6580,0.000006
FILLER_31_70,VSS,Metal1,46.4800,141.1200,0.000005
FILLER_31_67,VSS,Metal1,44.5200,141.1200,0.000005
FILLER_31_63,VSS,Metal1,42.7400,140.7710,0.000005
FILLER_31_47,VSS,Metal1,36.9120,140.5720,0.000005
FILLER_31_40,VSS,Metal1,29.4000,141.1200,0.000005
FILLER_31_36,VSS,Metal1,27.6200,140.7710,0.000005
FILLER_31_2,VSS,Metal1,16.1240,140.5220,0.000005
FILLER_30_173,VSS,Metal1,104.1600,133.2800,0.000044
FILLER_30_153,VSS,Metal1,93.1400,133.6285,0.000044
FILLER_30_115,VSS,Metal1,71.8600,133.6285,0.000044
FILLER_30_61,VSS,Metal1,41.6200,133.6285,0.000042
FILLER_30_53,VSS,Metal1,38.1330,133.7415,0.000041
FILLER_30_37,VSS,Metal1,31.3120,133.8280,0.000041
FILLER_30_34,VSS,Metal1,26.0400,133.2800,0.000041
FILLER_30_2,VSS,Metal1,16.1240,133.8775,0.000041
FILLER_29_224,VSS,Metal1,132.4400,133.2800,0.000045
FILLER_29_220,VSS,Metal1,130.6600,132.9310,0.000045
FILLER_29_58,VSS,Metal1,39.9400,132.9310,0.000042
FILLER_29_50,VSS,Metal1,36.4530,132.8180,0.000041
FILLER_29_34,VSS,Metal1,29.6320,132.7320,0.000041
FILLER_29_2,VSS,Metal1,16.1240,132.6820,0.000041
FILLER_28_224,VSS,Metal1,132.4400,125.4400,0.000089
FILLER_28_181,VSS,Metal1,108.3600,125.4400,0.000089
FILLER_28_177,VSS,Metal1,106.5800,125.7885,0.000089
FILLER_28_174,VSS,Metal1,104.4400,125.4400,0.000089
FILLER_28_172,VSS,Metal1,103.6000,125.4400,0.000089
FILLER_28_129,VSS,Metal1,79.2400,125.4400,0.000087
FILLER_28_127,VSS,Metal1,78.4000,125.4400,0.000087
FILLER_28_123,VSS,Metal1,76.3400,125.7885,0.000086
FILLER_28_101,VSS,Metal1,64.0200,125.7885,0.000082
FILLER_28_65,VSS,Metal1,43.6800,125.4400,0.000079
FILLER_28_61,VSS,Metal1,41.6200,125.7885,0.000079
FILLER_28_53,VSS,Metal1,38.1330,125.9015,0.000079
FILLER_28_37,VSS,Metal1,31.3120,125.9880,0.000079
FILLER_28_34,VSS,Metal1,26.0400,125.4400,0.000079
FILLER_28_2,VSS,Metal1,16.1240,126.0375,0.000079
FILLER_27_216,VSS,Metal1,127.9600,125.4400,0.000089
FILLER_27_212,VSS,Metal1,126.1800,125.0910,0.000089
FILLER_27_158,VSS,Metal1,95.7600,125.4400,0.000088
FILLER_27_142,VSS,Metal1,87.9730,124.9780,0.000088
FILLER_27_139,VSS,Metal1,84.8400,125.4400,0.000088
FILLER_27_127,VSS,Metal1,78.5800,125.0910,0.000087
FILLER_27_106,VSS,Metal1,66.3600,125.4400,0.000082
FILLER_27_66,VSS,Metal1,44.4200,125.0910,0.000081
FILLER_27_2,VSS,Metal1,25.0445,124.8020,0.000079
FILLER_26_224,VSS,Metal1,132.4400,117.6000,0.000068
FILLER_26_222,VSS,Metal1,131.6000,117.6000,0.000068
FILLER_26_179,VSS,Metal1,107.2400,117.6000,0.000068
FILLER_26_177,VSS,Metal1,106.4000,117.6000,0.000068
FILLER_26_77,VSS,Metal1,50.5800,117.9485,0.000066
FILLER_26_69,VSS,Metal1,47.0930,118.0615,0.000066
FILLER_26_37,VSS,Metal1,35.7240,118.1975,0.000065
FILLER_26_34,VSS,Metal1,26.0400,117.6000,0.000065
FILLER_26_2,VSS,Metal1,16.1240,118.1975,0.000065
FILLER_25_224,VSS,Metal1,132.4400,117.6000,0.000068
FILLER_25_220,VSS,Metal1,130.6600,117.2510,0.000068
FILLER_25_212,VSS,Metal1,127.1730,117.1380,0.000068
FILLER_25_209,VSS,Metal1,124.0400,117.6000,0.000068
FILLER_25_184,VSS,Metal1,110.5000,117.2510,0.000068
FILLER_25_176,VSS,Metal1,107.0130,117.1380,0.000068
FILLER_25_136,VSS,Metal1,83.6200,117.2510,0.000068
FILLER_25_128,VSS,Metal1,80.1330,117.1380,0.000068
FILLER_25_119,VSS,Metal1,73.6400,117.6000,0.000068
FILLER_25_115,VSS,Metal1,71.8600,117.2510,0.000068
FILLER_25_80,VSS,Metal1,51.8000,117.6000,0.000066
FILLER_25_72,VSS,Metal1,48.7730,117.1380,0.000066
FILLER_25_66,VSS,Metal1,44.4200,117.2510,0.000065
FILLER_25_2,VSS,Metal1,25.0445,116.9620,0.000065
FILLER_24_224,VSS,Metal1,132.4400,109.7600,0.000110
FILLER_24_222,VSS,Metal1,131.6000,109.7600,0.000110
FILLER_24_187,VSS,Metal1,111.7200,109.7600,0.000110
FILLER_24_177,VSS,Metal1,106.4000,109.7600,0.000110
FILLER_24_140,VSS,Metal1,85.4000,109.7600,0.000108
FILLER_24_124,VSS,Metal1,80.0320,110.3080,0.000108
FILLER_24_107,VSS,Metal1,66.9200,109.7600,0.000108
FILLER_24_69,VSS,Metal1,45.9200,109.7600,0.000105
FILLER_24_37,VSS,Metal1,35.7240,110.3575,0.000105
FILLER_24_34,VSS,Metal1,26.0400,109.7600,0.000105
FILLER_24_2,VSS,Metal1,16.1240,110.3575,0.000105
FILLER_23_158,VSS,Metal1,95.7600,109.7600,0.000110
FILLER_23_150,VSS,Metal1,91.2800,109.7600,0.000110
FILLER_23_142,VSS,Metal1,87.9730,109.2980,0.000110
FILLER_23_139,VSS,Metal1,84.8400,109.7600,0.000108
FILLER_23_88,VSS,Metal1,56.2800,109.7600,0.000108
FILLER_23_72,VSS,Metal1,50.9120,109.2120,0.000108
FILLER_23_66,VSS,Metal1,44.4200,109.4110,0.000105
FILLER_23_2,VSS,Metal1,25.0445,109.1220,0.000105
FILLER_22_224,VSS,Metal1,132.4400,101.9200,0.000020
FILLER_22_181,VSS,Metal1,108.3600,101.9200,0.000020
FILLER_22_177,VSS,Metal1,106.5800,102.2685,0.000020
FILLER_22_139,VSS,Metal1,85.1200,101.9200,0.000019
FILLER_22_107,VSS,Metal1,74.9240,102.5175,0.000019
FILLER_22_104,VSS,Metal1,65.2400,101.9200,0.000019
FILLER_22_102,VSS,Metal1,64.4000,101.9200,0.000019
FILLER_22_98,VSS,Metal1,62.3400,102.2685,0.000019
FILLER_22_89,VSS,Metal1,56.8400,101.9200,0.000019
FILLER_22_85,VSS,Metal1,55.0600,102.2685,0.000018
FILLER_22_69,VSS,Metal1,49.2320,102.4680,0.000018
FILLER_22_37,VSS,Metal1,35.7240,102.5175,0.000018
FILLER_22_34,VSS,Metal1,26.0400,101.9200,0.000018
FILLER_22_2,VSS,Metal1,16.1240,102.5175,0.000018
FILLER_21_216,VSS,Metal1,127.9600,101.9200,0.000020
FILLER_21_212,VSS,Metal1,126.1800,101.5710,0.000020
FILLER_21_209,VSS,Metal1,124.0400,101.9200,0.000020
FILLER_21_202,VSS,Metal1,120.4000,101.9200,0.000020
FILLER_21_198,VSS,Metal1,118.3400,101.5710,0.000020
FILLER_21_174,VSS,Metal1,108.0320,101.3720,0.000020
FILLER_21_155,VSS,Metal1,93.8000,101.9200,0.000020
FILLER_21_142,VSS,Metal1,86.5200,101.9200,0.000019
FILLER_21_132,VSS,Metal1,82.3730,101.4580,0.000019
FILLER_21_96,VSS,Metal1,61.0400,101.9200,0.000019
FILLER_21_88,VSS,Metal1,57.7330,101.4580,0.000019
FILLER_21_72,VSS,Metal1,50.9120,101.3720,0.000018
FILLER_21_66,VSS,Metal1,44.4200,101.5710,0.000018
FILLER_21_2,VSS,Metal1,25.0445,101.2820,0.000018
FILLER_20_189,VSS,Metal1,113.1200,94.0800,0.000013
FILLER_20_185,VSS,Metal1,111.0600,94.4285,0.000013
FILLER_20_177,VSS,Metal1,107.5730,94.5415,0.000013
FILLER_20_174,VSS,Metal1,104.4400,94.0800,0.000013
FILLER_20_107,VSS,Metal1,68.3730,94.5415,0.000012
FILLER_20_101,VSS,Metal1,64.0200,94.4285,0.000012
FILLER_20_37,VSS,Metal1,44.6445,94.7175,0.000012
FILLER_20_34,VSS,Metal1,26.0400,94.0800,0.000012
FILLER_20_2,VSS,Metal1,16.1240,94.6775,0.000012
FILLER_19_224,VSS,Metal1,132.4400,94.0800,0.000013
FILLER_19_220,VSS,Metal1,130.6600,93.7310,0.000013
FILLER_19_212,VSS,Metal1,127.1730,93.6180,0.000013
FILLER_19_209,VSS,Metal1,124.0400,94.0800,0.000013
FILLER_19_202,VSS,Metal1,120.4000,94.0800,0.000013
FILLER_19_198,VSS,Metal1,118.3400,93.7310,0.000013
FILLER_19_189,VSS,Metal1,112.8400,94.0800,0.000013
FILLER_19_187,VSS,Metal1,112.0000,94.0800,0.000013
FILLER_19_183,VSS,Metal1,109.9400,93.7310,0.000013
FILLER_19_175,VSS,Metal1,106.4530,93.6180,0.000013
FILLER_19_142,VSS,Metal1,86.5200,94.0800,0.000012
FILLER_19_139,VSS,Metal1,84.8400,94.0800,0.000012
FILLER_19_135,VSS,Metal1,83.0600,93.7310,0.000012
FILLER_19_122,VSS,Metal1,75.3200,94.0800,0.000012
FILLER_19_120,VSS,Metal1,74.4800,94.0800,0.000012
FILLER_19_104,VSS,Metal1,68.8320,93.5320,0.000012
FILLER_19_72,VSS,Metal1,55.3240,93.4820,0.000012
FILLER_19_66,VSS,Metal1,44.4200,93.7310,0.000012
FILLER_19_2,VSS,Metal1,25.0445,93.4420,0.000012
FILLER_18_216,VSS,Metal1,127.9600,86.2400,0.000007
FILLER_18_214,VSS,Metal1,127.1200,86.2400,0.000007
FILLER_18_182,VSS,Metal1,116.9240,86.8375,0.000007
FILLER_18_162,VSS,Metal1,97.7200,86.2400,0.000007
FILLER_18_115,VSS,Metal1,71.4000,86.2400,0.000007
FILLER_18_107,VSS,Metal1,68.3730,86.7015,0.000007
FILLER_18_101,VSS,Metal1,64.0200,86.5885,0.000007
FILLER_18_37,VSS,Metal1,44.6445,86.8775,0.000007
FILLER_18_34,VSS,Metal1,26.0400,86.2400,0.000007
FILLER_18_2,VSS,Metal1,16.1240,86.8375,0.000007
FILLER_17_224,VSS,Metal1,132.4400,86.2400,0.000007
FILLER_17_220,VSS,Metal1,130.6600,85.8910,0.000007
FILLER_17_212,VSS,Metal1,127.1730,85.7780,0.000007
FILLER_17_209,VSS,Metal1,124.0400,86.2400,0.000007
FILLER_17_202,VSS,Metal1,120.4000,86.2400,0.000007
FILLER_17_190,VSS,Metal1,113.8600,85.8910,0.000007
FILLER_17_151,VSS,Metal1,91.8400,86.2400,0.000007
FILLER_17_120,VSS,Metal1,74.6600,85.8910,0.000007
FILLER_17_104,VSS,Metal1,68.8320,85.6920,0.000007
FILLER_17_72,VSS,Metal1,55.3240,85.6420,0.000007
FILLER_17_66,VSS,Metal1,44.4200,85.8910,0.000007
FILLER_17_2,VSS,Metal1,25.0445,85.6020,0.000007
FILLER_16_177,VSS,Metal1,106.4000,78.4000,0.000109
FILLER_16_124,VSS,Metal1,76.4400,78.4000,0.000109
FILLER_16_117,VSS,Metal1,72.5200,78.4000,0.000109
FILLER_16_115,VSS,Metal1,71.6800,78.4000,0.000109
FILLER_16_107,VSS,Metal1,68.3730,78.8615,0.000109
FILLER_16_101,VSS,Metal1,64.0200,78.7485,0.000109
FILLER_16_37,VSS,Metal1,44.6445,79.0375,0.000108
FILLER_16_34,VSS,Metal1,26.0400,78.4000,0.000108
FILLER_16_2,VSS,Metal1,16.1240,78.9975,0.000108
FILLER_15_216,VSS,Metal1,127.9600,78.4000,0.000109
FILLER_15_212,VSS,Metal1,126.1800,78.0510,0.000109
FILLER_15_209,VSS,Metal1,124.0400,78.4000,0.000109
FILLER_15_203,VSS,Metal1,120.6800,78.4000,0.000109
FILLER_15_201,VSS,Metal1,119.8400,78.4000,0.000109
FILLER_15_165,VSS,Metal1,99.6800,78.4000,0.000109
FILLER_15_139,VSS,Metal1,84.8400,78.4000,0.000109
FILLER_15_96,VSS,Metal1,60.7600,78.4000,0.000108
FILLER_15_88,VSS,Metal1,57.7330,77.9380,0.000108
FILLER_15_72,VSS,Metal1,50.9120,77.8520,0.000108
FILLER_15_66,VSS,Metal1,44.4200,78.0510,0.000108
FILLER_15_2,VSS,Metal1,25.0445,77.7620,0.000108
FILLER_14_223,VSS,Metal1,132.1600,70.5600,0.000058
FILLER_14_219,VSS,Metal1,130.1000,70.9085,0.000058
FILLER_14_211,VSS,Metal1,126.6130,71.0215,0.000058
FILLER_14_174,VSS,Metal1,104.4400,70.5600,0.000058
FILLER_14_122,VSS,Metal1,75.6000,70.5600,0.000055
FILLER_14_114,VSS,Metal1,72.2930,71.0215,0.000055
FILLER_14_107,VSS,Metal1,66.9200,70.5600,0.000055
FILLER_14_101,VSS,Metal1,64.0200,70.9085,0.000054
FILLER_14_37,VSS,Metal1,44.6445,71.1975,0.000054
FILLER_14_34,VSS,Metal1,26.0400,70.5600,0.000054
FILLER_14_2,VSS,Metal1,16.1240,71.1575,0.000054
