Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_81_573,VDD,Metal1,327.8800,333.2000,3.299977
FILLER_81_569,VDD,Metal1,326.8600,333.6325,3.299977
FILLER_81_560,VDD,Metal1,320.6000,333.2000,3.299977
FILLER_81_558,VDD,Metal1,319.7600,333.2000,3.299977
FILLER_81_554,VDD,Metal1,318.4600,333.6325,3.299977
FILLER_81_546,VDD,Metal1,315.2265,333.7765,3.299977
FILLER_81_543,VDD,Metal1,311.0800,333.2000,3.299977
FILLER_81_527,VDD,Metal1,306.9280,333.8920,3.299977
FILLER_81_518,VDD,Metal1,297.0800,333.2000,3.299977
FILLER_81_516,VDD,Metal1,296.2400,333.2000,3.299977
FILLER_81_512,VDD,Metal1,294.9400,333.6325,3.299977
FILLER_81_508,VDD,Metal1,291.7600,333.2000,3.299977
FILLER_81_500,VDD,Metal1,289.4665,333.7765,3.299977
FILLER_81_484,VDD,Metal1,282.8480,333.8920,3.299977
FILLER_81_441,VDD,Metal1,253.9600,333.2000,3.299979
FILLER_81_434,VDD,Metal1,250.0400,333.2000,3.299979
FILLER_81_426,VDD,Metal1,248.0265,333.7765,3.299979
FILLER_81_410,VDD,Metal1,241.4080,333.8920,3.299979
FILLER_81_407,VDD,Metal1,234.9200,333.2000,3.299979
FILLER_81_399,VDD,Metal1,232.9065,333.7765,3.299979
FILLER_81_392,VDD,Metal1,226.5200,333.2000,3.299979
FILLER_81_376,VDD,Metal1,222.3680,333.8920,3.299979
FILLER_81_342,VDD,Metal1,207.8755,333.9685,3.299979
FILLER_81_339,VDD,Metal1,196.8400,333.2000,3.299979
FILLER_81_335,VDD,Metal1,195.8200,333.6325,3.299979
FILLER_81_319,VDD,Metal1,190.4480,333.8920,3.299979
FILLER_81_312,VDD,Metal1,181.7200,333.2000,3.299987
FILLER_81_308,VDD,Metal1,180.7000,333.6325,3.299987
FILLER_81_274,VDD,Metal1,169.7955,333.9685,3.299987
FILLER_81_256,VDD,Metal1,152.8265,333.7765,3.299987
FILLER_81_240,VDD,Metal1,146.2080,333.8920,3.299987
FILLER_81_237,VDD,Metal1,139.7200,333.2000,3.299987
FILLER_81_233,VDD,Metal1,138.7000,333.6325,3.299987
FILLER_81_224,VDD,Metal1,132.4400,333.2000,3.299987
FILLER_81_222,VDD,Metal1,131.6000,333.2000,3.299987
FILLER_81_206,VDD,Metal1,127.1680,333.8920,3.299987
FILLER_81_203,VDD,Metal1,120.6800,333.2000,3.299987
FILLER_81_199,VDD,Metal1,119.6600,333.6325,3.299987
FILLER_81_191,VDD,Metal1,116.4265,333.7765,3.299987
FILLER_81_182,VDD,Metal1,108.9200,333.2000,3.299987
FILLER_81_180,VDD,Metal1,108.0800,333.2000,3.299987
FILLER_81_172,VDD,Metal1,105.7865,333.7765,3.299987
FILLER_81_169,VDD,Metal1,101.6400,333.2000,3.299988
FILLER_81_167,VDD,Metal1,100.8000,333.2000,3.299988
FILLER_81_163,VDD,Metal1,99.5000,333.6325,3.299988
FILLER_81_147,VDD,Metal1,94.1280,333.8920,3.299988
FILLER_81_140,VDD,Metal1,85.4000,333.2000,3.299988
FILLER_81_138,VDD,Metal1,84.5600,333.2000,3.299988
FILLER_81_104,VDD,Metal1,74.5955,333.9685,3.299988
FILLER_81_94,VDD,Metal1,59.9200,333.2000,3.299988
FILLER_81_86,VDD,Metal1,57.6265,333.7765,3.299988
FILLER_81_70,VDD,Metal1,51.0080,333.8920,3.299988
FILLER_81_67,VDD,Metal1,44.5200,333.2000,3.299988
FILLER_81_63,VDD,Metal1,43.5000,333.6325,3.299988
FILLER_81_56,VDD,Metal1,38.3600,333.2000,3.299988
FILLER_81_52,VDD,Metal1,37.3400,333.6325,3.299988
FILLER_81_36,VDD,Metal1,31.9680,333.8920,3.299988
FILLER_81_33,VDD,Metal1,25.4800,333.2000,3.299988
FILLER_81_31,VDD,Metal1,24.6400,333.2000,3.299988
FILLER_81_23,VDD,Metal1,22.3465,333.7765,3.299988
FILLER_81_14,VDD,Metal1,14.8400,333.2000,3.299988
FILLER_81_10,VDD,Metal1,13.8200,333.6325,3.299988
FILLER_81_2,VDD,Metal1,10.5865,333.7765,3.299988
FILLER_80_573,VDD,Metal1,327.8800,333.2000,3.299977
FILLER_80_571,VDD,Metal1,327.0400,333.2000,3.299977
FILLER_80_567,VDD,Metal1,325.7400,332.7675,3.299977
FILLER_80_559,VDD,Metal1,322.5065,332.6230,3.299977
FILLER_80_527,VDD,Metal1,311.4755,332.4310,3.299977
FILLER_80_521,VDD,Metal1,299.9800,332.7675,3.299977
FILLER_80_513,VDD,Metal1,296.7465,332.6230,3.299977
FILLER_80_497,VDD,Metal1,290.1280,332.5080,3.299977
FILLER_80_423,VDD,Metal1,248.6880,332.5080,3.299979
FILLER_80_381,VDD,Metal1,221.5800,332.7675,3.299979
FILLER_80_317,VDD,Metal1,202.8750,332.3855,3.299979
FILLER_80_307,VDD,Metal1,179.2000,333.2000,3.299987
FILLER_80_303,VDD,Metal1,177.9000,332.7675,3.299987
FILLER_80_295,VDD,Metal1,174.6665,332.6230,3.299987
FILLER_80_279,VDD,Metal1,168.0480,332.5080,3.299987
FILLER_80_247,VDD,Metal1,154.6755,332.4310,3.299987
FILLER_80_241,VDD,Metal1,143.1800,332.7675,3.299987
FILLER_80_177,VDD,Metal1,124.4750,332.3855,3.299987
FILLER_80_171,VDD,Metal1,103.9800,332.7675,3.299988
FILLER_80_107,VDD,Metal1,85.2750,332.3855,3.299988
FILLER_80_101,VDD,Metal1,64.7800,332.7675,3.299988
FILLER_80_37,VDD,Metal1,46.0750,332.3855,3.299988
FILLER_80_34,VDD,Metal1,26.0400,333.2000,3.299988
FILLER_80_2,VDD,Metal1,17.4755,332.4310,3.299988
FILLER_79_570,VDD,Metal1,327.4200,325.7925,3.299982
FILLER_79_562,VDD,Metal1,324.1865,325.9365,3.299982
FILLER_79_556,VDD,Metal1,319.5800,325.7925,3.299982
FILLER_79_492,VDD,Metal1,300.8750,326.1740,3.299982
FILLER_79_416,VDD,Metal1,241.1800,325.7925,3.299984
FILLER_79_352,VDD,Metal1,222.4750,326.1740,3.299985
FILLER_79_346,VDD,Metal1,201.9800,325.7925,3.299985
FILLER_79_282,VDD,Metal1,183.2750,326.1740,3.299985
FILLER_79_276,VDD,Metal1,162.7800,325.7925,3.299985
FILLER_79_212,VDD,Metal1,144.0750,326.1740,3.299985
FILLER_79_206,VDD,Metal1,123.5800,325.7925,3.299985
FILLER_79_142,VDD,Metal1,104.8750,326.1740,3.299985
FILLER_79_136,VDD,Metal1,84.3800,325.7925,3.299985
FILLER_79_72,VDD,Metal1,65.6750,326.1740,3.299985
FILLER_79_66,VDD,Metal1,45.1800,325.7925,3.299985
FILLER_79_2,VDD,Metal1,26.4750,326.1740,3.299985
FILLER_78_573,VDD,Metal1,327.8800,325.3600,3.299982
