Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_81_573,VSS,Metal1,327.8800,337.1200,0.000008
FILLER_81_569,VSS,Metal1,326.1000,336.7710,0.000008
FILLER_81_560,VSS,Metal1,320.6000,337.1200,0.000008
FILLER_81_558,VSS,Metal1,319.7600,337.1200,0.000008
FILLER_81_554,VSS,Metal1,317.7000,336.7710,0.000008
FILLER_81_546,VSS,Metal1,314.2130,336.6580,0.000008
FILLER_81_543,VSS,Metal1,311.0800,337.1200,0.000008
FILLER_81_527,VSS,Metal1,305.7120,336.5720,0.000008
FILLER_81_518,VSS,Metal1,297.0800,337.1200,0.000008
FILLER_81_516,VSS,Metal1,296.2400,337.1200,0.000008
FILLER_81_512,VSS,Metal1,294.1800,336.7710,0.000008
FILLER_81_508,VSS,Metal1,291.7600,337.1200,0.000008
FILLER_81_500,VSS,Metal1,288.4530,336.6580,0.000008
FILLER_81_484,VSS,Metal1,281.6320,336.5720,0.000008
FILLER_81_441,VSS,Metal1,253.9600,337.1200,0.000007
FILLER_81_434,VSS,Metal1,250.0400,337.1200,0.000007
FILLER_81_426,VSS,Metal1,247.0130,336.6580,0.000007
FILLER_81_410,VSS,Metal1,240.1920,336.5720,0.000007
FILLER_81_407,VSS,Metal1,234.9200,337.1200,0.000006
FILLER_81_399,VSS,Metal1,231.8930,336.6580,0.000006
FILLER_81_392,VSS,Metal1,226.5200,337.1200,0.000006
FILLER_81_376,VSS,Metal1,221.1520,336.5720,0.000006
FILLER_81_342,VSS,Metal1,206.5240,336.5220,0.000006
FILLER_81_339,VSS,Metal1,196.8400,337.1200,0.000006
FILLER_81_335,VSS,Metal1,195.0600,336.7710,0.000006
FILLER_81_319,VSS,Metal1,189.2320,336.5720,0.000006
FILLER_81_312,VSS,Metal1,181.7200,337.1200,0.000005
FILLER_81_308,VSS,Metal1,179.9400,336.7710,0.000005
FILLER_81_274,VSS,Metal1,168.4440,336.5220,0.000005
FILLER_81_256,VSS,Metal1,151.8130,336.6580,0.000005
FILLER_81_240,VSS,Metal1,144.9920,336.5720,0.000005
FILLER_81_237,VSS,Metal1,139.7200,337.1200,0.000005
FILLER_81_233,VSS,Metal1,137.9400,336.7710,0.000005
FILLER_81_224,VSS,Metal1,132.4400,337.1200,0.000005
FILLER_81_222,VSS,Metal1,131.6000,337.1200,0.000005
FILLER_81_206,VSS,Metal1,125.9520,336.5720,0.000005
FILLER_81_203,VSS,Metal1,120.6800,337.1200,0.000005
FILLER_81_199,VSS,Metal1,118.9000,336.7710,0.000005
