net,length_um
net11,99.88µm
net10,92.04µm
net12,74.02µm
_11_,51.67µm
cal_start,50.26µm
clk,49.7µm
rst_n,48.63µm
net7,47.65µm
net6,44.85µm
net13,42.25µm
net8,41.49µm
soft_rst,39.62µm
phase_offset_imported,38.5µm
cfg_done,37.38µm
_07_,36.96µm
boot_complete,36.7µm
_12_,34.26µm
_04_,33.14µm
_15_,29.17µm
read_en,28.47µm
clknet_0_clk,26.37µm
cal_timeout,22.26µm
state_o[2],22.26µm
net1,19.14µm
net4,18.53µm
cal_done,17.78µm
_00_,17.41µm
clknet_1_0__leaf_clk,16.29µm
_08_,15.78µm
net9,15.78µm
_01_,14.56µm
_05_,13.44µm
net2,13.44µm
state_o[0],12.74µm
state_o[1],12.18µm
_02_,11.81µm
clknet_1_1__leaf_clk,10.64µm
_16_,10.08µm
_10_,9.57µm
_03_,8.4µm
net3,8.4µm
_06_,7.94µm
_13_,6.77µm
_09_,6.16µm
_14_,5.14µm
net5,4.53µm
_17_,4.02µm
