Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_70,VDD,Metal1,47.4200,51.3925,3.299960
FILLER_9_50,VDD,Metal1,35.2800,50.9600,3.299962
FILLER_9_2,VDD,Metal1,17.4755,51.7285,3.299963
FILLER_8_49,VDD,Metal1,34.4400,50.9600,3.299962
FILLER_8_47,VDD,Metal1,33.6000,50.9600,3.299962
FILLER_8_28,VDD,Metal1,22.6800,50.9600,3.299963
FILLER_8_26,VDD,Metal1,21.8400,50.9600,3.299963
FILLER_8_18,VDD,Metal1,19.5465,50.3830,3.299963
FILLER_8_2,VDD,Metal1,12.9280,50.2680,3.299963
FILLER_7_72,VDD,Metal1,47.6000,43.1200,3.299950
FILLER_7_18,VDD,Metal1,17.3600,43.1200,3.299950
FILLER_7_2,VDD,Metal1,12.9280,43.8120,3.299950
FILLER_6_73,VDD,Metal1,47.8800,43.1200,3.299950
FILLER_6_71,VDD,Metal1,47.0400,43.1200,3.299950
FILLER_6_16,VDD,Metal1,15.9600,43.1200,3.299950
FILLER_6_14,VDD,Metal1,15.1200,43.1200,3.299950
FILLER_6_10,VDD,Metal1,13.8200,42.6875,3.299950
FILLER_6_2,VDD,Metal1,10.5865,42.5430,3.299950
FILLER_5_72,VDD,Metal1,47.6000,35.2800,3.299928
FILLER_5_14,VDD,Metal1,14.8400,35.2800,3.299928
FILLER_5_10,VDD,Metal1,13.8200,35.7125,3.299928
FILLER_5_2,VDD,Metal1,10.5865,35.8565,3.299928
FILLER_4_73,VDD,Metal1,47.8800,35.2800,3.299928
FILLER_4_71,VDD,Metal1,47.0400,35.2800,3.299928
FILLER_4_6,VDD,Metal1,10.3600,35.2800,3.299928
FILLER_4_2,VDD,Metal1,9.3400,34.8475,3.299928
FILLER_3_72,VDD,Metal1,47.6000,27.4400,3.299969
FILLER_3_68,VDD,Metal1,45.3600,27.4400,3.299969
FILLER_3_51,VDD,Metal1,35.5600,27.4400,3.299969
FILLER_3_49,VDD,Metal1,34.7200,27.4400,3.299969
FILLER_3_14,VDD,Metal1,14.8400,27.4400,3.299969
FILLER_3_10,VDD,Metal1,13.8200,27.8725,3.299969
FILLER_3_2,VDD,Metal1,10.5865,28.0165,3.299969
FILLER_2_39,VDD,Metal1,28.8400,27.4400,3.299969
FILLER_2_37,VDD,Metal1,28.0000,27.4400,3.299969
FILLER_2_21,VDD,Metal1,19.0400,27.4400,3.299969
FILLER_2_14,VDD,Metal1,14.8400,27.4400,3.299969
FILLER_2_10,VDD,Metal1,13.8200,27.0075,3.299969
FILLER_2_2,VDD,Metal1,10.5865,26.8630,3.299969
FILLER_1_72,VDD,Metal1,47.6000,19.6000,3.299935
FILLER_1_10,VDD,Metal1,13.8200,20.0325,3.299935
FILLER_1_2,VDD,Metal1,10.5865,20.1765,3.299935
FILLER_0_67,VDD,Metal1,44.5200,19.6000,3.299935
FILLER_0_36,VDD,Metal1,27.1600,19.6000,3.299935
FILLER_0_8,VDD,Metal1,12.7000,19.1675,3.299935
clkload0,VDD,Metal1,32.1965,51.3500,3.299962
clkbuf_1_1__f_clk,VDD,Metal1,31.7710,43.6170,3.299950
clkbuf_1_0__f_clk,VDD,Metal1,31.7710,20.0970,3.299935
clkbuf_0_clk,VDD,Metal1,32.0685,35.7770,3.299928
load_slew13,VDD,Metal1,23.7965,34.8900,3.299928
output12,VDD,Metal1,38.3815,51.3630,3.299961
output11,VDD,Metal1,42.8615,51.3630,3.299961
output10,VDD,Metal1,46.2215,50.5565,3.299960
output9,VDD,Metal1,23.2180,19.1965,3.299935
output8,VDD,Metal1,18.7380,19.1965,3.299935
input7,VDD,Metal1,28.5500,51.2325,3.299962
input6,VDD,Metal1,16.2500,19.8725,3.299935
input5,VDD,Metal1,20.1500,42.8475,3.299950
input4,VDD,Metal1,29.1300,19.3275,3.299935
input3,VDD,Metal1,15.1300,19.3275,3.299935
input2,VDD,Metal1,9.5300,19.3275,3.299935
input1,VDD,Metal1,24.6500,27.1675,3.299969
TAP_TAPCELL_ROW_9_31,VDD,Metal1,45.3600,51.6300,3.299960
TAP_TAPCELL_ROW_9_30,VDD,Metal1,26.3200,51.6300,3.299963
