Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_70,VSS,Metal1,46.6600,54.5310,0.000021
FILLER_9_50,VSS,Metal1,35.2800,54.8800,0.000020
FILLER_9_2,VSS,Metal1,16.1240,54.2820,0.000019
FILLER_8_49,VSS,Metal1,34.4400,47.0400,0.000054
FILLER_8_47,VSS,Metal1,33.6000,47.0400,0.000054
FILLER_8_28,VSS,Metal1,22.6800,47.0400,0.000054
FILLER_8_26,VSS,Metal1,21.8400,47.0400,0.000054
FILLER_8_18,VSS,Metal1,18.5330,47.5015,0.000054
FILLER_8_2,VSS,Metal1,11.7120,47.5880,0.000054
FILLER_7_72,VSS,Metal1,47.6000,47.0400,0.000054
FILLER_7_18,VSS,Metal1,17.3600,47.0400,0.000054
FILLER_7_2,VSS,Metal1,11.7120,46.4920,0.000054
FILLER_6_73,VSS,Metal1,47.8800,39.2000,0.000062
FILLER_6_71,VSS,Metal1,47.0400,39.2000,0.000062
FILLER_6_16,VSS,Metal1,15.9600,39.2000,0.000062
FILLER_6_14,VSS,Metal1,15.1200,39.2000,0.000062
FILLER_6_10,VSS,Metal1,13.0600,39.5485,0.000062
FILLER_6_2,VSS,Metal1,9.5730,39.6615,0.000062
FILLER_5_72,VSS,Metal1,47.6000,39.2000,0.000062
FILLER_5_14,VSS,Metal1,14.8400,39.2000,0.000062
FILLER_5_10,VSS,Metal1,13.0600,38.8510,0.000062
FILLER_5_2,VSS,Metal1,9.5730,38.7380,0.000062
FILLER_4_73,VSS,Metal1,47.8800,31.3600,0.000046
FILLER_4_71,VSS,Metal1,47.0400,31.3600,0.000046
FILLER_4_6,VSS,Metal1,10.3600,31.3600,0.000046
FILLER_4_2,VSS,Metal1,8.5800,31.7085,0.000046
FILLER_3_72,VSS,Metal1,47.6000,31.3600,0.000046
FILLER_3_68,VSS,Metal1,45.3600,31.3600,0.000046
FILLER_3_51,VSS,Metal1,35.5600,31.3600,0.000046
FILLER_3_49,VSS,Metal1,34.7200,31.3600,0.000046
FILLER_3_14,VSS,Metal1,14.8400,31.3600,0.000046
FILLER_3_10,VSS,Metal1,13.0600,31.0110,0.000046
FILLER_3_2,VSS,Metal1,9.5730,30.8980,0.000046
FILLER_2_39,VSS,Metal1,28.8400,23.5200,0.000047
FILLER_2_37,VSS,Metal1,28.0000,23.5200,0.000047
FILLER_2_21,VSS,Metal1,19.0400,23.5200,0.000047
FILLER_2_14,VSS,Metal1,14.8400,23.5200,0.000047
FILLER_2_10,VSS,Metal1,13.0600,23.8685,0.000047
FILLER_2_2,VSS,Metal1,9.5730,23.9815,0.000047
FILLER_1_72,VSS,Metal1,47.6000,23.5200,0.000047
FILLER_1_10,VSS,Metal1,13.0600,23.1710,0.000047
FILLER_1_2,VSS,Metal1,9.5730,23.0580,0.000047
FILLER_0_67,VSS,Metal1,44.5200,15.6800,0.000029
FILLER_0_36,VSS,Metal1,27.1600,15.6800,0.000028
FILLER_0_8,VSS,Metal1,11.9400,16.0285,0.000029
clkload0,VSS,Metal1,32.1200,54.4225,0.000020
clkbuf_1_1__f_clk,VSS,Metal1,32.8935,46.4415,0.000054
clkbuf_1_0__f_clk,VSS,Metal1,32.8935,22.9215,0.000047
clkbuf_0_clk,VSS,Metal1,30.9460,38.6015,0.000062
load_slew13,VSS,Metal1,23.7200,31.8175,0.000046
output12,VSS,Metal1,38.4150,54.5250,0.000021
output11,VSS,Metal1,42.8950,54.5250,0.000021
output10,VSS,Metal1,46.2550,47.3950,0.000054
output9,VSS,Metal1,23.1850,16.0350,0.000029
output8,VSS,Metal1,18.7050,16.0350,0.000029
input7,VSS,Metal1,28.5500,54.5885,0.000020
input6,VSS,Metal1,16.2500,23.2285,0.000047
input5,VSS,Metal1,20.1500,39.4910,0.000062
input4,VSS,Metal1,29.1300,15.9710,0.000028
input3,VSS,Metal1,15.1300,15.9710,0.000029
input2,VSS,Metal1,9.5300,15.9710,0.000029
input1,VSS,Metal1,24.6500,23.8110,0.000047
TAP_TAPCELL_ROW_9_31,VSS,Metal1,45.3600,54.4105,0.000021
TAP_TAPCELL_ROW_9_30,VSS,Metal1,26.3200,54.4105,0.000019
TAP_TAPCELL_ROW_8_29,VSS,Metal1,26.8800,47.5090,0.000054
TAP_TAPCELL_ROW_7_28,VSS,Metal1,46.4800,46.5705,0.000054
TAP_TAPCELL_ROW_6_27,VSS,Metal1,26.8800,39.6690,0.000062
TAP_TAPCELL_ROW_5_26,VSS,Metal1,46.4800,38.7305,0.000062
TAP_TAPCELL_ROW_4_25,VSS,Metal1,26.8800,31.8290,0.000046
TAP_TAPCELL_ROW_3_24,VSS,Metal1,46.4800,30.8905,0.000046
TAP_TAPCELL_ROW_2_23,VSS,Metal1,26.8800,23.9890,0.000047
TAP_TAPCELL_ROW_1_22,VSS,Metal1,46.4800,23.0505,0.000047
TAP_TAPCELL_ROW_0_21,VSS,Metal1,45.3600,16.1490,0.000029
