net,length_um
clknet_0_clk,809.8µm
net195,510.87µm
net619,489.13µm
net198,484.19µm
net216,435.32µm
net214,415.72µm
net620,387.85µm
net82,374.13µm
net643,372.04µm
net626,371.38µm
net192,357.94µm
clk,357.7µm
net486,353.1µm
net663,338.39µm
net529,335.09µm
net636,328.82µm
net512,326.53µm
net632,324.68µm
net159,321.13µm
net651,311.61µm
net488,309.78µm
_1283_,303.82µm
net515,293.23µm
net634,293.03µm
net650,291.3µm
net652,291.3µm
net186,291.21µm
net8,290.33µm
net513,282.29µm
net160,282.21µm
net153,279.54µm
net510,272.97µm
net642,269.66µm
net487,269.61µm
net158,269.58µm
net492,268.49µm
net157,268.29µm
_1282_,267.73µm
net11,267.5µm
net635,265.03µm
net498,263.96µm
_1347_,259.53µm
net518,258.72µm
net212,257.39µm
net194,254.95µm
net503,254.49µm
net516,248.38µm
_1280_,248.33µm
clknet_4_11_0_clk,246.09µm
cal_burst_active,245.38µm
net517,243.14µm
net188,242.68µm
net511,241.14µm
net618,239.12µm
net174,238.71µm
net505,238.65µm
net196,238.2µm
net167,237.69µm
net495,237.13µm
net49,237.03µm
net87,236.52µm
net154,236.37µm
_1287_,235.86µm
_1286_,235.55µm
net2,233.06µm
net476,232.6µm
net47,230.82µm
net68,229.14µm
_1160_,227.41µm
net217,226.9µm
net223,225.27µm
net27,224.66µm
net200,224.25µm
net190,224.05µm
net500,224µm
_1284_,223.59µm
net6,223.03µm
net152,222.42µm
net50,221.91µm
net519,221.8µm
net653,221.4µm
net73,221.33µm
net25,221.25µm
net140,221.2µm
net478,221.2µm
net1,220.64µm
net69,220.28µm
_1345_,218.09µm
clknet_4_10_0_clk,217.43µm
_1285_,214.58µm
_0737_,213.46µm
net193,213.46µm
net175,213.41µm
clknet_4_3_0_clk,211.52µm
net185,211.32µm
net205,205.77µm
_1351_,202.97µm
net483,201.8µm
net48,201.65µm
net7,199.05µm
clknet_4_2_0_clk,199µm
_1318_,198.09µm
_0676_,197.37µm
clknet_4_1_0_clk,197.32µm
net85,197.12µm
clknet_4_15_0_clk,196.86µm
net66,196.82µm
net658,196.05µm
net42,195.48µm
net131,195.03µm
net141,194.32µm
net504,192.33µm
net209,191.67µm
net143,189.48µm
