Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_676,VDD,Metal1,385.5600,395.9200,3.299999
FILLER_96_672,VDD,Metal1,384.5400,395.4875,3.299999
FILLER_96_664,VDD,Metal1,381.3065,395.3430,3.299999
FILLER_96_648,VDD,Metal1,374.6880,395.2280,3.299999
FILLER_96_614,VDD,Metal1,360.1955,395.1510,3.299999
FILLER_96_611,VDD,Metal1,349.1600,395.9200,3.299999
FILLER_96_602,VDD,Metal1,344.1200,395.9200,3.299999
FILLER_96_600,VDD,Metal1,343.2800,395.9200,3.299999
FILLER_96_596,VDD,Metal1,341.9800,395.4875,3.299999
FILLER_96_580,VDD,Metal1,336.6080,395.2280,3.299999
FILLER_96_546,VDD,Metal1,322.1155,395.1510,3.299999
FILLER_96_512,VDD,Metal1,303.0755,395.1510,3.299999
FILLER_96_478,VDD,Metal1,284.0355,395.1510,3.299999
FILLER_96_444,VDD,Metal1,264.9955,395.1510,3.299999
FILLER_96_441,VDD,Metal1,253.9600,395.9200,3.299999
FILLER_96_437,VDD,Metal1,252.9400,395.4875,3.299999
FILLER_96_426,VDD,Metal1,245.5600,395.9200,3.299999
FILLER_96_410,VDD,Metal1,241.4080,395.2280,3.299999
FILLER_96_376,VDD,Metal1,226.9155,395.1510,3.299999
FILLER_96_342,VDD,Metal1,207.8755,395.1510,3.299999
FILLER_96_308,VDD,Metal1,188.8355,395.1510,3.299999
FILLER_96_274,VDD,Metal1,169.7955,395.1510,3.299999
FILLER_96_271,VDD,Metal1,158.7600,395.9200,3.299999
FILLER_96_267,VDD,Metal1,157.7400,395.4875,3.299999
FILLER_96_259,VDD,Metal1,154.5065,395.3430,3.299999
FILLER_96_250,VDD,Metal1,147.0000,395.9200,3.299999
FILLER_96_248,VDD,Metal1,146.1600,395.9200,3.299999
FILLER_96_240,VDD,Metal1,143.8665,395.3430,3.299999
FILLER_96_206,VDD,Metal1,131.7155,395.1510,3.299999
FILLER_96_172,VDD,Metal1,112.6755,395.1510,3.299999
FILLER_96_138,VDD,Metal1,93.6355,395.1510,3.299999
FILLER_96_104,VDD,Metal1,74.5955,395.1510,3.299999
FILLER_96_101,VDD,Metal1,63.5600,395.9200,3.299999
FILLER_96_85,VDD,Metal1,59.4080,395.2280,3.299999
FILLER_96_74,VDD,Metal1,48.4400,395.9200,3.299999
FILLER_96_70,VDD,Metal1,47.4200,395.4875,3.299999
FILLER_96_36,VDD,Metal1,36.5155,395.1510,3.299999
FILLER_96_2,VDD,Metal1,17.4755,395.1510,3.299999
FILLER_95_676,VDD,Metal1,385.5600,388.0800,3.300000
FILLER_95_672,VDD,Metal1,384.5400,388.5125,3.300000
FILLER_95_664,VDD,Metal1,381.3065,388.6565,3.300000
FILLER_95_632,VDD,Metal1,370.2755,388.8485,3.300000
FILLER_95_626,VDD,Metal1,358.7800,388.5125,3.300000
FILLER_95_562,VDD,Metal1,340.0750,388.8940,3.300000
FILLER_95_556,VDD,Metal1,319.5800,388.5125,3.300000
FILLER_95_492,VDD,Metal1,300.8750,388.8940,3.300000
FILLER_95_486,VDD,Metal1,280.3800,388.5125,3.300000
FILLER_95_422,VDD,Metal1,261.6750,388.8940,3.300000
FILLER_95_416,VDD,Metal1,241.1800,388.5125,3.300000
FILLER_95_352,VDD,Metal1,222.4750,388.8940,3.300000
FILLER_95_346,VDD,Metal1,201.9800,388.5125,3.300000
FILLER_95_282,VDD,Metal1,183.2750,388.8940,3.300000
FILLER_95_276,VDD,Metal1,162.7800,388.5125,3.300000
FILLER_95_212,VDD,Metal1,144.0750,388.8940,3.300000
FILLER_95_206,VDD,Metal1,123.5800,388.5125,3.300000
FILLER_95_142,VDD,Metal1,104.8750,388.8940,3.300000
FILLER_95_136,VDD,Metal1,84.3800,388.5125,3.300000
FILLER_95_72,VDD,Metal1,65.6750,388.8940,3.300000
FILLER_95_66,VDD,Metal1,45.1800,388.5125,3.300000
FILLER_95_2,VDD,Metal1,26.4750,388.8940,3.300000
FILLER_94_675,VDD,Metal1,385.2800,388.0800,3.300000
FILLER_94_667,VDD,Metal1,382.9865,387.5030,3.300000
FILLER_94_661,VDD,Metal1,378.3800,387.6475,3.300000
FILLER_94_597,VDD,Metal1,359.6750,387.2655,3.300000
FILLER_94_591,VDD,Metal1,339.1800,387.6475,3.300000
FILLER_94_527,VDD,Metal1,320.4750,387.2655,3.300000
FILLER_94_521,VDD,Metal1,299.9800,387.6475,3.300000
FILLER_94_457,VDD,Metal1,281.2750,387.2655,3.300000
FILLER_94_451,VDD,Metal1,260.7800,387.6475,3.300000
FILLER_94_387,VDD,Metal1,242.0750,387.2655,3.300000
FILLER_94_381,VDD,Metal1,221.5800,387.6475,3.300000
FILLER_94_317,VDD,Metal1,202.8750,387.2655,3.300000
FILLER_94_311,VDD,Metal1,182.3800,387.6475,3.300000
FILLER_94_247,VDD,Metal1,163.6750,387.2655,3.300000
FILLER_94_241,VDD,Metal1,143.1800,387.6475,3.300000
FILLER_94_177,VDD,Metal1,124.4750,387.2655,3.300000
FILLER_94_171,VDD,Metal1,103.9800,387.6475,3.300000
FILLER_94_107,VDD,Metal1,85.2750,387.2655,3.300000
FILLER_94_101,VDD,Metal1,64.7800,387.6475,3.300000
FILLER_94_37,VDD,Metal1,46.0750,387.2655,3.300000
FILLER_94_34,VDD,Metal1,26.0400,388.0800,3.300000
FILLER_94_2,VDD,Metal1,17.4755,387.3110,3.300000
FILLER_93_676,VDD,Metal1,385.5600,380.2400,3.300000
FILLER_93_672,VDD,Metal1,384.5400,380.6725,3.300000
FILLER_93_664,VDD,Metal1,381.3065,380.8165,3.300000
