Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_676,VSS,Metal1,385.5600,392.0000,0.000001
FILLER_96_672,VSS,Metal1,383.7800,392.3485,0.000001
FILLER_96_664,VSS,Metal1,380.2930,392.4615,0.000001
FILLER_96_648,VSS,Metal1,373.4720,392.5480,0.000001
FILLER_96_614,VSS,Metal1,358.8440,392.5975,0.000001
FILLER_96_611,VSS,Metal1,349.1600,392.0000,0.000001
FILLER_96_602,VSS,Metal1,344.1200,392.0000,0.000001
FILLER_96_600,VSS,Metal1,343.2800,392.0000,0.000001
FILLER_96_596,VSS,Metal1,341.2200,392.3485,0.000001
FILLER_96_580,VSS,Metal1,335.3920,392.5480,0.000001
FILLER_96_546,VSS,Metal1,320.7640,392.5975,0.000001
FILLER_96_512,VSS,Metal1,301.7240,392.5975,0.000001
FILLER_96_478,VSS,Metal1,282.6840,392.5975,0.000001
FILLER_96_444,VSS,Metal1,263.6440,392.5975,0.000001
FILLER_96_441,VSS,Metal1,253.9600,392.0000,0.000001
FILLER_96_437,VSS,Metal1,252.1800,392.3485,0.000001
FILLER_96_426,VSS,Metal1,245.5600,392.0000,0.000001
FILLER_96_410,VSS,Metal1,240.1920,392.5480,0.000001
FILLER_96_376,VSS,Metal1,225.5640,392.5975,0.000001
FILLER_96_342,VSS,Metal1,206.5240,392.5975,0.000001
FILLER_96_308,VSS,Metal1,187.4840,392.5975,0.000001
FILLER_96_274,VSS,Metal1,168.4440,392.5975,0.000001
FILLER_96_271,VSS,Metal1,158.7600,392.0000,0.000001
FILLER_96_267,VSS,Metal1,156.9800,392.3485,0.000001
FILLER_96_259,VSS,Metal1,153.4930,392.4615,0.000001
FILLER_96_250,VSS,Metal1,147.0000,392.0000,0.000001
FILLER_96_248,VSS,Metal1,146.1600,392.0000,0.000001
FILLER_96_240,VSS,Metal1,142.8530,392.4615,0.000001
FILLER_96_206,VSS,Metal1,130.3640,392.5975,0.000001
FILLER_96_172,VSS,Metal1,111.3240,392.5975,0.000001
FILLER_96_138,VSS,Metal1,92.2840,392.5975,0.000001
FILLER_96_104,VSS,Metal1,73.2440,392.5975,0.000001
FILLER_96_101,VSS,Metal1,63.5600,392.0000,0.000001
FILLER_96_85,VSS,Metal1,58.1920,392.5480,0.000001
FILLER_96_74,VSS,Metal1,48.4400,392.0000,0.000001
FILLER_96_70,VSS,Metal1,46.6600,392.3485,0.000001
